captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.47521.first,candidates.47521.last,candidates.47521.party,candidates.47521.incumbent,candidates.47521.candidateID,candidates.47521.polID,candidates.47521.ballotOrder,candidates.47521.polNum,candidates.47521.electWon,candidates.49463.first,candidates.49463.last,candidates.49463.party,candidates.49463.candidateID,candidates.49463.polID,candidates.49463.ballotOrder,candidates.49463.polNum,candidates.49463.electWon,candidates.47521.winnerDateTime
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,243632,99,93205,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,243632,99,117839,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,243632,99,125506,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,243632,99,131590,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,243632,99,132971,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,243632,99,137698,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,243632,99,147047,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,243056,99,181033,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
1667968494,2022-11-08 22:34:54 -0600,cfbd241bb06919184c9a5ad42a24eb60bc59879a,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,216015,99,188253,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
1667969334,2022-11-08 22:48:54 -0600,564b670a16af98b12d8c8533dac3052916cfa498,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,214600,99,191663,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
1667970199,2022-11-08 23:03:19 -0600,f4db6dd16c878356c43dd19f6d680eb5acf90d34,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,214600,99,196109,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
1667971032,2022-11-08 23:17:12 -0600,84fafb476f7846131500489058ff24997434ed54,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,214600,99,204504,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
