captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.55700.first,candidates.55700.last,candidates.55700.incumbent,candidates.55700.party,candidates.55700.candidateID,candidates.55700.ballotOrder,candidates.55700.polID,candidates.55700.polNum,candidates.55700.electWon,candidates.56204.first,candidates.56204.last,candidates.56204.party,candidates.56204.candidateID,candidates.56204.ballotOrder,candidates.56204.polID,candidates.56204.polNum,candidates.56204.electWon,candidates.56206.first,candidates.56206.last,candidates.56206.abbrv,candidates.56206.party,candidates.56206.candidateID,candidates.56206.ballotOrder,candidates.56206.polID,candidates.56206.polNum,candidates.56206.electWon,candidates.56207.first,candidates.56207.last,candidates.56207.party,candidates.56207.candidateID,candidates.56207.ballotOrder,candidates.56207.polID,candidates.56207.polNum,candidates.56207.electWon,candidates.56217.first,candidates.56217.last,candidates.56217.party,candidates.56217.candidateID,candidates.56217.ballotOrder,candidates.56217.polID,candidates.56217.polNum,candidates.56217.electWon,candidates.55700.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,UT-20221108_Eday80,45,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,274108,99,0,768195,True,20221108UT49642,2022-11-08,UT,55700,John,Curtis,True,GOP,55700,4,44042,50949,0,Glenn,Wright,Dem,56204,2,70428,50292,0,Aaron,Heineman,Heinemn,IAP,56206,1,70427,51057,0,Daniel,Cummings,CST,56207,3,62703,51131,0,Michael,Stoddard,Lib,56217,5,70429,51267,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,UT-20221108_Eday80,45,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,262986,99,0,768195,True,20221108UT49642,2022-11-08,UT,55700,John,Curtis,True,GOP,55700,4,44042,50949,0,Glenn,Wright,Dem,56204,2,70428,50292,0,Aaron,Heineman,Heinemn,IAP,56206,1,70427,51057,0,Daniel,Cummings,CST,56207,3,62703,51131,0,Michael,Stoddard,Lib,56217,5,70429,51267,0,,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,UT-20221108_Eday80,45,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,262986,90,0,768195,True,20221108UT49642,2022-11-08,UT,55700,John,Curtis,True,GOP,55700,4,44042,50949,0,Glenn,Wright,Dem,56204,2,70428,50292,0,Aaron,Heineman,Heinemn,IAP,56206,1,70427,51057,0,Daniel,Cummings,CST,56207,3,62703,51131,0,Michael,Stoddard,Lib,56217,5,70429,51267,0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,UT-20221108_Eday80,45,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 3,3,262986,90,0,768195,True,20221108UT49642,2022-11-08,UT,55700,John,Curtis,True,GOP,55700,4,44042,50949,0,Glenn,Wright,Dem,56204,2,70428,50292,0,Aaron,Heineman,Heinemn,IAP,56206,1,70427,51057,0,Daniel,Cummings,CST,56207,3,62703,51131,0,Michael,Stoddard,Lib,56217,5,70429,51267,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,262986,90,4048,768195,True,20221108UT49642,2022-11-08,UT,55700,John,Curtis,True,GOP,55700,4,44042,50949,0,Glenn,Wright,Dem,56204,2,70428,50292,0,Aaron,Heineman,Heinemn,IAP,56206,1,70427,51057,0,Daniel,Cummings,CST,56207,3,62703,51131,0,Michael,Stoddard,Lib,56217,5,70429,51267,0,,
1667967767,2022-11-08 22:22:47 -0600,d2b302ebb94fe21871c9483192bb3df9a98f2ac1,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,263488,90,7934,768195,True,20221108UT49642,2022-11-08,UT,55700,John,Curtis,True,GOP,55700,4,44042,50949,0,Glenn,Wright,Dem,56204,2,70428,50292,0,Aaron,Heineman,Heinemn,IAP,56206,1,70427,51057,0,Daniel,Cummings,CST,56207,3,62703,51131,0,Michael,Stoddard,Lib,56217,5,70429,51267,0,,
1667967816,2022-11-08 22:23:36 -0600,d408c38a39cd0e703677d5a02a0d39ca6987e85c,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,262986,90,4048,768195,True,20221108UT49642,2022-11-08,UT,55700,John,Curtis,True,GOP,55700,4,44042,50949,0,Glenn,Wright,Dem,56204,2,70428,50292,0,Aaron,Heineman,Heinemn,IAP,56206,1,70427,51057,0,Daniel,Cummings,CST,56207,3,62703,51131,0,Michael,Stoddard,Lib,56217,5,70429,51267,0,,
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,263488,90,7934,768195,True,20221108UT49642,2022-11-08,UT,55700,John,Curtis,True,GOP,55700,4,44042,50949,0,Glenn,Wright,Dem,56204,2,70428,50292,0,Aaron,Heineman,Heinemn,IAP,56206,1,70427,51057,0,Daniel,Cummings,CST,56207,3,62703,51131,0,Michael,Stoddard,Lib,56217,5,70429,51267,0,,
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,263488,90,79519,768195,True,20221108UT49642,2022-11-08,UT,55700,John,Curtis,True,GOP,55700,4,44042,50949,0,Glenn,Wright,Dem,56204,2,70428,50292,0,Aaron,Heineman,Heinemn,IAP,56206,1,70427,51057,0,Daniel,Cummings,CST,56207,3,62703,51131,0,Michael,Stoddard,Lib,56217,5,70429,51267,0,,
1667969463,2022-11-08 22:51:03 -0600,33a57724ad86936b636ee9df9a6a905b84cec6b3,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290754,90,135646,768195,True,20221108UT49642,2022-11-08,UT,55700,John,Curtis,True,GOP,55700,4,44042,50949,0,Glenn,Wright,Dem,56204,2,70428,50292,0,Aaron,Heineman,Heinemn,IAP,56206,1,70427,51057,0,Daniel,Cummings,CST,56207,3,62703,51131,0,Michael,Stoddard,Lib,56217,5,70429,51267,0,,
