captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt,candidates.1.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108UT49642,live,0.0,UT,Utah,45,1,2022-11-09T03:00:00.000Z,state,0,2022-11-07T22:54:33.628Z,0,812,0.0,56204,0,0.0,55700,0,0.0,56206,0,0.0,56207,0,0.0,56217,0,0.0,274108,99,0,768195,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108UT49642,live,0.0,UT,Utah,45,1,2022-11-09T03:00:00.000Z,state,0,2022-11-08T19:01:45.826Z,0,812,0.0,56204,0,0.0,55700,0,0.0,56206,0,0.0,56207,0,0.0,56217,0,0.0,262986,99,0,768195,0,0,,,,
1667949573,2022-11-08 23:19:33 +0000,2891155c76df951385c61df78f71bb7f4a65a56b,20221108UT49642,live,0.0,UT,Utah,45,1,2022-11-09T03:00:00.000Z,state,0,2022-11-08T23:18:27.761Z,0,812,0.0,56204,0,0.0,55700,0,0.0,56206,0,0.0,56207,0,0.0,56217,0,0.0,262986,90,0,768195,0,0,,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108UT49642,live,0.0,UT,Utah,45,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T03:02:12.620Z,0,812,0.0,56204,0,0.0,55700,0,0.0,56206,0,0.0,56207,0,0.0,56217,0,0.0,262986,90,0,768195,0,0,,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108UT49642,live,0.0,UT,Utah,45,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T03:07:27.427Z,0,812,0.0,56204,0,0.0,55700,0,0.0,56206,0,0.0,56207,0,0.0,56217,0,0.0,262986,90,0,768195,0,0,,,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108UT49642,live,1.54,UT,Utah,45,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:06:21.367Z,26,812,3.2,55700,3526,87.1,56204,316,7.81,56217,97,2.4,56207,73,1.8,56206,36,0.89,262986,90,4048,768195,26,12,0.0,,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,20221108UT49642,live,3.01,UT,Utah,45,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:12:24.983Z,42,812,5.17,55700,5896,74.31,56204,1573,19.83,56217,193,2.43,56207,140,1.76,56206,132,1.66,263488,90,7934,768195,42,24,0.0,,,
1667968272,2022-11-08 22:31:12 -0600,97ef6c54bfa1c7ef6beea70c87aafe0c54251ad8,20221108UT49642,live,3.01,UT,Utah,45,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:30:14.411Z,42,812,5.17,55700,5896,74.31,56204,1573,19.83,56217,193,2.43,56207,140,1.76,56206,132,1.66,263488,90,7934,768195,42,24,0.0,,,
1667968406,2022-11-08 22:33:26 -0600,9894c9990b429281fa1911dc561355d202f43cc4,20221108UT49642,live,30.18,UT,Utah,45,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:32:30.112Z,227,812,27.96,55700,60195,75.7,56204,14337,18.03,56217,2355,2.96,56207,1486,1.87,56206,1146,1.44,263488,90,79519,768195,227,245,0.0,,,
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,20221108UT49642,live,30.18,UT,Utah,45,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:35:30.098Z,227,812,27.96,55700,60195,75.7,56204,14337,18.03,56217,2355,2.96,56207,1486,1.87,56206,1146,1.44,263488,90,79519,768195,227,245,0.0,,,
