captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.36002.first,candidates.36002.last,candidates.36002.party,candidates.36002.candidateID,candidates.36002.ballotOrder,candidates.36002.polID,candidates.36002.polNum,candidates.36002.electWon,candidates.36216.first,candidates.36216.last,candidates.36216.party,candidates.36216.candidateID,candidates.36216.ballotOrder,candidates.36216.polID,candidates.36216.polNum,candidates.36216.electWon,candidates.36217.first,candidates.36217.last,candidates.36217.abbrv,candidates.36217.incumbent,candidates.36217.party,candidates.36217.candidateID,candidates.36217.ballotOrder,candidates.36217.polID,candidates.36217.polNum,candidates.36217.electWon,candidates.36218.first,candidates.36218.last,candidates.36218.party,candidates.36218.candidateID,candidates.36218.ballotOrder,candidates.36218.polID,candidates.36218.polNum,candidates.36218.electWon,candidates.36217.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MT-20221108_Eday80,27,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,0,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,MT-20221108_Eday80,27,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,0,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,6267,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,24427,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,26479,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,29848,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,31666,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667968931,2022-11-08 22:42:11 -0600,cca40a484cb23456c0df129e9bd1750068cb4880,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,34334,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667969636,2022-11-08 22:53:56 -0600,343edcc3a5440ed7e985b5b1b439acfe9dc3a7bb,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,40799,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
1667970504,2022-11-08 23:08:24 -0600,218805bf82c018e2091a699549a3db0180a36d98,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Eastern,True,District 2,2,243334,99,64787,497392,True,20221108MT28576,2022-11-08,MT,36217,Sam,Rankin,Lib,36002,4,60402,29604,0,Penny,Ronning,Dem,36216,1,70318,30640,0,Matt,Rosendale,Rosendal,True,GOP,36217,2,63731,29615,0,Gary,Buchanan,Ind,36218,3,70321,30642,0,
