captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.19238.first,candidates.19238.last,candidates.19238.abbrv,candidates.19238.incumbent,candidates.19238.party,candidates.19238.candidateID,candidates.19238.ballotOrder,candidates.19238.polID,candidates.19238.polNum,candidates.19238.electWon,candidates.22531.first,candidates.22531.last,candidates.22531.party,candidates.22531.candidateID,candidates.22531.ballotOrder,candidates.22531.polID,candidates.22531.polNum,candidates.22531.electWon,candidates.19238.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CT-20221108_Eday80,7,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,0,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CT-20221108_Eday81,7,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,0,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,CT-20221108_Eday81,7,General,G,Polls Closed/Waiting First Report,Called,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,0,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,2022-11-09T01:00:04.280Z
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,CT-20221108_Eday81,7,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,0,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,CT-20221108_Eday81,7,General,G,Polls Closed/Waiting First Report,Called,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,0,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,2022-11-09T01:00:04.280Z
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,7924,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,2022-11-09T01:00:04.280Z
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,14353,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,2022-11-09T01:00:04.280Z
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,69536,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,2022-11-09T01:00:04.280Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,84282,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,2022-11-09T01:00:04.280Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,121607,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,2022-11-09T01:00:04.280Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,142831,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,2022-11-09T01:00:04.280Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,180948,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,2022-11-09T01:00:04.280Z
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,223778,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,2022-11-09T01:00:04.280Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Blumenthal,Dem,19238,9548,10539,True,True,True,1500000,95,248804,2250000,True,20221108CT9147,2022-11-08,CT,19238,Richard,Blumenthal,Blumnthl,True,Dem,19238,1,9548,10539,0,Leora,Levy,GOP,22531,2,71292,14936,0,2022-11-09T01:00:04.280Z
