captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.winner,candidates.0.calledAt,candidates.0.colorIndex,candidates.1.winner,candidates.1.calledAt,candidates.1.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108CT9147,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T20:32:37.910Z,0,744,0.0,19238,0,0.0,22531,0,0.0,1500000,95,0,2250000,0,0,,,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108CT9147,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T18:15:08.940Z,0,744,0.0,19238,0,0.0,22531,0,0.0,1500000,95,0,2250000,0,0,,,,,,
1667949299,2022-11-08 23:14:59 +0000,b334f05b75bafb94958f7797e615fb57e746d9de,20221108CT9147,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T23:11:04.871Z,0,744,0.0,19238,0,0.0,22531,0,0.0,1500000,95,0,2250000,0,0,,,,,,
1667950369,2022-11-08 23:32:49 +0000,88781f78b51366cb56dbc8603a43b441a541be7f,20221108CT9147,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T23:26:36.253Z,0,744,0.0,19238,0,0.0,22531,0,0.0,1500000,95,0,2250000,0,0,,,,,,
1667951715,2022-11-08 23:55:15 +0000,faab8f07ee94099dfc5995c0bbfcebae02c81c74,20221108CT9147,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T23:51:03.692Z,0,744,0.0,19238,0,0.0,22531,0,0.0,1500000,95,0,2250000,0,0,,,,,,
1667951984,2022-11-08 23:59:44 +0000,1d5f0496addabb850b6478bc4089a95c0ef07c4b,20221108CT9147,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T23:54:23.163Z,0,744,0.0,19238,0,0.0,22531,0,0.0,1500000,95,0,2250000,0,0,,,,,,
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,20221108CT9147,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T23:57:53.852Z,0,744,0.0,19238,0,0.0,22531,0,0.0,1500000,95,0,2250000,0,0,,,,,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108CT9147,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T00:51:08.249Z,0,744,0.0,19238,0,0.0,22531,0,0.0,1500000,95,0,2250000,0,0,,,,,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108CT9147,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:00:05.631Z,0,744,0.0,19238,0,0.0,22531,0,0.0,1500000,95,0,2250000,0,0,X,2022-11-09T01:00:04.280Z,0.0,,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108CT9147,live,0.18,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:13:57.127Z,2,744,0.27,19238,1461,52.65,22531,1314,47.35,1500000,95,2775,2250000,2,1,X,2022-11-09T01:00:04.280Z,0.0,,,
