captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.46241.first,candidates.46241.last,candidates.46241.party,candidates.46241.incumbent,candidates.46241.candidateID,candidates.46241.polID,candidates.46241.ballotOrder,candidates.46241.polNum,candidates.46241.electWon,candidates.46613.first,candidates.46613.last,candidates.46613.abbrv,candidates.46613.party,candidates.46613.candidateID,candidates.46613.polID,candidates.46613.ballotOrder,candidates.46613.polNum,candidates.46613.electWon,candidates.46807.first,candidates.46807.last,candidates.46807.party,candidates.46807.candidateID,candidates.46807.polID,candidates.46807.ballotOrder,candidates.46807.polNum,candidates.46807.electWon,candidates.46241.winnerDateTime
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,261758,99,177155,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,256078,99,186889,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,259728,99,202917,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,260515,99,217064,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,262555,99,217064,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,2022-11-09T04:04:53.312Z
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,264590,99,248142,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,2022-11-09T04:04:53.312Z
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,264590,99,253427,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,2022-11-09T04:04:53.312Z
1667968709,2022-11-08 22:38:29 -0600,a479186c1a21e09ae947de1863bf72d461e8b879,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,264590,99,248142,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,2022-11-09T04:04:53.312Z
1667968757,2022-11-08 22:39:17 -0600,444e7baf756125a86bedac9f7455307c41fed63a,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,264590,99,253427,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,2022-11-09T04:04:53.312Z
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,264590,99,254814,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,2022-11-09T04:04:53.312Z
1667969897,2022-11-08 22:58:17 -0600,4cc79ac7abd56ff5901adb554fdccc45c88f1310,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,261480,99,254814,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,2022-11-09T04:04:53.312Z
1667970723,2022-11-08 23:12:03 -0600,c9be1e43f4fd7fd7004c00409f7a589f170f0784,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,261205,99,258594,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,2022-11-09T04:04:53.312Z
1668568046,2022-11-15 21:07:26 -0600,fdf19c924300bd0f696da3b1b09ba48e5c55394e,OK-20221108_Eday80,37,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 5,5,258826,100,258594,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,2022-11-09T04:04:53.312Z
