captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.46241.first,candidates.46241.last,candidates.46241.party,candidates.46241.incumbent,candidates.46241.candidateID,candidates.46241.polID,candidates.46241.ballotOrder,candidates.46241.polNum,candidates.46241.electWon,candidates.46613.first,candidates.46613.last,candidates.46613.abbrv,candidates.46613.party,candidates.46613.candidateID,candidates.46613.polID,candidates.46613.ballotOrder,candidates.46613.polNum,candidates.46613.electWon,candidates.46807.first,candidates.46807.last,candidates.46807.party,candidates.46807.candidateID,candidates.46807.polID,candidates.46807.ballotOrder,candidates.46807.polNum,candidates.46807.electWon,candidates.46241.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OK-20221108_Eday62,37,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,271238,99,0,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,OK-20221108_Eday80,37,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,273851,99,0,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,OK-20221108_Eday80,37,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 5,5,273851,99,0,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,273851,99,38531,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,273851,99,54930,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,273851,99,38531,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,273851,99,54930,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,273851,99,89869,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,262308,99,97448,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,261758,99,97448,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,261758,99,125859,622443,True,20221108OK37856,2022-11-08,OK,46241,Stephanie,Bice,GOP,True,46241,68613,1,40294,0,Joshua,Harris-Till,Hrrs-Tl,Dem,46613,63822,2,40261,0,David,Frosch,Ind,46807,71690,3,41452,0,
