captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.45567.first,candidates.45567.last,candidates.45567.party,candidates.45567.candidateID,candidates.45567.ballotOrder,candidates.45567.polID,candidates.45567.polNum,candidates.45567.electWon,candidates.45573.first,candidates.45573.last,candidates.45573.party,candidates.45573.candidateID,candidates.45573.ballotOrder,candidates.45573.polID,candidates.45573.polNum,candidates.45573.electWon,candidates.45567.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NC-20221108_Eday80,34,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,0,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,73218,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,101596,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,103573,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,104692,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,129309,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,126168,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,143830,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,165768,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,175147,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,183516,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,185803,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,297215,99,178994,1326337,True,20221108NC35385,2022-11-08,NC,Don,Davis,Dem,45567,1,70238,36651,0,Sandy,Smith,GOP,45573,2,68328,38499,0,,
