captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.37350.first,candidates.37350.last,candidates.37350.abbrv,candidates.37350.incumbent,candidates.37350.party,candidates.37350.candidateID,candidates.37350.ballotOrder,candidates.37350.polID,candidates.37350.polNum,candidates.37350.electWon,candidates.37351.first,candidates.37351.last,candidates.37351.party,candidates.37351.candidateID,candidates.37351.ballotOrder,candidates.37351.polID,candidates.37351.polNum,candidates.37351.electWon,candidates.37960.first,candidates.37960.last,candidates.37960.party,candidates.37960.candidateID,candidates.37960.ballotOrder,candidates.37960.polID,candidates.37960.polNum,candidates.37960.electWon,candidates.37350.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MI-20221108_Eday80,23,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,0,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,MI-20221108_Eday80,23,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,0,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,MI-20221108_Eday80,23,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,0,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,0,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,709,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,16885,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,13123,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,16885,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,20224,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,29311,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,33288,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,44075,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,56357,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,69007,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,90220,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,114996,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,128601,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,344505,99,118165,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,
1667968272,2022-11-08 22:31:12 -0600,97ef6c54bfa1c7ef6beea70c87aafe0c54251ad8,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,344505,99,168968,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667969160,2022-11-08 22:46:00 -0600,702f27aec8e9117aaf59a55a71ae69d9a7aed7a6,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,344505,99,178010,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667969942,2022-11-08 22:59:02 -0600,302c96144aa0d22b0603db04cac0928c1e8a79f9,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,344505,99,194768,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667970772,2022-11-08 23:12:52 -0600,ff16f6d52970f222f2507893063188ae79c5be58,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,344505,99,202109,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667972473,2022-11-08 23:41:13 -0600,a29b2b07dc776af5545ee4ec64ead9d5ba96e873,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,344480,99,242951,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667973338,2022-11-08 23:55:38 -0600,60e23f89b0832d690c2e9c2012f75df6b998f230,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,344480,99,257005,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667974184,2022-11-09 00:09:44 -0600,5e29bdc6dd3e2b02c04e87a98f0009af6b85de6f,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,344480,99,286368,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667974899,2022-11-09 00:21:39 -0600,387e9cf2d205ebca879101fc8e33b930b1cbd329,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,343913,99,292411,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667975734,2022-11-09 00:35:34 -0600,416f9cd2c686176e63aeb1ee56cb9d01151b28ae,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,343913,99,297057,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667976671,2022-11-09 00:51:11 -0600,ea959052a4daa986b427aee926dc66fbdb41fd60,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,343913,99,301971,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667978421,2022-11-09 01:20:21 -0600,fd4cba60c8af2db3bbc95876878bf1114019d874,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,343913,99,304588,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667979192,2022-11-09 01:33:12 -0600,bdaf4fc12fe65f7bcce0f8063c33ccd41427f273,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,343913,99,310506,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667980354,2022-11-09 01:52:34 -0600,b95b3aa03864d3aa8e20ef68881e81d2ed7e17c2,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,343913,99,318167,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667980840,2022-11-09 02:00:40 -0600,5418f1636d7484673d071c25f7efde6e91377caa,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,343913,99,323624,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667980960,2022-11-09 02:02:40 -0600,77e86fad3864f77f6953461bce33086104908ed9,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,343913,99,328811,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667981000,2022-11-09 02:03:20 -0600,1844b1345bbfb22bedca82071a40b5941a2e46f1,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,343913,99,323624,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667981041,2022-11-09 02:04:01 -0600,e47a3217a92034f7bbd19a4f4649ae3750139aaf,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,343913,99,328811,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
1667981765,2022-11-09 02:16:05 -0600,737a3c50fdb927ba12862e09b821f52e102aeb12,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,343913,99,333938,1278684,True,20221108MI23806,2022-11-08,MI,37350,John,Moolenaar,Moolenr,True,GOP,37350,2,55100,27368,0,Jerry,Hilliard,Dem,37351,1,67182,29353,0,Nathan,Hewer,Lib,37960,3,71661,29436,0,2022-11-09T04:26:28.927Z
