captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.56194.first,candidates.56194.last,candidates.56194.party,candidates.56194.candidateID,candidates.56194.ballotOrder,candidates.56194.polID,candidates.56194.polNum,candidates.56194.electWon,candidates.56195.first,candidates.56195.last,candidates.56195.party,candidates.56195.candidateID,candidates.56195.ballotOrder,candidates.56195.polID,candidates.56195.polNum,candidates.56195.electWon,candidates.56196.first,candidates.56196.last,candidates.56196.party,candidates.56196.candidateID,candidates.56196.ballotOrder,candidates.56196.polID,candidates.56196.polNum,candidates.56196.electWon,candidates.56219.first,candidates.56219.last,candidates.56219.incumbent,candidates.56219.party,candidates.56219.candidateID,candidates.56219.ballotOrder,candidates.56219.polID,candidates.56219.polNum,candidates.56219.electWon,candidates.56219.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,UT-20221108_Eday80,45,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Mike,Lee,GOP,56219,60693,50725,True,True,True,1250000,99,0,1885207,True,20221108UT46329,2022-11-08,UT,56219,Tommy,Williams,IAP,56194,4,70420,50907,0,Evan,McMullin,Una,56195,1,65775,50944,0,James,Hansen,Lib,56196,2,44253,51260,0,Mike,Lee,True,GOP,56219,3,60693,50725,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,UT-20221108_Eday80,45,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Mike,Lee,GOP,56219,60693,50725,True,True,True,1250000,99,0,1686060,True,20221108UT46329,2022-11-08,UT,56219,Tommy,Williams,IAP,56194,4,70420,50907,0,Evan,McMullin,Una,56195,1,65775,50944,0,James,Hansen,Lib,56196,2,44253,51260,0,Mike,Lee,True,GOP,56219,3,60693,50725,0,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,UT-20221108_Eday80,45,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Mike,Lee,GOP,56219,60693,50725,True,True,True,1250000,90,0,1686060,True,20221108UT46329,2022-11-08,UT,56219,Tommy,Williams,IAP,56194,4,70420,50907,0,Evan,McMullin,Una,56195,1,65775,50944,0,James,Hansen,Lib,56196,2,44253,51260,0,Mike,Lee,True,GOP,56219,3,60693,50725,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,UT-20221108_Eday80,45,General,G,Polls Closed/Waiting First Report,Too Early to Call,S,U.S. Senate,Mike,Lee,GOP,56219,60693,50725,True,True,True,1250000,90,0,1686060,True,20221108UT46329,2022-11-08,UT,56219,Tommy,Williams,IAP,56194,4,70420,50907,0,Evan,McMullin,Una,56195,1,65775,50944,0,James,Hansen,Lib,56196,2,44253,51260,0,Mike,Lee,True,GOP,56219,3,60693,50725,0,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mike,Lee,GOP,56219,60693,50725,True,True,True,1250000,90,6183,1686060,True,20221108UT46329,2022-11-08,UT,56219,Tommy,Williams,IAP,56194,4,70420,50907,0,Evan,McMullin,Una,56195,1,65775,50944,0,James,Hansen,Lib,56196,2,44253,51260,0,Mike,Lee,True,GOP,56219,3,60693,50725,0,
1667967592,2022-11-08 22:19:52 -0600,bb461283809479aaf92a1a30cba63636f0c85695,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mike,Lee,GOP,56219,60693,50725,True,True,True,1250000,90,189396,1686060,True,20221108UT46329,2022-11-08,UT,56219,Tommy,Williams,IAP,56194,4,70420,50907,0,Evan,McMullin,Una,56195,1,65775,50944,0,James,Hansen,Lib,56196,2,44253,51260,0,Mike,Lee,True,GOP,56219,3,60693,50725,0,
1667968451,2022-11-08 22:34:11 -0600,ec7c4c2fbdf80046dac3b25dd67b45de79385a9e,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mike,Lee,GOP,56219,60693,50725,True,True,True,1250000,90,392739,1686060,True,20221108UT46329,2022-11-08,UT,56219,Tommy,Williams,IAP,56194,4,70420,50907,0,Evan,McMullin,Una,56195,1,65775,50944,0,James,Hansen,Lib,56196,2,44253,51260,0,Mike,Lee,True,GOP,56219,3,60693,50725,0,
1667969334,2022-11-08 22:48:54 -0600,564b670a16af98b12d8c8533dac3052916cfa498,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mike,Lee,GOP,56219,60693,50725,True,True,True,1250000,90,396073,1686060,True,20221108UT46329,2022-11-08,UT,56219,Tommy,Williams,IAP,56194,4,70420,50907,0,Evan,McMullin,Una,56195,1,65775,50944,0,James,Hansen,Lib,56196,2,44253,51260,0,Mike,Lee,True,GOP,56219,3,60693,50725,0,
1667969376,2022-11-08 22:49:36 -0600,4ac813ba060ccffdf02cdf61aae9dd9c0b214438,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mike,Lee,GOP,56219,60693,50725,True,True,True,1250000,90,583397,1686060,True,20221108UT46329,2022-11-08,UT,56219,Tommy,Williams,IAP,56194,4,70420,50907,0,Evan,McMullin,Una,56195,1,65775,50944,0,James,Hansen,Lib,56196,2,44253,51260,0,Mike,Lee,True,GOP,56219,3,60693,50725,0,
1667970199,2022-11-08 23:03:19 -0600,f4db6dd16c878356c43dd19f6d680eb5acf90d34,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mike,Lee,GOP,56219,60693,50725,True,True,True,1250000,90,598249,1686060,True,20221108UT46329,2022-11-08,UT,56219,Tommy,Williams,IAP,56194,4,70420,50907,0,Evan,McMullin,Una,56195,1,65775,50944,0,James,Hansen,Lib,56196,2,44253,51260,0,Mike,Lee,True,GOP,56219,3,60693,50725,0,
