captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.23995.last,candidates.23995.party,candidates.23995.candidateID,candidates.23995.ballotOrder,candidates.23995.polID,candidates.23995.polNum,candidates.23995.electWon,candidates.23996.last,candidates.23996.party,candidates.23996.candidateID,candidates.23996.ballotOrder,candidates.23996.polID,candidates.23996.polNum,candidates.23996.electWon,raceCallStatus,candidates.23995.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,IA-20221108_Eday80,16,Ballot Issue,G,Awaiting Poll Close,I,Constitutional Amendment,True,True,1 - Right to Keep and Bear Arms,1,1449623,99,0,2174435,True,20221108IA17330,2022-11-08,IA,Yes,Yes,23995,1,2,17438,0.0,No,No,23996,2,3,17439,0.0,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,IA-20221108_Eday80,16,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,1 - Right to Keep and Bear Arms,1,1449623,99,0,2174435,True,20221108IA17330,2022-11-08,IA,Yes,Yes,23995,1,2,17438,0.0,No,No,23996,2,3,17439,0.0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,IA-20221108_Eday80,16,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,1 - Right to Keep and Bear Arms,1,1449623,99,5938,2174435,True,20221108IA17330,2022-11-08,IA,Yes,Yes,23995,1,2,17438,0.0,No,No,23996,2,3,17439,0.0,,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,IA-20221108_Eday80,16,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,1 - Right to Keep and Bear Arms,1,1449623,99,11182,2174435,True,20221108IA17330,2022-11-08,IA,Yes,Yes,23995,1,2,17438,0.0,No,No,23996,2,3,17439,0.0,,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,IA-20221108_Eday80,16,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,1 - Right to Keep and Bear Arms,1,1449623,99,163255,2174435,True,20221108IA17330,2022-11-08,IA,Yes,Yes,23995,1,2,17438,0.0,No,No,23996,2,3,17439,0.0,,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,IA-20221108_Eday80,16,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,1 - Right to Keep and Bear Arms,1,1449623,99,166779,2174435,True,20221108IA17330,2022-11-08,IA,Yes,Yes,23995,1,2,17438,0.0,No,No,23996,2,3,17439,0.0,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,IA-20221108_Eday80,16,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,1 - Right to Keep and Bear Arms,1,1449623,99,167694,2174435,True,20221108IA17330,2022-11-08,IA,Yes,Yes,23995,1,2,17438,0.0,No,No,23996,2,3,17439,0.0,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,IA-20221108_Eday80,16,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,1 - Right to Keep and Bear Arms,1,1449623,99,283591,2174435,True,20221108IA17330,2022-11-08,IA,Yes,Yes,23995,1,2,17438,0.0,No,No,23996,2,3,17439,0.0,,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,IA-20221108_Eday80,16,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,1 - Right to Keep and Bear Arms,1,1449623,99,412860,2174435,True,20221108IA17330,2022-11-08,IA,Yes,Yes,23995,1,2,17438,0.0,No,No,23996,2,3,17439,0.0,,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,IA-20221108_Eday80,16,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,1 - Right to Keep and Bear Arms,1,1449623,99,537959,2174435,True,20221108IA17330,2022-11-08,IA,Yes,Yes,23995,1,2,17438,0.0,No,No,23996,2,3,17439,0.0,,,
