captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.6074.first,candidates.6074.last,candidates.6074.party,candidates.6074.candidateID,candidates.6074.ballotOrder,candidates.6074.polID,candidates.6074.polNum,candidates.6074.electWon,candidates.6262.first,candidates.6262.last,candidates.6262.party,candidates.6262.candidateID,candidates.6262.ballotOrder,candidates.6262.polID,candidates.6262.polNum,candidates.6262.electWon,candidates.6286.first,candidates.6286.last,candidates.6286.incumbent,candidates.6286.party,candidates.6286.candidateID,candidates.6286.ballotOrder,candidates.6286.polID,candidates.6286.polNum,candidates.6286.electWon,candidates.6286.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AL-20221108_Eday80,1,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,216593,99,0,1113930,True,20221108AL1378,2022-11-08,AL,6286,Beatrice,Nichols,GOP,6074,2,70508,3840,0,Gavin,Goodman,Lib,6262,3,71677,4192,0,Terrycina,Sewell,True,Dem,6286,1,60639,3028,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,216593,99,193,1113930,True,20221108AL1378,2022-11-08,AL,6286,Beatrice,Nichols,GOP,6074,2,70508,3840,0,Gavin,Goodman,Lib,6262,3,71677,4192,0,Terrycina,Sewell,True,Dem,6286,1,60639,3028,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,216593,99,7434,1113930,True,20221108AL1378,2022-11-08,AL,6286,Beatrice,Nichols,GOP,6074,2,70508,3840,0,Gavin,Goodman,Lib,6262,3,71677,4192,0,Terrycina,Sewell,True,Dem,6286,1,60639,3028,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,216593,99,14269,1113930,True,20221108AL1378,2022-11-08,AL,6286,Beatrice,Nichols,GOP,6074,2,70508,3840,0,Gavin,Goodman,Lib,6262,3,71677,4192,0,Terrycina,Sewell,True,Dem,6286,1,60639,3028,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,216593,99,28911,1113930,True,20221108AL1378,2022-11-08,AL,6286,Beatrice,Nichols,GOP,6074,2,70508,3840,0,Gavin,Goodman,Lib,6262,3,71677,4192,0,Terrycina,Sewell,True,Dem,6286,1,60639,3028,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,216593,99,40619,1113930,True,20221108AL1378,2022-11-08,AL,6286,Beatrice,Nichols,GOP,6074,2,70508,3840,0,Gavin,Goodman,Lib,6262,3,71677,4192,0,Terrycina,Sewell,True,Dem,6286,1,60639,3028,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,216593,99,44267,1113930,True,20221108AL1378,2022-11-08,AL,6286,Beatrice,Nichols,GOP,6074,2,70508,3840,0,Gavin,Goodman,Lib,6262,3,71677,4192,0,Terrycina,Sewell,True,Dem,6286,1,60639,3028,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,216593,99,76512,1113930,True,20221108AL1378,2022-11-08,AL,6286,Beatrice,Nichols,GOP,6074,2,70508,3840,0,Gavin,Goodman,Lib,6262,3,71677,4192,0,Terrycina,Sewell,True,Dem,6286,1,60639,3028,0,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,216593,99,84894,1113930,True,20221108AL1378,2022-11-08,AL,6286,Beatrice,Nichols,GOP,6074,2,70508,3840,0,Gavin,Goodman,Lib,6262,3,71677,4192,0,Terrycina,Sewell,True,Dem,6286,1,60639,3028,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,216593,99,99270,1113930,True,20221108AL1378,2022-11-08,AL,6286,Beatrice,Nichols,GOP,6074,2,70508,3840,0,Gavin,Goodman,Lib,6262,3,71677,4192,0,Terrycina,Sewell,True,Dem,6286,1,60639,3028,0,
