captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.48468.first,candidates.48468.last,candidates.48468.abbrv,candidates.48468.party,candidates.48468.incumbent,candidates.48468.candidateID,candidates.48468.polID,candidates.48468.ballotOrder,candidates.48468.polNum,candidates.48468.electWon,candidates.49434.first,candidates.49434.last,candidates.49434.abbrv,candidates.49434.party,candidates.49434.candidateID,candidates.49434.polID,candidates.49434.ballotOrder,candidates.49434.polNum,candidates.49434.electWon,candidates.49637.first,candidates.49637.last,candidates.49637.party,candidates.49637.candidateID,candidates.49637.polID,candidates.49637.ballotOrder,candidates.49637.polNum,candidates.49637.electWon,candidates.48468.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,SC-20221108_Eday62,41,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,2010662,99,0,3317279,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,SC-20221108_Eday80,41,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,0,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667952515,2022-11-09 00:08:35 +0000,b696a55e80164ecdcb71059e68ae6204a1f65e5b,SC-20221108_Eday80,41,General,G,Polls Closed/Waiting First Report,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,0,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,4786,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,22382,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,44636,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,80116,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,93239,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,127467,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,159289,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,228264,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,331266,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,343956,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,464179,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,561797,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,608285,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,669636,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,733545,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,735009,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,840577,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,861626,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,902436,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,1031369,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,1155057,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,1203544,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,1263116,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,1298275,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
1667968182,2022-11-08 22:29:42 -0600,8e189a9f8e65ddc0a78641bf1d30b4fa1f53a113,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,G,Governor,Henry,McMaster,GOP,48468,40378,44060,True,True,True,1900000,99,1342755,2850000,True,20221108SC41191,2022-11-08,SC,48468,Henry,McMaster,McMastr,GOP,True,48468,40378,2,44060,0,Joe,Cunningham,Cnnngh,Dem,49434,66886,1,44422,0,Bruce,Reeves,Lib,49637,60672,3,44979,0,2022-11-09T01:48:59.779Z
