captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.6605.first,candidates.6605.last,candidates.6605.party,candidates.6605.incumbent,candidates.6605.candidateID,candidates.6605.polID,candidates.6605.ballotOrder,candidates.6605.polNum,candidates.6605.electWon,candidates.9487.first,candidates.9487.last,candidates.9487.party,candidates.9487.candidateID,candidates.9487.polID,candidates.9487.ballotOrder,candidates.9487.polNum,candidates.9487.electWon,candidates.6605.winnerDateTime,isCertified
1668130145,2022-11-10 19:29:05 -0600,98ea731a109add7fbd21265528fd0073f50cbed9,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,277315,70,206914,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668185332,2022-11-11 10:48:52 -0600,f8e297a04c6f8a6f0c2b4dd289caaba71c183fb8,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,278849,70,206914,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668211264,2022-11-11 18:01:04 -0600,d70a08dfe106f169df382d7a05febfb81ac96759,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,278849,70,217643,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668220629,2022-11-11 20:37:09 -0600,5facb9a32881225da1e8dabb869a5ce9cb31c8c0,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,278849,70,255359,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668272167,2022-11-12 10:56:07 -0600,c659270e3a23087174eaad5f2fcc0b2d0598ebdc,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,282758,70,255359,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668273763,2022-11-12 11:22:43 -0600,68b7892374131d213f88e065bcb859aa92bf9f92,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,288480,70,255359,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668273804,2022-11-12 11:23:24 -0600,902b61a8b7490fbd9a391cd2b081515820363cdb,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,282758,70,255359,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668273846,2022-11-12 11:24:06 -0600,6080139ef046363b9c107e7e612fcc218829b586,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,288480,70,255359,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668299002,2022-11-12 18:23:22 -0600,1669f3d2f114730e9504a99ded20a006c19c1c4b,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,288480,70,266965,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668469697,2022-11-14 17:48:17 -0600,d273b7fdf89b059ec75c7c40aee59fdd43bcd876,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,288480,99,272478,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668474186,2022-11-14 19:03:06 -0600,0047284d78a06abd024ee34a165ad9f0b625a144,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,286718,99,272478,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668543958,2022-11-15 14:25:58 -0600,4b4b769f9ad2d9e4705fd2a3ddfaed7d883ae926,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,286866,99,272625,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668555910,2022-11-15 17:45:10 -0600,55f972562b643a25fde7a8ec85b5aec4820c1be9,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,286866,99,278886,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668560597,2022-11-15 19:03:17 -0600,19429614d73d8762686b41eacc9c490a05b056e7,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,285103,99,279243,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668642461,2022-11-16 17:47:41 -0600,7763e6c62bd063b9c0142c6770ea8c151c2bc39e,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,285103,99,281614,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668647463,2022-11-16 19:11:03 -0600,f0697366644d32a7816d9532c7406d764abc8c69,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,285233,99,281865,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668728433,2022-11-17 17:40:33 -0600,d67bb9c851410d1d7c17ab013ac71c4c25c1c9be,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,285847,99,282324,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668731442,2022-11-17 18:30:42 -0600,cf743e1cf87d3bd5594f4ea850604736a6c8e520,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,285176,99,282324,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668733493,2022-11-17 19:04:53 -0600,74c46728a135372b9288c6486feb293a23c6584d,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,285176,99,284244,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668816181,2022-11-18 18:03:01 -0600,7ae10a9442ad3a70973b63121754d4c3057ae584,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,287116,99,284842,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1668819441,2022-11-18 18:57:21 -0600,0fd538583f2e9a32a7db5c0e370dbdf759dc7908,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,287116,99,284841,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1669001895,2022-11-20 21:38:15 -0600,610be04c1b9f9999a2bf0a635fa14269167d332c,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,287720,99,284841,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1669037587,2022-11-21 07:33:07 -0600,1f662b0ea92e70908fdf0360d2e6467c7095e6d0,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,287720,99,285194,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1669074176,2022-11-21 17:42:56 -0600,a5bfafdfc1dd102f8f798c1990d0e772a46a3611,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,287720,99,285238,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1669079352,2022-11-21 19:09:12 -0600,87210a648d8caea07d23e41bcc4fd877de496cf6,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,287720,99,285585,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,
1669160637,2022-11-22 17:43:57 -0600,72777877f4f6557284f96546dad7b0d7089ea291,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"NW, Snohomish",True,District 1,1,287720,99,285768,938169,True,20221108WA2,2022-11-08,WA,6605,Suzan,DelBene,Dem,True,6605,61012,1,50967,0,Vincent,Cavaleri,GOP,9487,71001,2,52312,0,2022-11-09T04:44:00.616Z,False
