captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.6176.first,candidates.6176.last,candidates.6176.abbrv,candidates.6176.party,candidates.6176.candidateID,candidates.6176.polID,candidates.6176.ballotOrder,candidates.6176.polNum,candidates.6176.electWon,candidates.6178.first,candidates.6178.last,candidates.6178.abbrv,candidates.6178.party,candidates.6178.candidateID,candidates.6178.polID,candidates.6178.ballotOrder,candidates.6178.polNum,candidates.6178.electWon,candidates.6178.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OR-20221108_Eday62,38,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,373960,99,0,923615,True,20221108OR38532,2022-11-08,OR,Jamie,McLeod-Skinner,McLd-S,Dem,6176,66718,2,40941,0.0,Lori,Chavez-DeRemer,ChvzDR,GOP,6178,70186,1,40882,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,OR-20221108_Eday80,38,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,389476,99,0,923615,True,20221108OR38532,2022-11-08,OR,Jamie,McLeod-Skinner,McLd-S,Dem,6176,66718,2,40941,0.0,Lori,Chavez-DeRemer,ChvzDR,GOP,6178,70186,1,40882,0.0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,OR-20221108_Eday80,38,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 5,5,389476,99,0,923615,True,20221108OR38532,2022-11-08,OR,Jamie,McLeod-Skinner,McLd-S,Dem,6176,66718,2,40941,0.0,Lori,Chavez-DeRemer,ChvzDR,GOP,6178,70186,1,40882,0.0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,389476,99,13695,923615,True,20221108OR38532,2022-11-08,OR,Jamie,McLeod-Skinner,McLd-S,Dem,6176,66718,2,40941,0.0,Lori,Chavez-DeRemer,ChvzDR,GOP,6178,70186,1,40882,0.0,,
1667968182,2022-11-08 22:29:42 -0600,8e189a9f8e65ddc0a78641bf1d30b4fa1f53a113,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,389476,99,201476,923615,True,20221108OR38532,2022-11-08,OR,Jamie,McLeod-Skinner,McLd-S,Dem,6176,66718,2,40941,0.0,Lori,Chavez-DeRemer,ChvzDR,GOP,6178,70186,1,40882,0.0,,
1667972541,2022-11-08 23:42:21 -0600,d38f954f3e6be3d250d58a04e08655875ea7700c,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,389476,99,204135,923615,True,20221108OR38532,2022-11-08,OR,Jamie,McLeod-Skinner,McLd-S,Dem,6176,66718,2,40941,0.0,Lori,Chavez-DeRemer,ChvzDR,GOP,6178,70186,1,40882,0.0,,
1667974184,2022-11-09 00:09:44 -0600,5e29bdc6dd3e2b02c04e87a98f0009af6b85de6f,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,389476,99,211927,923615,True,20221108OR38532,2022-11-08,OR,Jamie,McLeod-Skinner,McLd-S,Dem,6176,66718,2,40941,0.0,Lori,Chavez-DeRemer,ChvzDR,GOP,6178,70186,1,40882,0.0,,
1667975072,2022-11-09 00:24:32 -0600,1160439825d46dbd816d3f7122a5cf79a867a03f,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,389476,99,212571,923615,True,20221108OR38532,2022-11-08,OR,Jamie,McLeod-Skinner,McLd-S,Dem,6176,66718,2,40941,0.0,Lori,Chavez-DeRemer,ChvzDR,GOP,6178,70186,1,40882,0.0,,
1667976630,2022-11-09 00:50:30 -0600,db8e9eae6d57d57ee926ebc81f6ed458df0e5089,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,389476,99,215761,923615,True,20221108OR38532,2022-11-08,OR,Jamie,McLeod-Skinner,McLd-S,Dem,6176,66718,2,40941,0.0,Lori,Chavez-DeRemer,ChvzDR,GOP,6178,70186,1,40882,0.0,,
1667978261,2022-11-09 01:17:41 -0600,2fcf177a45bf7e84f8682ce5ff329f68ac735ac5,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,389476,99,229199,923615,True,20221108OR38532,2022-11-08,OR,Jamie,McLeod-Skinner,McLd-S,Dem,6176,66718,2,40941,0.0,Lori,Chavez-DeRemer,ChvzDR,GOP,6178,70186,1,40882,0.0,,
