captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.13873.first,candidates.13873.last,candidates.13873.party,candidates.13873.candidateID,candidates.13873.ballotOrder,candidates.13873.polID,candidates.13873.polNum,candidates.13873.electWon,candidates.13875.first,candidates.13875.last,candidates.13875.abbrv,candidates.13875.party,candidates.13875.candidateID,candidates.13875.ballotOrder,candidates.13875.polID,candidates.13875.polNum,candidates.13875.electWon,candidates.14108.first,candidates.14108.last,candidates.14108.party,candidates.14108.candidateID,candidates.14108.ballotOrder,candidates.14108.polID,candidates.14108.polNum,candidates.14108.electWon,candidates.13873.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 8,8,253040,99,0,926250,True,20221108CO7727,2022-11-08,CO,Yadira,Caraveo,Dem,13873,1,70803,9326,0,Barbara,Kirkmeyer,Kirkmyr,GOP,13875,2,9165,8888,0,Richard,Ward,Lib,14108,3,71798,9797,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 8,8,264809,99,0,926250,True,20221108CO7727,2022-11-08,CO,Yadira,Caraveo,Dem,13873,1,70803,9326,0,Barbara,Kirkmeyer,Kirkmyr,GOP,13875,2,9165,8888,0,Richard,Ward,Lib,14108,3,71798,9797,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,264809,99,0,926250,True,20221108CO7727,2022-11-08,CO,Yadira,Caraveo,Dem,13873,1,70803,9326,0,Barbara,Kirkmeyer,Kirkmyr,GOP,13875,2,9165,8888,0,Richard,Ward,Lib,14108,3,71798,9797,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,264809,99,56159,926250,True,20221108CO7727,2022-11-08,CO,Yadira,Caraveo,Dem,13873,1,70803,9326,0,Barbara,Kirkmeyer,Kirkmyr,GOP,13875,2,9165,8888,0,Richard,Ward,Lib,14108,3,71798,9797,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,264809,99,145531,926250,True,20221108CO7727,2022-11-08,CO,Yadira,Caraveo,Dem,13873,1,70803,9326,0,Barbara,Kirkmeyer,Kirkmyr,GOP,13875,2,9165,8888,0,Richard,Ward,Lib,14108,3,71798,9797,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,264809,99,149995,926250,True,20221108CO7727,2022-11-08,CO,Yadira,Caraveo,Dem,13873,1,70803,9326,0,Barbara,Kirkmeyer,Kirkmyr,GOP,13875,2,9165,8888,0,Richard,Ward,Lib,14108,3,71798,9797,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,264809,99,155771,926250,True,20221108CO7727,2022-11-08,CO,Yadira,Caraveo,Dem,13873,1,70803,9326,0,Barbara,Kirkmeyer,Kirkmyr,GOP,13875,2,9165,8888,0,Richard,Ward,Lib,14108,3,71798,9797,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,264809,99,158089,926250,True,20221108CO7727,2022-11-08,CO,Yadira,Caraveo,Dem,13873,1,70803,9326,0,Barbara,Kirkmeyer,Kirkmyr,GOP,13875,2,9165,8888,0,Richard,Ward,Lib,14108,3,71798,9797,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,264809,99,161862,926250,True,20221108CO7727,2022-11-08,CO,Yadira,Caraveo,Dem,13873,1,70803,9326,0,Barbara,Kirkmeyer,Kirkmyr,GOP,13875,2,9165,8888,0,Richard,Ward,Lib,14108,3,71798,9797,0,,
1667969204,2022-11-08 22:46:44 -0600,861af312a343e9b4769e08b8c7c8c17fab4dadef,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,264809,99,162084,926250,True,20221108CO7727,2022-11-08,CO,Yadira,Caraveo,Dem,13873,1,70803,9326,0,Barbara,Kirkmeyer,Kirkmyr,GOP,13875,2,9165,8888,0,Richard,Ward,Lib,14108,3,71798,9797,0,,
