captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.51946.first,candidates.51946.last,candidates.51946.incumbent,candidates.51946.party,candidates.51946.candidateID,candidates.51946.ballotOrder,candidates.51946.polID,candidates.51946.polNum,candidates.51946.electWon,candidates.53168.first,candidates.53168.last,candidates.53168.abbrv,candidates.53168.party,candidates.53168.candidateID,candidates.53168.ballotOrder,candidates.53168.polID,candidates.53168.polNum,candidates.53168.electWon,candidates.51946.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,PA-20221108_Eday64,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 11,11,350747,99,0,600308,True,20221108PA39018,2022-11-08,PA,51946,Lloyd,Smucker,True,GOP,51946,2,64833,44420,0,Bob,Hollister,Hollistr,Dem,53168,1,70044,46186,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 11,11,362042,99,0,600308,True,20221108PA39018,2022-11-08,PA,51946,Lloyd,Smucker,True,GOP,51946,2,64833,44420,0,Bob,Hollister,Hollistr,Dem,53168,1,70044,46186,0,
1667947162,2022-11-08 22:39:22 +0000,f4d4d4ee9c0c708eecc555d85fad1ae05b59ac98,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 11,11,362042,95,0,600308,True,20221108PA39018,2022-11-08,PA,51946,Lloyd,Smucker,True,GOP,51946,2,64833,44420,0,Bob,Hollister,Hollistr,Dem,53168,1,70044,46186,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,PA-20221108_Eday80,39,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 11,11,362042,95,0,600308,True,20221108PA39018,2022-11-08,PA,51946,Lloyd,Smucker,True,GOP,51946,2,64833,44420,0,Bob,Hollister,Hollistr,Dem,53168,1,70044,46186,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,362042,95,0,600308,True,20221108PA39018,2022-11-08,PA,51946,Lloyd,Smucker,True,GOP,51946,2,64833,44420,0,Bob,Hollister,Hollistr,Dem,53168,1,70044,46186,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,362042,95,11749,600308,True,20221108PA39018,2022-11-08,PA,51946,Lloyd,Smucker,True,GOP,51946,2,64833,44420,0,Bob,Hollister,Hollistr,Dem,53168,1,70044,46186,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,362042,95,14956,600308,True,20221108PA39018,2022-11-08,PA,51946,Lloyd,Smucker,True,GOP,51946,2,64833,44420,0,Bob,Hollister,Hollistr,Dem,53168,1,70044,46186,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,362042,95,25531,600308,True,20221108PA39018,2022-11-08,PA,51946,Lloyd,Smucker,True,GOP,51946,2,64833,44420,0,Bob,Hollister,Hollistr,Dem,53168,1,70044,46186,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,362042,95,70239,600308,True,20221108PA39018,2022-11-08,PA,51946,Lloyd,Smucker,True,GOP,51946,2,64833,44420,0,Bob,Hollister,Hollistr,Dem,53168,1,70044,46186,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,362042,95,95018,600308,True,20221108PA39018,2022-11-08,PA,51946,Lloyd,Smucker,True,GOP,51946,2,64833,44420,0,Bob,Hollister,Hollistr,Dem,53168,1,70044,46186,0,
