captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.46592.first,candidates.46592.last,candidates.46592.party,candidates.46592.candidateID,candidates.46592.ballotOrder,candidates.46592.polID,candidates.46592.polNum,candidates.46592.electWon,candidates.46606.first,candidates.46606.last,candidates.46606.abbrv,candidates.46606.party,candidates.46606.candidateID,candidates.46606.ballotOrder,candidates.46606.polID,candidates.46606.polNum,candidates.46606.electWon,candidates.46806.first,candidates.46806.last,candidates.46806.party,candidates.46806.candidateID,candidates.46806.ballotOrder,candidates.46806.polID,candidates.46806.polNum,candidates.46806.electWon,candidates.46606.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OK-20221108_Eday80,37,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,240054,99,0,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,OK-20221108_Eday80,37,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,240054,99,0,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,240054,99,5851,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,240054,99,52725,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,240534,99,52725,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,2022-11-09T01:59:31.985Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,240534,99,156444,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,2022-11-09T01:59:31.985Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,231794,99,176003,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,2022-11-09T01:59:31.985Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,232168,99,176003,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,2022-11-09T01:59:31.985Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,232168,99,198957,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,2022-11-09T01:59:31.985Z
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,233797,99,231459,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,2022-11-09T01:59:31.985Z
1668204983,2022-11-11 16:16:23 -0600,ee136c0b9fe100482bf0f39e48814d0b81e00cd0,OK-20221108_Eday80,37,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 2,2,233797,99,231459,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,2022-11-09T01:59:31.985Z
1668568046,2022-11-15 21:07:26 -0600,fdf19c924300bd0f696da3b1b09ba48e5c55394e,OK-20221108_Eday80,37,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 2,2,231672,100,231459,955847,True,20221108OK37855,2022-11-08,OK,Naomi,Andrews,Dem,46592,2,70936,41313,0,Josh,Brecheen,Brechen,GOP,46606,1,70937,39889,0,Ben,Robinson,Ind,46806,3,57385,41451,0,2022-11-09T01:59:31.985Z
