captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.32111.first,candidates.32111.last,candidates.32111.party,candidates.32111.candidateID,candidates.32111.ballotOrder,candidates.32111.polID,candidates.32111.polNum,candidates.32111.electWon,candidates.32120.first,candidates.32120.last,candidates.32120.party,candidates.32120.candidateID,candidates.32120.ballotOrder,candidates.32120.polID,candidates.32120.polNum,candidates.32120.electWon,candidates.32652.first,candidates.32652.last,candidates.32652.party,candidates.32652.candidateID,candidates.32652.ballotOrder,candidates.32652.polID,candidates.32652.polNum,candidates.32652.electWon,candidates.32653.first,candidates.32653.last,candidates.32653.party,candidates.32653.candidateID,candidates.32653.ballotOrder,candidates.32653.polID,candidates.32653.polNum,candidates.32653.electWon,candidates.32654.first,candidates.32654.last,candidates.32654.party,candidates.32654.candidateID,candidates.32654.ballotOrder,candidates.32654.polID,candidates.32654.polNum,candidates.32654.electWon,candidates.32120.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MD-20221108_Eday80,21,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,0,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,MD-20221108_Eday80,21,General,G,Polls Closed/Waiting First Report,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,0,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,3560,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,26509,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,26627,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,30420,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,34515,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,540932,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,621401,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,684877,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,764343,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,1123482,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,1234453,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,1319697,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2350000,99,1376850,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667968406,2022-11-08 22:33:26 -0600,9894c9990b429281fa1911dc561355d202f43cc4,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2000000,99,1435340,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667969204,2022-11-08 22:46:44 -0600,861af312a343e9b4769e08b8c7c8c17fab4dadef,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2000000,99,1459266,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667970027,2022-11-08 23:00:27 -0600,0d3c5c12e1d5e510cd8a9d7ec7188e7376d3702a,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,2000000,99,1485845,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667970856,2022-11-08 23:14:16 -0600,ff06f2de4e569cd29ca92d25039a935917deb88f,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,1800000,99,1489490,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
1667971699,2022-11-08 23:28:19 -0600,ab5f2b666bd1b9bf6989ccd1e80db43497d771dc,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,G,Governor,Larry,Hogan,Hogan,GOP,29660,63859,25795,True,True,True,1800000,99,1495125,3525000,True,20221108MD22091,2022-11-08,MD,Dan,Cox,GOP,32111,1,64816,26152,0,Wes,Moore,Dem,32120,2,71129,26935,0,David,Lashar,Lib,32652,3,67841,26724,0,Nancy,Wallace,Grn,32653,4,65573,26199,0,David,Harding,WCP,32654,5,71718,26294,0,2022-11-09T01:00:04.280Z,
