captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22878.first,candidates.22878.last,candidates.22878.party,candidates.22878.candidateID,candidates.22878.polID,candidates.22878.ballotOrder,candidates.22878.polNum,candidates.22878.electWon,candidates.22879.first,candidates.22879.last,candidates.22879.abbrv,candidates.22879.party,candidates.22879.incumbent,candidates.22879.candidateID,candidates.22879.polID,candidates.22879.ballotOrder,candidates.22879.polNum,candidates.22879.electWon,candidates.22879.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CA-20221108_Eday62,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,315229,99,0,795223,True,20221108CA5695,2022-11-08,CA,22879,Michael,Barkley,Dem,22878,62828,1,11909,0.0,Tom,McClintock,McClntc,GOP,True,22879,52499,2,5301,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,323684,99,0,795040,True,20221108CA5695,2022-11-08,CA,22879,Michael,Barkley,Dem,22878,62828,1,11909,0.0,Tom,McClintock,McClntc,GOP,True,22879,52499,2,5301,0.0,,
1667950369,2022-11-08 23:32:49 +0000,88781f78b51366cb56dbc8603a43b441a541be7f,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,323684,90,0,795040,True,20221108CA5695,2022-11-08,CA,22879,Michael,Barkley,Dem,22878,62828,1,11909,0.0,Tom,McClintock,McClntc,GOP,True,22879,52499,2,5301,0.0,,
1667967767,2022-11-08 22:22:47 -0600,d2b302ebb94fe21871c9483192bb3df9a98f2ac1,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,323684,90,19303,795040,True,20221108CA5695,2022-11-08,CA,22879,Michael,Barkley,Dem,22878,62828,1,11909,0.0,Tom,McClintock,McClntc,GOP,True,22879,52499,2,5301,0.0,,
1667968622,2022-11-08 22:37:02 -0600,e74479d04a2cbc206da9d05d88b7661e84a5267c,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,323684,90,107701,795040,True,20221108CA5695,2022-11-08,CA,22879,Michael,Barkley,Dem,22878,62828,1,11909,0.0,Tom,McClintock,McClntc,GOP,True,22879,52499,2,5301,0.0,,
1667969463,2022-11-08 22:51:03 -0600,33a57724ad86936b636ee9df9a6a905b84cec6b3,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,323684,90,122882,795040,True,20221108CA5695,2022-11-08,CA,22879,Michael,Barkley,Dem,22878,62828,1,11909,0.0,Tom,McClintock,McClntc,GOP,True,22879,52499,2,5301,0.0,,
1667970327,2022-11-08 23:05:27 -0600,1b6c4725cf9e59e40e1d6792336f8520d5b10b5b,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,323684,90,133354,795040,True,20221108CA5695,2022-11-08,CA,22879,Michael,Barkley,Dem,22878,62828,1,11909,0.0,Tom,McClintock,McClntc,GOP,True,22879,52499,2,5301,0.0,,
1667971124,2022-11-08 23:18:44 -0600,f9d1c6b5aa5f6a3f4c976d51307de08576c2bf77,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,323684,90,134050,795040,True,20221108CA5695,2022-11-08,CA,22879,Michael,Barkley,Dem,22878,62828,1,11909,0.0,Tom,McClintock,McClntc,GOP,True,22879,52499,2,5301,0.0,,
1667971169,2022-11-08 23:19:29 -0600,a70df26f7f471d11543c24ba2a2ee8ee294f6f1b,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,323684,90,133354,795040,True,20221108CA5695,2022-11-08,CA,22879,Michael,Barkley,Dem,22878,62828,1,11909,0.0,Tom,McClintock,McClntc,GOP,True,22879,52499,2,5301,0.0,,
1667971213,2022-11-08 23:20:13 -0600,5f24f417653bba3396590267801436b107c31ac9,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,323684,90,134050,795040,True,20221108CA5695,2022-11-08,CA,22879,Michael,Barkley,Dem,22878,62828,1,11909,0.0,Tom,McClintock,McClntc,GOP,True,22879,52499,2,5301,0.0,,
1667972898,2022-11-08 23:48:18 -0600,7f5611a68542690dfbbea4b10f2d25fb123813f8,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,323684,90,135041,795040,True,20221108CA5695,2022-11-08,CA,22879,Michael,Barkley,Dem,22878,62828,1,11909,0.0,Tom,McClintock,McClntc,GOP,True,22879,52499,2,5301,0.0,,
