captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.40775.first,candidates.40775.last,candidates.40775.abbrv,candidates.40775.incumbent,candidates.40775.party,candidates.40775.candidateID,candidates.40775.ballotOrder,candidates.40775.polID,candidates.40775.polNum,candidates.40775.electWon,candidates.41412.first,candidates.41412.last,candidates.41412.party,candidates.41412.candidateID,candidates.41412.ballotOrder,candidates.41412.polID,candidates.41412.polNum,candidates.41412.electWon,candidates.40775.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,ND-20221108_Eday80,35,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,North Dakota at large,True,True,District 1,1,315000,99,0,582365,True,20221108ND35342,2022-11-08,ND,40775,Kelly,Armstrong,Armstrn,True,GOP,40775,1,66922,36636,0,Cara,Mund,Ind,41412,2,71765,37154,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,ND-20221108_Eday80,35,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,North Dakota at large,True,True,District 1,1,315000,99,0,582365,True,20221108ND35342,2022-11-08,ND,40775,Kelly,Armstrong,Armstrn,True,GOP,40775,1,66922,36636,0,Cara,Mund,Ind,41412,2,71765,37154,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,ND-20221108_Eday80,35,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North Dakota at large,True,True,District 1,1,315000,99,2232,582365,True,20221108ND35342,2022-11-08,ND,40775,Kelly,Armstrong,Armstrn,True,GOP,40775,1,66922,36636,0,Cara,Mund,Ind,41412,2,71765,37154,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,ND-20221108_Eday80,35,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North Dakota at large,True,True,District 1,1,315000,99,3003,582365,True,20221108ND35342,2022-11-08,ND,40775,Kelly,Armstrong,Armstrn,True,GOP,40775,1,66922,36636,0,Cara,Mund,Ind,41412,2,71765,37154,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,ND-20221108_Eday80,35,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North Dakota at large,True,True,District 1,1,315000,99,5900,582365,True,20221108ND35342,2022-11-08,ND,40775,Kelly,Armstrong,Armstrn,True,GOP,40775,1,66922,36636,0,Cara,Mund,Ind,41412,2,71765,37154,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,ND-20221108_Eday80,35,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North Dakota at large,True,True,District 1,1,315000,99,3003,582365,True,20221108ND35342,2022-11-08,ND,40775,Kelly,Armstrong,Armstrn,True,GOP,40775,1,66922,36636,0,Cara,Mund,Ind,41412,2,71765,37154,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,ND-20221108_Eday80,35,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North Dakota at large,True,True,District 1,1,315000,99,5900,582365,True,20221108ND35342,2022-11-08,ND,40775,Kelly,Armstrong,Armstrn,True,GOP,40775,1,66922,36636,0,Cara,Mund,Ind,41412,2,71765,37154,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,ND-20221108_Eday80,35,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North Dakota at large,True,True,District 1,1,315000,99,6785,582365,True,20221108ND35342,2022-11-08,ND,40775,Kelly,Armstrong,Armstrn,True,GOP,40775,1,66922,36636,0,Cara,Mund,Ind,41412,2,71765,37154,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,ND-20221108_Eday80,35,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North Dakota at large,True,True,District 1,1,315000,99,39153,582365,True,20221108ND35342,2022-11-08,ND,40775,Kelly,Armstrong,Armstrn,True,GOP,40775,1,66922,36636,0,Cara,Mund,Ind,41412,2,71765,37154,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,ND-20221108_Eday80,35,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North Dakota at large,True,True,District 1,1,315000,99,75900,582365,True,20221108ND35342,2022-11-08,ND,40775,Kelly,Armstrong,Armstrn,True,GOP,40775,1,66922,36636,0,Cara,Mund,Ind,41412,2,71765,37154,0,,
