captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.7190.first,candidates.7190.last,candidates.7190.party,candidates.7190.candidateID,candidates.7190.ballotOrder,candidates.7190.polID,candidates.7190.polNum,candidates.7190.electWon,candidates.7191.first,candidates.7191.last,candidates.7191.abbrv,candidates.7191.incumbent,candidates.7191.party,candidates.7191.candidateID,candidates.7191.ballotOrder,candidates.7191.polID,candidates.7191.polNum,candidates.7191.electWon,candidates.7196.first,candidates.7196.last,candidates.7196.party,candidates.7196.candidateID,candidates.7196.ballotOrder,candidates.7196.polID,candidates.7196.polNum,candidates.7196.electWon,candidates.7392.first,candidates.7392.last,candidates.7392.party,candidates.7392.candidateID,candidates.7392.ballotOrder,candidates.7392.polID,candidates.7392.polNum,candidates.7392.electWon,candidates.7403.last,candidates.7403.abbrv,candidates.7403.party,candidates.7403.candidateID,candidates.7403.ballotOrder,candidates.7403.polID,candidates.7403.polNum,candidates.7403.electWon,isCertified,candidates.7191.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AK-20221108_Eday80,2,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Mike,Dunleavy,Dunleav,GOP,7191,67549,4144,True,True,True,1243128,99,0,597935,True,20221108AK2010,2022-11-08,AK,7191,Les,Gara,Dem,7190,2,52022,3691,0,Mike,Dunleavy,Dunleav,True,GOP,7191,1,67549,4144,0,Charlie,Pierce,GOP,7196,3,71398,4659,0,Bill,Walker,NP,7392,4,61472,4073,0,Total Write-Ins,TtlWrt-,Oth,7403,5,100008,4642,0,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,AK-20221108_Eday80,2,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Mike,Dunleavy,Dunleav,GOP,7191,67549,4144,True,True,True,296655,99,0,597935,True,20221108AK2010,2022-11-08,AK,7191,Les,Gara,Dem,7190,2,52022,3691,0,Mike,Dunleavy,Dunleav,True,GOP,7191,1,67549,4144,0,Charlie,Pierce,GOP,7196,3,71398,4659,0,Bill,Walker,NP,7392,4,61472,4073,0,Total Write-Ins,TtlWrt-,Oth,7403,5,100008,4642,0,,
1667950906,2022-11-08 23:41:46 +0000,e16ff5d831c790d2a4ca6ae54f46d1aa82402f94,AK-20221108_Eday80,2,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Mike,Dunleavy,Dunleav,GOP,7191,67549,4144,True,True,True,335000,99,0,597935,True,20221108AK2010,2022-11-08,AK,7191,Les,Gara,Dem,7190,2,52022,3691,0,Mike,Dunleavy,Dunleav,True,GOP,7191,1,67549,4144,0,Charlie,Pierce,GOP,7196,3,71398,4659,0,Bill,Walker,NP,7392,4,61472,4073,0,Total Write-Ins,TtlWrt-,Oth,7403,5,100008,4642,0,,
1667970199,2022-11-08 23:03:19 -0600,f4db6dd16c878356c43dd19f6d680eb5acf90d34,AK-20221108_Eday80,2,General,G,Polls Closed/Waiting First Report,Too Early to Call,G,Governor,Mike,Dunleavy,Dunleav,GOP,7191,67549,4144,True,True,True,335000,99,0,597935,True,20221108AK2010,2022-11-08,AK,7191,Les,Gara,Dem,7190,2,52022,3691,0,Mike,Dunleavy,Dunleav,True,GOP,7191,1,67549,4144,0,Charlie,Pierce,GOP,7196,3,71398,4659,0,Bill,Walker,NP,7392,4,61472,4073,0,Total Write-Ins,TtlWrt-,Oth,7403,5,100008,4642,0,,
1667970241,2022-11-08 23:04:01 -0600,d53bae4b64596045c97e6eb2ac077f70fc0cec78,AK-20221108_Eday80,2,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Mike,Dunleavy,Dunleav,GOP,7191,67549,4144,True,True,True,335000,99,0,597935,True,20221108AK2010,2022-11-08,AK,7191,Les,Gara,Dem,7190,2,52022,3691,0,Mike,Dunleavy,Dunleav,True,GOP,7191,1,67549,4144,0,Charlie,Pierce,GOP,7196,3,71398,4659,0,Bill,Walker,NP,7392,4,61472,4073,0,Total Write-Ins,TtlWrt-,Oth,7403,5,100008,4642,0,,
1667970284,2022-11-08 23:04:44 -0600,0fc8b3fccaefe74cf333b488517dd0339b8dd0b7,AK-20221108_Eday80,2,General,G,Polls Closed/Waiting First Report,Too Early to Call,G,Governor,Mike,Dunleavy,Dunleav,GOP,7191,67549,4144,True,True,True,335000,99,0,597935,True,20221108AK2010,2022-11-08,AK,7191,Les,Gara,Dem,7190,2,52022,3691,0,Mike,Dunleavy,Dunleav,True,GOP,7191,1,67549,4144,0,Charlie,Pierce,GOP,7196,3,71398,4659,0,Bill,Walker,NP,7392,4,61472,4073,0,Total Write-Ins,TtlWrt-,Oth,7403,5,100008,4642,0,,
1667974988,2022-11-09 00:23:08 -0600,5d6616b419546bd84ca0c06ee5a7a5389ea5fc67,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,G,Governor,Mike,Dunleavy,Dunleav,GOP,7191,67549,4144,True,True,True,335000,99,86185,597935,True,20221108AK2010,2022-11-08,AK,7191,Les,Gara,Dem,7190,2,52022,3691,0,Mike,Dunleavy,Dunleav,True,GOP,7191,1,67549,4144,0,Charlie,Pierce,GOP,7196,3,71398,4659,0,Bill,Walker,NP,7392,4,61472,4073,0,Total Write-Ins,TtlWrt-,Oth,7403,5,100008,4642,0,,
1667975855,2022-11-09 00:37:35 -0600,d40e181df232b9ad900add6b9f138db1906ff011,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,G,Governor,Mike,Dunleavy,Dunleav,GOP,7191,67549,4144,True,True,True,307804,99,86185,597935,True,20221108AK2010,2022-11-08,AK,7191,Les,Gara,Dem,7190,2,52022,3691,0,Mike,Dunleavy,Dunleav,True,GOP,7191,1,67549,4144,0,Charlie,Pierce,GOP,7196,3,71398,4659,0,Bill,Walker,NP,7392,4,61472,4073,0,Total Write-Ins,TtlWrt-,Oth,7403,5,100008,4642,0,,
1667976671,2022-11-09 00:51:11 -0600,ea959052a4daa986b427aee926dc66fbdb41fd60,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,G,Governor,Mike,Dunleavy,Dunleav,GOP,7191,67549,4144,True,True,True,307804,99,147741,597935,True,20221108AK2010,2022-11-08,AK,7191,Les,Gara,Dem,7190,2,52022,3691,0,Mike,Dunleavy,Dunleav,True,GOP,7191,1,67549,4144,0,Charlie,Pierce,GOP,7196,3,71398,4659,0,Bill,Walker,NP,7392,4,61472,4073,0,Total Write-Ins,TtlWrt-,Oth,7403,5,100008,4642,0,,
1667977529,2022-11-09 01:05:29 -0600,41a86a702268ec57df877a606f8777dfeb75024d,AK-20221108_Eday80,2,General,G,Active Tabulation,Too Early to Call,G,Governor,Mike,Dunleavy,Dunleav,GOP,7191,67549,4144,True,True,True,307794,99,147741,597935,True,20221108AK2010,2022-11-08,AK,7191,Les,Gara,Dem,7190,2,52022,3691,0,Mike,Dunleavy,Dunleav,True,GOP,7191,1,67549,4144,0,Charlie,Pierce,GOP,7196,3,71398,4659,0,Bill,Walker,NP,7392,4,61472,4073,0,Total Write-Ins,TtlWrt-,Oth,7403,5,100008,4642,0,,
