captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.23294.first,candidates.23294.last,candidates.23294.abbrv,candidates.23294.party,candidates.23294.candidateID,candidates.23294.polID,candidates.23294.ballotOrder,candidates.23294.polNum,candidates.23294.electWon,candidates.23297.first,candidates.23297.last,candidates.23297.party,candidates.23297.candidateID,candidates.23297.polID,candidates.23297.ballotOrder,candidates.23297.polNum,candidates.23297.electWon,candidates.23726.first,candidates.23726.last,candidates.23726.party,candidates.23726.candidateID,candidates.23726.polID,candidates.23726.ballotOrder,candidates.23726.polNum,candidates.23726.electWon,candidates.23728.first,candidates.23728.last,candidates.23728.party,candidates.23728.candidateID,candidates.23728.polID,candidates.23728.ballotOrder,candidates.23728.polNum,candidates.23728.electWon,candidates.23294.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,FL-20221108_Eday62,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 23,23,298811,99,0,915630,True,20221108FL10398,2022-11-08,FL,Jared,Moskowitz,Moskwtz,Dem,23294,71620,2,14100,0,Joe,Budd,GOP,23297,60127,1,15754,0,Mark,Napier,NPA,23726,71776,3,15983,0,Christine,Scott,NPA,23728,71775,4,15984,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 23,23,312107,99,0,915630,True,20221108FL10398,2022-11-08,FL,Jared,Moskowitz,Moskwtz,Dem,23294,71620,2,14100,0,Joe,Budd,GOP,23297,60127,1,15754,0,Mark,Napier,NPA,23726,71776,3,15983,0,Christine,Scott,NPA,23728,71775,4,15984,0,
1667952515,2022-11-09 00:08:35 +0000,b696a55e80164ecdcb71059e68ae6204a1f65e5b,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 23,23,262934,99,0,915630,True,20221108FL10398,2022-11-08,FL,Jared,Moskowitz,Moskwtz,Dem,23294,71620,2,14100,0,Joe,Budd,GOP,23297,60127,1,15754,0,Mark,Napier,NPA,23726,71776,3,15983,0,Christine,Scott,NPA,23728,71775,4,15984,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,262934,99,129101,915630,True,20221108FL10398,2022-11-08,FL,Jared,Moskowitz,Moskwtz,Dem,23294,71620,2,14100,0,Joe,Budd,GOP,23297,60127,1,15754,0,Mark,Napier,NPA,23726,71776,3,15983,0,Christine,Scott,NPA,23728,71775,4,15984,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,262934,99,185508,915630,True,20221108FL10398,2022-11-08,FL,Jared,Moskowitz,Moskwtz,Dem,23294,71620,2,14100,0,Joe,Budd,GOP,23297,60127,1,15754,0,Mark,Napier,NPA,23726,71776,3,15983,0,Christine,Scott,NPA,23728,71775,4,15984,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,262934,99,197627,915630,True,20221108FL10398,2022-11-08,FL,Jared,Moskowitz,Moskwtz,Dem,23294,71620,2,14100,0,Joe,Budd,GOP,23297,60127,1,15754,0,Mark,Napier,NPA,23726,71776,3,15983,0,Christine,Scott,NPA,23728,71775,4,15984,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,262934,99,205595,915630,True,20221108FL10398,2022-11-08,FL,Jared,Moskowitz,Moskwtz,Dem,23294,71620,2,14100,0,Joe,Budd,GOP,23297,60127,1,15754,0,Mark,Napier,NPA,23726,71776,3,15983,0,Christine,Scott,NPA,23728,71775,4,15984,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,276081,99,210129,915630,True,20221108FL10398,2022-11-08,FL,Jared,Moskowitz,Moskwtz,Dem,23294,71620,2,14100,0,Joe,Budd,GOP,23297,60127,1,15754,0,Mark,Napier,NPA,23726,71776,3,15983,0,Christine,Scott,NPA,23728,71775,4,15984,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,276081,99,231937,915630,True,20221108FL10398,2022-11-08,FL,Jared,Moskowitz,Moskwtz,Dem,23294,71620,2,14100,0,Joe,Budd,GOP,23297,60127,1,15754,0,Mark,Napier,NPA,23726,71776,3,15983,0,Christine,Scott,NPA,23728,71775,4,15984,0,2022-11-09T01:39:16.938Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,276081,99,231937,915630,True,20221108FL10398,2022-11-08,FL,Jared,Moskowitz,Moskwtz,Dem,23294,71620,2,14100,0,Joe,Budd,GOP,23297,60127,1,15754,0,Mark,Napier,NPA,23726,71776,3,15983,0,Christine,Scott,NPA,23728,71775,4,15984,0,
