captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.48438.first,candidates.48438.last,candidates.48438.party,candidates.48438.incumbent,candidates.48438.candidateID,candidates.48438.polID,candidates.48438.ballotOrder,candidates.48438.polNum,candidates.48438.electWon,candidates.50775.first,candidates.50775.last,candidates.50775.party,candidates.50775.candidateID,candidates.50775.polID,candidates.50775.ballotOrder,candidates.50775.polNum,candidates.50775.electWon,candidates.50963.first,candidates.50963.last,candidates.50963.party,candidates.50963.candidateID,candidates.50963.polID,candidates.50963.ballotOrder,candidates.50963.polNum,candidates.50963.electWon,candidates.50964.first,candidates.50964.last,candidates.50964.party,candidates.50964.candidateID,candidates.50964.polID,candidates.50964.ballotOrder,candidates.50964.polNum,candidates.50964.electWon,candidates.50990.first,candidates.50990.last,candidates.50990.party,candidates.50990.candidateID,candidates.50990.polID,candidates.50990.ballotOrder,candidates.50990.polNum,candidates.50990.electWon,candidates.48438.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TN-20221108_Eday62,43,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 9,9,282719,99,0,556341,True,20221108TN43020,2022-11-08,TN,48438,Steve,Cohen,Dem,True,48438,41288,2,43538,0.0,Charlotte,Bergmann,GOP,50775,60986,1,46022,0.0,Dennis,Clark,Ind,50963,69622,3,46259,0.0,Paul,Cook,Ind,50964,64396,4,46152,0.0,George,Flinn,Ind,50990,62440,5,45752,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TN-20221108_Eday80,43,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 9,9,212823,99,0,556341,True,20221108TN43020,2022-11-08,TN,48438,Steve,Cohen,Dem,True,48438,41288,2,43538,0.0,Charlotte,Bergmann,GOP,50775,60986,1,46022,0.0,Dennis,Clark,Ind,50963,69622,3,46259,0.0,Paul,Cook,Ind,50964,64396,4,46152,0.0,George,Flinn,Ind,50990,62440,5,45752,0.0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,212823,99,3677,556341,True,20221108TN43020,2022-11-08,TN,48438,Steve,Cohen,Dem,True,48438,41288,2,43538,0.0,Charlotte,Bergmann,GOP,50775,60986,1,46022,0.0,Dennis,Clark,Ind,50963,69622,3,46259,0.0,Paul,Cook,Ind,50964,64396,4,46152,0.0,George,Flinn,Ind,50990,62440,5,45752,0.0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,TN-20221108_Eday80,43,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 9,9,212823,99,0,556341,True,20221108TN43020,2022-11-08,TN,48438,Steve,Cohen,Dem,True,48438,41288,2,43538,0.0,Charlotte,Bergmann,GOP,50775,60986,1,46022,0.0,Dennis,Clark,Ind,50963,69622,3,46259,0.0,Paul,Cook,Ind,50964,64396,4,46152,0.0,George,Flinn,Ind,50990,62440,5,45752,0.0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,212823,99,77918,556341,True,20221108TN43020,2022-11-08,TN,48438,Steve,Cohen,Dem,True,48438,41288,2,43538,0.0,Charlotte,Bergmann,GOP,50775,60986,1,46022,0.0,Dennis,Clark,Ind,50963,69622,3,46259,0.0,Paul,Cook,Ind,50964,64396,4,46152,0.0,George,Flinn,Ind,50990,62440,5,45752,0.0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,212823,99,77918,556341,True,20221108TN43020,2022-11-08,TN,48438,Steve,Cohen,Dem,True,48438,41288,2,43538,0.0,Charlotte,Bergmann,GOP,50775,60986,1,46022,0.0,Dennis,Clark,Ind,50963,69622,3,46259,0.0,Paul,Cook,Ind,50964,64396,4,46152,0.0,George,Flinn,Ind,50990,62440,5,45752,0.0,2022-11-09T03:22:39.757Z,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,212823,99,97898,556341,True,20221108TN43020,2022-11-08,TN,48438,Steve,Cohen,Dem,True,48438,41288,2,43538,0.0,Charlotte,Bergmann,GOP,50775,60986,1,46022,0.0,Dennis,Clark,Ind,50963,69622,3,46259,0.0,Paul,Cook,Ind,50964,64396,4,46152,0.0,George,Flinn,Ind,50990,62440,5,45752,0.0,2022-11-09T03:22:39.757Z,
1667970114,2022-11-08 23:01:54 -0600,68b6dbb0ab0b313af53b82f98636ce9a824bdc54,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,180899,99,126360,556341,True,20221108TN43020,2022-11-08,TN,48438,Steve,Cohen,Dem,True,48438,41288,2,43538,0.0,Charlotte,Bergmann,GOP,50775,60986,1,46022,0.0,Dennis,Clark,Ind,50963,69622,3,46259,0.0,Paul,Cook,Ind,50964,64396,4,46152,0.0,George,Flinn,Ind,50990,62440,5,45752,0.0,2022-11-09T03:22:39.757Z,
1667970156,2022-11-08 23:02:36 -0600,84ea53799ae0036a04ac85127e62d719394c963e,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,212823,99,97898,556341,True,20221108TN43020,2022-11-08,TN,48438,Steve,Cohen,Dem,True,48438,41288,2,43538,0.0,Charlotte,Bergmann,GOP,50775,60986,1,46022,0.0,Dennis,Clark,Ind,50963,69622,3,46259,0.0,Paul,Cook,Ind,50964,64396,4,46152,0.0,George,Flinn,Ind,50990,62440,5,45752,0.0,2022-11-09T03:22:39.757Z,
1667970199,2022-11-08 23:03:19 -0600,f4db6dd16c878356c43dd19f6d680eb5acf90d34,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,180899,99,126360,556341,True,20221108TN43020,2022-11-08,TN,48438,Steve,Cohen,Dem,True,48438,41288,2,43538,0.0,Charlotte,Bergmann,GOP,50775,60986,1,46022,0.0,Dennis,Clark,Ind,50963,69622,3,46259,0.0,Paul,Cook,Ind,50964,64396,4,46152,0.0,George,Flinn,Ind,50990,62440,5,45752,0.0,2022-11-09T03:22:39.757Z,
1667980354,2022-11-09 01:52:34 -0600,b95b3aa03864d3aa8e20ef68881e81d2ed7e17c2,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,176631,99,126360,556341,True,20221108TN43020,2022-11-08,TN,48438,Steve,Cohen,Dem,True,48438,41288,2,43538,0.0,Charlotte,Bergmann,GOP,50775,60986,1,46022,0.0,Dennis,Clark,Ind,50963,69622,3,46259,0.0,Paul,Cook,Ind,50964,64396,4,46152,0.0,George,Flinn,Ind,50990,62440,5,45752,0.0,2022-11-09T03:22:39.757Z,
