captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.46562.first,candidates.46562.last,candidates.46562.incumbent,candidates.46562.party,candidates.46562.candidateID,candidates.46562.ballotOrder,candidates.46562.polID,candidates.46562.polNum,candidates.46562.electWon,candidates.49921.first,candidates.49921.last,candidates.49921.party,candidates.49921.candidateID,candidates.49921.ballotOrder,candidates.49921.polID,candidates.49921.polNum,candidates.49921.electWon,candidates.50883.first,candidates.50883.last,candidates.50883.abbrv,candidates.50883.party,candidates.50883.candidateID,candidates.50883.ballotOrder,candidates.50883.polID,candidates.50883.polNum,candidates.50883.electWon,candidates.50884.first,candidates.50884.last,candidates.50884.abbrv,candidates.50884.party,candidates.50884.candidateID,candidates.50884.ballotOrder,candidates.50884.polID,candidates.50884.polNum,candidates.50884.electWon,candidates.46562.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NH-20221108_Eday80,30,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Chris,Sununu,GOP,46562,65779,38532,True,True,True,620000,99,0,869863,True,20221108NH30005,2022-11-08,NH,46562,Chris,Sununu,True,GOP,46562,4,65779,38532,0,Tom,Sherman,Dem,49921,3,71493,39207,0,Karlyn,Borysenko,Borysenk,Lib,50883,1,71804,41516,0,Kelly,Halldorson,Halldrsn,Lib,50884,2,71805,41517,0,,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,G,Governor,Chris,Sununu,GOP,46562,65779,38532,True,True,True,620000,99,10943,869863,True,20221108NH30005,2022-11-08,NH,46562,Chris,Sununu,True,GOP,46562,4,65779,38532,0,Tom,Sherman,Dem,49921,3,71493,39207,0,Karlyn,Borysenko,Borysenk,Lib,50883,1,71804,41516,0,Kelly,Halldorson,Halldrsn,Lib,50884,2,71805,41517,0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,G,Governor,Chris,Sununu,GOP,46562,65779,38532,True,True,True,620000,99,31653,869863,True,20221108NH30005,2022-11-08,NH,46562,Chris,Sununu,True,GOP,46562,4,65779,38532,0,Tom,Sherman,Dem,49921,3,71493,39207,0,Karlyn,Borysenko,Borysenk,Lib,50883,1,71804,41516,0,Kelly,Halldorson,Halldrsn,Lib,50884,2,71805,41517,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,G,Governor,Chris,Sununu,GOP,46562,65779,38532,True,True,True,620000,99,36040,869863,True,20221108NH30005,2022-11-08,NH,46562,Chris,Sununu,True,GOP,46562,4,65779,38532,0,Tom,Sherman,Dem,49921,3,71493,39207,0,Karlyn,Borysenko,Borysenk,Lib,50883,1,71804,41516,0,Kelly,Halldorson,Halldrsn,Lib,50884,2,71805,41517,0,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,G,Governor,Chris,Sununu,GOP,46562,65779,38532,True,True,True,620000,99,31653,869863,True,20221108NH30005,2022-11-08,NH,46562,Chris,Sununu,True,GOP,46562,4,65779,38532,0,Tom,Sherman,Dem,49921,3,71493,39207,0,Karlyn,Borysenko,Borysenk,Lib,50883,1,71804,41516,0,Kelly,Halldorson,Halldrsn,Lib,50884,2,71805,41517,0,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,G,Governor,Chris,Sununu,GOP,46562,65779,38532,True,True,True,620000,99,55298,869863,True,20221108NH30005,2022-11-08,NH,46562,Chris,Sununu,True,GOP,46562,4,65779,38532,0,Tom,Sherman,Dem,49921,3,71493,39207,0,Karlyn,Borysenko,Borysenk,Lib,50883,1,71804,41516,0,Kelly,Halldorson,Halldrsn,Lib,50884,2,71805,41517,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,G,Governor,Chris,Sununu,GOP,46562,65779,38532,True,True,True,620000,99,61467,869863,True,20221108NH30005,2022-11-08,NH,46562,Chris,Sununu,True,GOP,46562,4,65779,38532,0,Tom,Sherman,Dem,49921,3,71493,39207,0,Karlyn,Borysenko,Borysenk,Lib,50883,1,71804,41516,0,Kelly,Halldorson,Halldrsn,Lib,50884,2,71805,41517,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,G,Governor,Chris,Sununu,GOP,46562,65779,38532,True,True,True,620000,99,71025,869863,True,20221108NH30005,2022-11-08,NH,46562,Chris,Sununu,True,GOP,46562,4,65779,38532,0,Tom,Sherman,Dem,49921,3,71493,39207,0,Karlyn,Borysenko,Borysenk,Lib,50883,1,71804,41516,0,Kelly,Halldorson,Halldrsn,Lib,50884,2,71805,41517,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,G,Governor,Chris,Sununu,GOP,46562,65779,38532,True,True,True,620000,99,72834,869863,True,20221108NH30005,2022-11-08,NH,46562,Chris,Sununu,True,GOP,46562,4,65779,38532,0,Tom,Sherman,Dem,49921,3,71493,39207,0,Karlyn,Borysenko,Borysenk,Lib,50883,1,71804,41516,0,Kelly,Halldorson,Halldrsn,Lib,50884,2,71805,41517,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,G,Governor,Chris,Sununu,GOP,46562,65779,38532,True,True,True,620000,99,72102,869863,True,20221108NH30005,2022-11-08,NH,46562,Chris,Sununu,True,GOP,46562,4,65779,38532,0,Tom,Sherman,Dem,49921,3,71493,39207,0,Karlyn,Borysenko,Borysenk,Lib,50883,1,71804,41516,0,Kelly,Halldorson,Halldrsn,Lib,50884,2,71805,41517,0,,
