captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.61922.first,candidates.61922.last,candidates.61922.incumbent,candidates.61922.party,candidates.61922.candidateID,candidates.61922.ballotOrder,candidates.61922.polID,candidates.61922.polNum,candidates.61922.electWon,candidates.62943.first,candidates.62943.last,candidates.62943.party,candidates.62943.candidateID,candidates.62943.ballotOrder,candidates.62943.polID,candidates.62943.polNum,candidates.62943.electWon,candidates.61922.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"Panhandle, Amarillo",True,District 13,13,255910,99,0,1412857,True,20221108TX45883,2022-11-08,TX,61922,Ronny,Jackson,True,GOP,61922,2,68255,52469,0,Kathleen,Brown,Dem,62943,1,69941,53021,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Panhandle, Amarillo",True,District 13,13,255910,99,36223,1412857,True,20221108TX45883,2022-11-08,TX,61922,Ronny,Jackson,True,GOP,61922,2,68255,52469,0,Kathleen,Brown,Dem,62943,1,69941,53021,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Panhandle, Amarillo",True,District 13,13,255910,99,35953,1412857,True,20221108TX45883,2022-11-08,TX,61922,Ronny,Jackson,True,GOP,61922,2,68255,52469,0,Kathleen,Brown,Dem,62943,1,69941,53021,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Panhandle, Amarillo",True,District 13,13,255910,99,38136,1412857,True,20221108TX45883,2022-11-08,TX,61922,Ronny,Jackson,True,GOP,61922,2,68255,52469,0,Kathleen,Brown,Dem,62943,1,69941,53021,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Panhandle, Amarillo",True,District 13,13,255910,99,97867,1412857,True,20221108TX45883,2022-11-08,TX,61922,Ronny,Jackson,True,GOP,61922,2,68255,52469,0,Kathleen,Brown,Dem,62943,1,69941,53021,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Panhandle, Amarillo",True,District 13,13,255910,99,104933,1412857,True,20221108TX45883,2022-11-08,TX,61922,Ronny,Jackson,True,GOP,61922,2,68255,52469,0,Kathleen,Brown,Dem,62943,1,69941,53021,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Panhandle, Amarillo",True,District 13,13,255055,99,105714,1412857,True,20221108TX45883,2022-11-08,TX,61922,Ronny,Jackson,True,GOP,61922,2,68255,52469,0,Kathleen,Brown,Dem,62943,1,69941,53021,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Panhandle, Amarillo",True,District 13,13,255055,99,132308,1412857,True,20221108TX45883,2022-11-08,TX,61922,Ronny,Jackson,True,GOP,61922,2,68255,52469,0,Kathleen,Brown,Dem,62943,1,69941,53021,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Panhandle, Amarillo",True,District 13,13,255448,99,135775,1412857,True,20221108TX45883,2022-11-08,TX,61922,Ronny,Jackson,True,GOP,61922,2,68255,52469,0,Kathleen,Brown,Dem,62943,1,69941,53021,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Panhandle, Amarillo",True,District 13,13,255448,99,135964,1412857,True,20221108TX45883,2022-11-08,TX,61922,Ronny,Jackson,True,GOP,61922,2,68255,52469,0,Kathleen,Brown,Dem,62943,1,69941,53021,0,,
