captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22952.first,candidates.22952.last,candidates.22952.abbrv,candidates.22952.party,candidates.22952.candidateID,candidates.22952.polID,candidates.22952.ballotOrder,candidates.22952.polNum,candidates.22952.electWon,candidates.22953.first,candidates.22953.last,candidates.22953.party,candidates.22953.incumbent,candidates.22953.candidateID,candidates.22953.polID,candidates.22953.ballotOrder,candidates.22953.polNum,candidates.22953.electWon,candidates.22953.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CA-20221108_Eday62,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 18,18,180456,99,0,595261,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 18,18,210353,99,0,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 18,18,210353,90,0,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,,
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 18,18,210353,90,60625,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,,
1667969810,2022-11-08 22:56:50 -0600,b4af1c5ed222b2aca51b198a04f7adfc76d9c4e9,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 18,18,210353,90,63107,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,,
1667972364,2022-11-08 23:39:24 -0600,bfe9cb466aa6b65574c16effa903cd993efd4fe0,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,210353,90,63107,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1667973115,2022-11-08 23:51:55 -0600,76528750fef7c265d19f91ec30e86804e3da6e06,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,210353,90,63206,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,210353,90,64198,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1667975609,2022-11-09 00:33:29 -0600,62fa28ab1db323241f81f05574f15005f7d100fe,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,210353,90,66125,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
1667980111,2022-11-09 01:48:31 -0600,428d6efc67001dc34b2967bd8bff4fda13dfb188,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 18,18,210353,90,71407,595124,True,20221108CA5708,2022-11-08,CA,22953,Peter,Hernandez,Hernandz,GOP,22952,70562,1,13778,0,Zoe,Lofgren,Dem,True,22953,49,2,7141,0,2022-11-09T05:28:11.782Z,
