captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.4585.first,candidates.4585.last,candidates.4585.incumbent,candidates.4585.party,candidates.4585.candidateID,candidates.4585.ballotOrder,candidates.4585.polID,candidates.4585.polNum,candidates.4585.electWon,candidates.6548.first,candidates.6548.last,candidates.6548.abbrv,candidates.6548.party,candidates.6548.candidateID,candidates.6548.ballotOrder,candidates.6548.polID,candidates.6548.polNum,candidates.6548.electWon,candidates.4585.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,KY-20221108_Eday80,18,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,287285,99,0,887910,True,20221108KY18624,2022-11-08,KY,4585,Brett,Guthrie,True,GOP,4585,1,54282,19125,0,Hank,Linderman,Lindermn,Dem,6548,2,66274,20575,0,,
1667949573,2022-11-08 23:19:33 +0000,2891155c76df951385c61df78f71bb7f4a65a56b,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,287285,99,0,887910,True,20221108KY18624,2022-11-08,KY,4585,Brett,Guthrie,True,GOP,4585,1,54282,19125,0,Hank,Linderman,Lindermn,Dem,6548,2,66274,20575,0,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,KY-20221108_Eday80,18,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,287285,99,0,887910,True,20221108KY18624,2022-11-08,KY,4585,Brett,Guthrie,True,GOP,4585,1,54282,19125,0,Hank,Linderman,Lindermn,Dem,6548,2,66274,20575,0,,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,287285,99,0,887910,True,20221108KY18624,2022-11-08,KY,4585,Brett,Guthrie,True,GOP,4585,1,54282,19125,0,Hank,Linderman,Lindermn,Dem,6548,2,66274,20575,0,,
1667951984,2022-11-08 23:59:44 +0000,1d5f0496addabb850b6478bc4089a95c0ef07c4b,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,287285,99,2693,887910,True,20221108KY18624,2022-11-08,KY,4585,Brett,Guthrie,True,GOP,4585,1,54282,19125,0,Hank,Linderman,Lindermn,Dem,6548,2,66274,20575,0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,287285,99,2777,887910,True,20221108KY18624,2022-11-08,KY,4585,Brett,Guthrie,True,GOP,4585,1,54282,19125,0,Hank,Linderman,Lindermn,Dem,6548,2,66274,20575,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,287285,99,6633,887910,True,20221108KY18624,2022-11-08,KY,4585,Brett,Guthrie,True,GOP,4585,1,54282,19125,0,Hank,Linderman,Lindermn,Dem,6548,2,66274,20575,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,287285,99,9114,887910,True,20221108KY18624,2022-11-08,KY,4585,Brett,Guthrie,True,GOP,4585,1,54282,19125,0,Hank,Linderman,Lindermn,Dem,6548,2,66274,20575,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,287285,99,18784,887910,True,20221108KY18624,2022-11-08,KY,4585,Brett,Guthrie,True,GOP,4585,1,54282,19125,0,Hank,Linderman,Lindermn,Dem,6548,2,66274,20575,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,287285,99,44966,887910,True,20221108KY18624,2022-11-08,KY,4585,Brett,Guthrie,True,GOP,4585,1,54282,19125,0,Hank,Linderman,Lindermn,Dem,6548,2,66274,20575,0,,
