captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.23246.first,candidates.23246.last,candidates.23246.party,candidates.23246.candidateID,candidates.23246.polID,candidates.23246.ballotOrder,candidates.23246.polNum,candidates.23246.electWon,candidates.23249.first,candidates.23249.last,candidates.23249.party,candidates.23249.candidateID,candidates.23249.polID,candidates.23249.ballotOrder,candidates.23249.polNum,candidates.23249.electWon,candidates.23724.first,candidates.23724.last,candidates.23724.party,candidates.23724.candidateID,candidates.23724.polID,candidates.23724.ballotOrder,candidates.23724.polNum,candidates.23724.electWon,candidates.23246.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,FL-20221108_Eday62,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,339708,99,0,1118091,True,20221108FL10031,2022-11-08,FL,Anna,Luna,GOP,23246,69410,2,15398,0,Eric,Lynn,Dem,23249,71585,3,14778,0,Frank,Craft,Lib,23724,71774,1,15982,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,350423,99,0,1118091,True,20221108FL10031,2022-11-08,FL,Anna,Luna,GOP,23246,69410,2,15398,0,Eric,Lynn,Dem,23249,71585,3,14778,0,Frank,Craft,Lib,23724,71774,1,15982,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,FL-20221108_Eday80,10,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 13,13,331621,99,0,1118091,True,20221108FL10031,2022-11-08,FL,Anna,Luna,GOP,23246,69410,2,15398,0,Eric,Lynn,Dem,23249,71585,3,14778,0,Frank,Craft,Lib,23724,71774,1,15982,0,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,331621,99,237085,1118091,True,20221108FL10031,2022-11-08,FL,Anna,Luna,GOP,23246,69410,2,15398,0,Eric,Lynn,Dem,23249,71585,3,14778,0,Frank,Craft,Lib,23724,71774,1,15982,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,331621,99,309022,1118091,True,20221108FL10031,2022-11-08,FL,Anna,Luna,GOP,23246,69410,2,15398,0,Eric,Lynn,Dem,23249,71585,3,14778,0,Frank,Craft,Lib,23724,71774,1,15982,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,331621,99,315289,1118091,True,20221108FL10031,2022-11-08,FL,Anna,Luna,GOP,23246,69410,2,15398,0,Eric,Lynn,Dem,23249,71585,3,14778,0,Frank,Craft,Lib,23724,71774,1,15982,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,331621,99,328802,1118091,True,20221108FL10031,2022-11-08,FL,Anna,Luna,GOP,23246,69410,2,15398,0,Eric,Lynn,Dem,23249,71585,3,14778,0,Frank,Craft,Lib,23724,71774,1,15982,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,348202,99,331690,1118091,True,20221108FL10031,2022-11-08,FL,Anna,Luna,GOP,23246,69410,2,15398,0,Eric,Lynn,Dem,23249,71585,3,14778,0,Frank,Craft,Lib,23724,71774,1,15982,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,348202,99,332778,1118091,True,20221108FL10031,2022-11-08,FL,Anna,Luna,GOP,23246,69410,2,15398,0,Eric,Lynn,Dem,23249,71585,3,14778,0,Frank,Craft,Lib,23724,71774,1,15982,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 13,13,348202,99,332778,1118091,True,20221108FL10031,2022-11-08,FL,Anna,Luna,GOP,23246,69410,2,15398,0,Eric,Lynn,Dem,23249,71585,3,14778,0,Frank,Craft,Lib,23724,71774,1,15982,0,2022-11-09T01:43:43.801Z
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 13,13,348202,99,333590,1118091,True,20221108FL10031,2022-11-08,FL,Anna,Luna,GOP,23246,69410,2,15398,0,Eric,Lynn,Dem,23249,71585,3,14778,0,Frank,Craft,Lib,23724,71774,1,15982,0,2022-11-09T01:43:43.801Z
