captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.53971.first,candidates.53971.last,candidates.53971.party,candidates.53971.candidateID,candidates.53971.ballotOrder,candidates.53971.polID,candidates.53971.polNum,candidates.53971.electWon,candidates.53975.first,candidates.53975.last,candidates.53975.party,candidates.53975.candidateID,candidates.53975.ballotOrder,candidates.53975.polID,candidates.53975.polNum,candidates.53975.electWon,candidates.54243.first,candidates.54243.last,candidates.54243.party,candidates.54243.candidateID,candidates.54243.ballotOrder,candidates.54243.polID,candidates.54243.polNum,candidates.54243.electWon,candidates.54244.first,candidates.54244.last,candidates.54244.party,candidates.54244.candidateID,candidates.54244.ballotOrder,candidates.54244.polID,candidates.54244.polNum,candidates.54244.electWon,candidates.54245.first,candidates.54245.last,candidates.54245.party,candidates.54245.candidateID,candidates.54245.ballotOrder,candidates.54245.polID,candidates.54245.polNum,candidates.54245.electWon,candidates.54270.first,candidates.54270.last,candidates.54270.party,candidates.54270.candidateID,candidates.54270.ballotOrder,candidates.54270.polID,candidates.54270.polNum,candidates.54270.electWon,candidates.53971.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,VT-20221108_Eday80,46,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,True,District 1,1,239338,99,0,499349,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,VT-20221108_Eday80,46,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,0,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,689,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,1720,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,3733,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,6644,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,14660,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,14329,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,28625,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,34442,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,34765,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,82715,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,83905,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,True,District 1,1,322465,99,89345,483698,True,20221108VT46374,2022-11-08,VT,Becca,Balint,Dem,53971,1,71178,49704,0,Liam,Madden,GOP,53975,3,71179,50348,0,Matt,Druzba,Ind,54243,2,71699,50469,0,Adam,Ortiz,Ind,54244,4,71700,50470,0,Luke,Talbot,Ind,54245,6,71701,50471,0,Ericka,Redic,Lib,54270,5,71180,50172,0,
