captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt,candidates.1.winner,candidates.1.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108IL15995,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T20:38:22.077Z,0,621,0.0,27825,0,0.0,29250,0,0.0,275102,99,0,1139270,0,0,,,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108IL15995,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:03:13.884Z,0,621,0.0,27825,0,0.0,29250,0,0.0,275102,99,0,1139270,0,0,,,,,,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,20221108IL15995,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T23:21:53.962Z,0,621,0.0,27825,0,0.0,29250,0,0.0,275102,99,0,1139270,0,0,,,,,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108IL15995,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T00:47:35.125Z,0,621,0.0,27825,0,0.0,29250,0,0.0,275102,99,0,1139270,0,0,,,,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108IL15995,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:04:06.099Z,0,621,0.0,27825,0,0.0,29250,0,0.0,275102,99,0,1139270,0,0,,,,,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108IL15995,live,1.3,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:43:56.715Z,9,621,1.45,29250,1904,53.29,27825,1669,46.71,275102,99,3573,1139270,9,8,0.0,,,,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108IL15995,live,2.96,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:52:58.600Z,21,621,3.38,29250,4324,53.12,27825,3816,46.88,275102,99,8140,1139270,21,18,0.0,,,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108IL15995,live,12.85,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:03:10.008Z,83,621,13.37,27825,17675,50.01,29250,17665,49.99,275102,99,35340,1139270,83,80,1.0,,,,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108IL15995,live,12.85,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:05:46.770Z,83,621,13.37,27825,17675,50.01,29250,17665,49.99,275102,99,35340,1139270,83,80,1.0,,,,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108IL15995,live,17.54,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:17:39.018Z,104,621,16.75,27825,24471,50.71,29250,23786,49.29,275102,99,48257,1139270,104,109,1.0,,,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108IL15995,live,19.06,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:24:45.459Z,114,621,18.36,27825,26671,50.86,29250,25773,49.14,275102,99,52444,1139270,114,118,1.0,,,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108IL15995,live,20.45,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:29:34.007Z,123,621,19.81,27825,28642,50.92,29250,27607,49.08,275102,99,56249,1139270,123,127,1.0,,,,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,20221108IL15995,live,35.29,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:48:18.792Z,198,621,31.88,29250,49343,50.82,27825,47748,49.18,275102,99,97091,1139270,198,219,0.0,,,,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,20221108IL15995,live,45.7,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:54:54.562Z,252,621,40.58,27825,63025,50.13,29250,62710,49.87,275102,99,125735,1139270,252,284,1.0,,,,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108IL15995,live,45.7,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:56:12.066Z,252,621,40.58,27825,63025,50.13,29250,62710,49.87,275102,99,125735,1139270,252,284,1.0,,,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108IL15995,live,46.29,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:02:57.924Z,255,621,41.06,27825,63884,50.17,29250,63458,49.83,275102,99,127342,1139270,255,287,1.0,,,,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,20221108IL15995,live,47.83,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:22:08.897Z,263,621,42.35,27825,66138,50.26,29250,65457,49.74,275102,99,131595,1139270,263,297,1.0,,,,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,20221108IL15995,live,48.12,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:47:34.401Z,264,621,42.51,27825,66403,50.16,29250,65982,49.84,275102,99,132385,1139270,264,299,1.0,,,,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108IL15995,live,92.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T04:00:02.527Z,585,621,94.2,27825,136707,54.01,29250,116399,45.99,275102,99,253106,1139270,585,571,1.0,,,,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108IL15995,live,92.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T04:17:48.309Z,585,621,94.2,27825,136707,54.01,29250,116399,45.99,275102,99,253106,1139270,585,571,1.0,,,,,
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,20221108IL15995,live,93.66,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T04:19:50.200Z,593,621,95.49,27825,139077,53.98,29250,118572,46.02,275102,99,257649,1139270,593,582,1.0,,,,,
1667969505,2022-11-08 22:51:45 -0600,ffc1def8f9e2bf7a494bb8b128a38f199b58da48,20221108IL15995,live,94.65,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T04:50:55.137Z,596,621,95.97,27825,140106,53.81,29250,120272,46.19,275102,99,260378,1139270,596,588,1.0,0.0,,,,
1667970156,2022-11-08 23:02:36 -0600,84ea53799ae0036a04ac85127e62d719394c963e,20221108IL15995,live,94.65,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T05:01:23.742Z,596,621,95.97,27825,140106,53.81,29250,120272,46.19,275102,99,260378,1139270,596,588,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
1667970504,2022-11-08 23:08:24 -0600,218805bf82c018e2091a699549a3db0180a36d98,20221108IL15995,live,95.89,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T05:07:11.988Z,605,621,97.42,29250,141938,53.81,27825,121855,46.19,275102,99,263793,1139270,605,595,0.0,1.0,,,X,2022-11-09T05:01:23.557Z
1667970944,2022-11-08 23:15:44 -0600,ade12abccb70834d17788a299f1a5de3ad7d230d,20221108IL15995,live,95.89,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T05:11:59.634Z,605,621,97.42,29250,141938,53.81,27825,121855,46.19,275102,99,263793,1139270,605,595,0.0,1.0,,,X,2022-11-09T05:01:23.557Z
1667971079,2022-11-08 23:17:59 -0600,1cf7281bce65e8581e70a1164dc3589ed87371d4,20221108IL15995,live,96.23,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T05:16:29.667Z,607,621,97.75,29250,142433,53.8,27825,122302,46.2,275102,99,264735,1139270,607,598,0.0,1.0,,,X,2022-11-09T05:01:23.557Z
1667972216,2022-11-08 23:36:56 -0600,85a5bd7dbe5253f418489691a179128d5ff518d6,20221108IL15995,live,95.39,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T05:30:26.710Z,600,621,96.62,27825,141004,53.73,29250,121414,46.27,275102,99,262418,1139270,600,592,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
1667972364,2022-11-08 23:39:24 -0600,bfe9cb466aa6b65574c16effa903cd993efd4fe0,20221108IL15995,live,95.39,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T05:38:22.640Z,600,621,96.62,27825,141004,53.73,29250,121414,46.27,275102,99,262418,1139270,600,592,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
1667972810,2022-11-08 23:46:50 -0600,aa61daf8417c040e13c56de238053c966d7a0302,20221108IL15995,live,96.23,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T05:43:59.184Z,607,621,97.75,27825,142136,53.69,29250,122599,46.31,275102,99,264735,1139270,607,598,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
1667973115,2022-11-08 23:51:55 -0600,76528750fef7c265d19f91ec30e86804e3da6e06,20221108IL15995,live,96.23,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T05:51:05.292Z,607,621,97.75,27825,142136,53.69,29250,122599,46.31,275102,99,264735,1139270,607,598,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
1667973512,2022-11-08 23:58:32 -0600,c5b8277525be0367964460ee9775326f5b2cc341,20221108IL15995,live,96.9,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T05:56:58.850Z,617,621,99.36,27825,143133,53.69,29250,123445,46.31,275102,99,266578,1139270,617,602,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
1667973692,2022-11-09 00:01:32 -0600,ace2173236427104569b3ce7a51ec8e19284acf6,20221108IL15995,live,96.9,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T06:00:10.221Z,617,621,99.36,27825,143133,53.69,29250,123445,46.31,275102,99,266578,1139270,617,602,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,20221108IL15995,live,96.9,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T06:16:23.153Z,617,621,99.36,27825,143133,53.69,29250,123445,46.31,275102,99,266578,1139270,617,602,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
1667980799,2022-11-09 01:59:59 -0600,934823804566c431cf70570e863807e708ff1c49,20221108IL15995,live,96.9,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T07:58:40.901Z,617,621,99.36,27825,143133,53.69,29250,123445,46.31,275102,99,266578,1139270,617,602,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
1667983471,2022-11-09 02:44:31 -0600,70d36d9850461d49fa32ba3e867341f797936529,20221108IL15995,live,93.79,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T08:40:11.162Z,617,621,99.36,27825,143133,53.69,29250,123445,46.31,284233,99,266578,1139270,617,582,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
1667983801,2022-11-09 02:50:01 -0600,f8dcd2921862fa8f2b18f478a2ad042ae3e8bf73,20221108IL15995,live,95.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T08:48:41.884Z,617,621,99.36,27825,143133,53.69,29250,123445,46.31,280609,99,266578,1139270,617,590,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
1668022645,2022-11-09 13:37:25 -0600,77d960866af403ade41304d9d9a1c54e73be07eb,20221108IL15995,live,95.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T19:36:28.605Z,617,621,99.36,27825,143133,53.69,29250,123445,46.31,280609,99,266578,1139270,617,590,1.0,0.0,X,2022-11-09T05:01:23.557Z,,
