captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.39326.first,candidates.39326.last,candidates.39326.abbrv,candidates.39326.party,candidates.39326.candidateID,candidates.39326.ballotOrder,candidates.39326.polID,candidates.39326.polNum,candidates.39326.electWon,candidates.39327.first,candidates.39327.last,candidates.39327.abbrv,candidates.39327.incumbent,candidates.39327.party,candidates.39327.candidateID,candidates.39327.ballotOrder,candidates.39327.polID,candidates.39327.polNum,candidates.39327.electWon,candidates.39327.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NM-20221108_Eday80,32,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1 ,1,260732,98,0,687751,True,20221108NM34051,2022-11-08,NM,39327,Michelle,Garcia Holmes,GarcHlms,GOP,39326,2,68480,34786,0.0,Melanie,Stansbury,Stansbry,True,Dem,39327,1,69709,34803,0.0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1 ,1,270055,98,1550,687751,True,20221108NM34051,2022-11-08,NM,39327,Michelle,Garcia Holmes,GarcHlms,GOP,39326,2,68480,34786,0.0,Melanie,Stansbury,Stansbry,True,Dem,39327,1,69709,34803,0.0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1 ,1,270055,98,3006,687751,True,20221108NM34051,2022-11-08,NM,39327,Michelle,Garcia Holmes,GarcHlms,GOP,39326,2,68480,34786,0.0,Melanie,Stansbury,Stansbry,True,Dem,39327,1,69709,34803,0.0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1 ,1,271967,98,3006,687751,True,20221108NM34051,2022-11-08,NM,39327,Michelle,Garcia Holmes,GarcHlms,GOP,39326,2,68480,34786,0.0,Melanie,Stansbury,Stansbry,True,Dem,39327,1,69709,34803,0.0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1 ,1,271967,98,3935,687751,True,20221108NM34051,2022-11-08,NM,39327,Michelle,Garcia Holmes,GarcHlms,GOP,39326,2,68480,34786,0.0,Melanie,Stansbury,Stansbry,True,Dem,39327,1,69709,34803,0.0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1 ,1,271967,98,142098,687751,True,20221108NM34051,2022-11-08,NM,39327,Michelle,Garcia Holmes,GarcHlms,GOP,39326,2,68480,34786,0.0,Melanie,Stansbury,Stansbry,True,Dem,39327,1,69709,34803,0.0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1 ,1,271967,98,147342,687751,True,20221108NM34051,2022-11-08,NM,39327,Michelle,Garcia Holmes,GarcHlms,GOP,39326,2,68480,34786,0.0,Melanie,Stansbury,Stansbry,True,Dem,39327,1,69709,34803,0.0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1 ,1,271967,98,192307,687751,True,20221108NM34051,2022-11-08,NM,39327,Michelle,Garcia Holmes,GarcHlms,GOP,39326,2,68480,34786,0.0,Melanie,Stansbury,Stansbry,True,Dem,39327,1,69709,34803,0.0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1 ,1,271967,98,194869,687751,True,20221108NM34051,2022-11-08,NM,39327,Michelle,Garcia Holmes,GarcHlms,GOP,39326,2,68480,34786,0.0,Melanie,Stansbury,Stansbry,True,Dem,39327,1,69709,34803,0.0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 1 ,1,271967,98,203322,687751,True,20221108NM34051,2022-11-08,NM,39327,Michelle,Garcia Holmes,GarcHlms,GOP,39326,2,68480,34786,0.0,Melanie,Stansbury,Stansbry,True,Dem,39327,1,69709,34803,0.0,2022-11-09T04:10:31.953Z,
