captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.18826.first,candidates.18826.last,candidates.18826.incumbent,candidates.18826.party,candidates.18826.candidateID,candidates.18826.ballotOrder,candidates.18826.polID,candidates.18826.polNum,candidates.18826.electWon,candidates.22551.first,candidates.22551.last,candidates.22551.party,candidates.22551.candidateID,candidates.22551.ballotOrder,candidates.22551.polID,candidates.22551.polNum,candidates.22551.electWon,candidates.22761.first,candidates.22761.last,candidates.22761.party,candidates.22761.candidateID,candidates.22761.ballotOrder,candidates.22761.polID,candidates.22761.polNum,candidates.22761.electWon,candidates.22762.first,candidates.22762.last,candidates.22762.party,candidates.22762.candidateID,candidates.22762.ballotOrder,candidates.22762.polID,candidates.22762.polNum,candidates.22762.electWon,candidates.18826.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CT-20221108_Eday80,7,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,316859,95,0,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CT-20221108_Eday81,7,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,316859,95,0,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,316802,95,4003,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,316956,95,17874,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,316956,95,14663,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,316956,95,19068,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,316746,95,36461,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,316746,95,35703,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,316969,95,55072,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317005,95,59350,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317217,95,67088,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317005,95,64152,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317010,95,75005,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317217,95,67088,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317010,95,75005,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317019,95,76695,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317463,95,100865,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317463,95,113148,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317455,95,127596,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317818,95,135711,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317911,95,141176,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,317645,95,151243,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667968931,2022-11-08 22:42:11 -0600,cca40a484cb23456c0df129e9bd1750068cb4880,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,316760,95,159348,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
1667969768,2022-11-08 22:56:08 -0600,13751e5ba6ec1b0e3bf8ed4bdd82f9ad01fec7e2,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,314997,95,171905,797249,True,20221108CT7009,2022-11-08,CT,18826,Joe,Courtney,True,Dem,18826,1,1231,12779,0,Mike,France,GOP,22551,2,71294,14060,0,William,Hall,Lib,22761,3,71814,15091,0,Kevin,Blacker,Grn,22762,4,71815,15092,0,,
