captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.11571.first,candidates.11571.last,candidates.11571.abbrv,candidates.11571.party,candidates.11571.incumbent,candidates.11571.candidateID,candidates.11571.polID,candidates.11571.ballotOrder,candidates.11571.polNum,candidates.11571.electWon,candidates.13968.first,candidates.13968.last,candidates.13968.abbrv,candidates.13968.party,candidates.13968.candidateID,candidates.13968.polID,candidates.13968.ballotOrder,candidates.13968.polNum,candidates.13968.electWon,candidates.14276.first,candidates.14276.last,candidates.14276.party,candidates.14276.candidateID,candidates.14276.polID,candidates.14276.ballotOrder,candidates.14276.polNum,candidates.14276.electWon,candidates.11571.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AR-20221108_Eday62,4,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,232421,99,0,552269,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,AR-20221108_Eday80,4,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,208018,99,0,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,AR-20221108_Eday80,4,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 3,3,208018,99,0,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,208018,99,8709,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,208018,99,6183,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,208018,99,8709,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,208018,99,18999,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,208018,99,8709,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,208018,99,76407,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,208018,99,104213,624299,True,20221108AR6092,2022-11-08,AR,11571,Steve,Womack,WomaSt,GOP,True,11571,60238,3,7770,0,Lauren,Mallett-Hays,Mlltt-H,Dem,13968,70525,2,8905,0,Michael,Kalagias,Lib,14276,66362,1,8428,0,
