captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.53107.first,candidates.53107.last,candidates.53107.party,candidates.53107.candidateID,candidates.53107.ballotOrder,candidates.53107.polID,candidates.53107.polNum,candidates.53107.electWon,candidates.53117.first,candidates.53117.last,candidates.53117.abbrv,candidates.53117.party,candidates.53117.candidateID,candidates.53117.ballotOrder,candidates.53117.polID,candidates.53117.polNum,candidates.53117.electWon,candidates.53518.first,candidates.53518.last,candidates.53518.abbrv,candidates.53518.party,candidates.53518.candidateID,candidates.53518.ballotOrder,candidates.53518.polID,candidates.53518.polNum,candidates.53518.electWon,candidates.53519.first,candidates.53519.last,candidates.53519.party,candidates.53519.candidateID,candidates.53519.ballotOrder,candidates.53519.polID,candidates.53519.polNum,candidates.53519.electWon,candidates.53520.first,candidates.53520.last,candidates.53520.party,candidates.53520.candidateID,candidates.53520.ballotOrder,candidates.53520.polID,candidates.53520.polNum,candidates.53520.electWon,candidates.53107.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Tom,Wolf,Wolf,Dem,50216,63485,44827,True,True,True,5513811,99,0,8735712,True,20221108PA39292,2022-11-08,PA,Josh,Shapiro,Dem,53107,1,70066,43320,0,Douglas,Mastriano,Mastrian,GOP,53117,2,66451,45737,0,Matt,Hackenburg,Hacknbrg,Lib,53518,3,71362,46471,0,Christina,Digiulio,Grn,53519,4,71363,46470,0,Joseph,Soloski,Key,53520,5,71361,45761,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Tom,Wolf,Wolf,Dem,50216,63485,44827,True,True,True,5900000,99,0,8795652,True,20221108PA39292,2022-11-08,PA,Josh,Shapiro,Dem,53107,1,70066,43320,0,Douglas,Mastriano,Mastrian,GOP,53117,2,66451,45737,0,Matt,Hackenburg,Hacknbrg,Lib,53518,3,71362,46471,0,Christina,Digiulio,Grn,53519,4,71363,46470,0,Joseph,Soloski,Key,53520,5,71361,45761,0,,
1667946903,2022-11-08 22:35:03 +0000,cb1028268673c8c2a42a51ee33da39f10a4ad1c1,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Tom,Wolf,Wolf,Dem,50216,63485,44827,True,True,True,5900000,95,0,8795652,True,20221108PA39292,2022-11-08,PA,Josh,Shapiro,Dem,53107,1,70066,43320,0,Douglas,Mastriano,Mastrian,GOP,53117,2,66451,45737,0,Matt,Hackenburg,Hacknbrg,Lib,53518,3,71362,46471,0,Christina,Digiulio,Grn,53519,4,71363,46470,0,Joseph,Soloski,Key,53520,5,71361,45761,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,G,Governor,Tom,Wolf,Wolf,Dem,50216,63485,44827,True,True,True,5900000,95,155538,8795652,True,20221108PA39292,2022-11-08,PA,Josh,Shapiro,Dem,53107,1,70066,43320,0,Douglas,Mastriano,Mastrian,GOP,53117,2,66451,45737,0,Matt,Hackenburg,Hacknbrg,Lib,53518,3,71362,46471,0,Christina,Digiulio,Grn,53519,4,71363,46470,0,Joseph,Soloski,Key,53520,5,71361,45761,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,G,Governor,Tom,Wolf,Wolf,Dem,50216,63485,44827,True,True,True,5900000,95,247547,8795652,True,20221108PA39292,2022-11-08,PA,Josh,Shapiro,Dem,53107,1,70066,43320,0,Douglas,Mastriano,Mastrian,GOP,53117,2,66451,45737,0,Matt,Hackenburg,Hacknbrg,Lib,53518,3,71362,46471,0,Christina,Digiulio,Grn,53519,4,71363,46470,0,Joseph,Soloski,Key,53520,5,71361,45761,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,G,Governor,Tom,Wolf,Wolf,Dem,50216,63485,44827,True,True,True,5900000,95,260499,8795652,True,20221108PA39292,2022-11-08,PA,Josh,Shapiro,Dem,53107,1,70066,43320,0,Douglas,Mastriano,Mastrian,GOP,53117,2,66451,45737,0,Matt,Hackenburg,Hacknbrg,Lib,53518,3,71362,46471,0,Christina,Digiulio,Grn,53519,4,71363,46470,0,Joseph,Soloski,Key,53520,5,71361,45761,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,G,Governor,Tom,Wolf,Wolf,Dem,50216,63485,44827,True,True,True,5900000,95,247547,8795652,True,20221108PA39292,2022-11-08,PA,Josh,Shapiro,Dem,53107,1,70066,43320,0,Douglas,Mastriano,Mastrian,GOP,53117,2,66451,45737,0,Matt,Hackenburg,Hacknbrg,Lib,53518,3,71362,46471,0,Christina,Digiulio,Grn,53519,4,71363,46470,0,Joseph,Soloski,Key,53520,5,71361,45761,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,G,Governor,Tom,Wolf,Wolf,Dem,50216,63485,44827,True,True,True,5900000,95,288724,8795652,True,20221108PA39292,2022-11-08,PA,Josh,Shapiro,Dem,53107,1,70066,43320,0,Douglas,Mastriano,Mastrian,GOP,53117,2,66451,45737,0,Matt,Hackenburg,Hacknbrg,Lib,53518,3,71362,46471,0,Christina,Digiulio,Grn,53519,4,71363,46470,0,Joseph,Soloski,Key,53520,5,71361,45761,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,G,Governor,Tom,Wolf,Wolf,Dem,50216,63485,44827,True,True,True,5900000,95,431136,8795652,True,20221108PA39292,2022-11-08,PA,Josh,Shapiro,Dem,53107,1,70066,43320,0,Douglas,Mastriano,Mastrian,GOP,53117,2,66451,45737,0,Matt,Hackenburg,Hacknbrg,Lib,53518,3,71362,46471,0,Christina,Digiulio,Grn,53519,4,71363,46470,0,Joseph,Soloski,Key,53520,5,71361,45761,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,G,Governor,Tom,Wolf,Wolf,Dem,50216,63485,44827,True,True,True,5900000,95,481416,8795652,True,20221108PA39292,2022-11-08,PA,Josh,Shapiro,Dem,53107,1,70066,43320,0,Douglas,Mastriano,Mastrian,GOP,53117,2,66451,45737,0,Matt,Hackenburg,Hacknbrg,Lib,53518,3,71362,46471,0,Christina,Digiulio,Grn,53519,4,71363,46470,0,Joseph,Soloski,Key,53520,5,71361,45761,0,,
