captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.86416.first,candidates.86416.last,candidates.86416.party,candidates.86416.candidateID,candidates.86416.ballotOrder,candidates.86416.polID,candidates.86416.polNum,candidates.86416.electWon,candidates.86417.first,candidates.86417.last,candidates.86417.incumbent,candidates.86417.party,candidates.86417.candidateID,candidates.86417.ballotOrder,candidates.86417.polID,candidates.86417.polNum,candidates.86417.electWon,candidates.86417.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY-20221108_Eday62,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 24,24,280148,99,0,976970,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 24,24,276605,99,0,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,276605,99,0,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,276605,99,12278,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,276605,99,18566,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,276605,99,22664,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,276605,99,26791,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,279821,99,74619,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,279821,99,98664,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,279821,99,204992,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,281380,99,209314,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,281380,99,217697,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,2022-11-09T03:57:08.052Z
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,281380,99,227432,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,2022-11-09T03:57:08.052Z
1667968092,2022-11-08 22:28:12 -0600,c3a7bcfa6d57d19e0339cd5eff437c13c5a7dec5,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,281380,99,217697,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,2022-11-09T03:57:08.052Z
1667968138,2022-11-08 22:28:58 -0600,78be3d1941803188124b187362be51adf1e8fdfb,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,281380,99,227432,987617,True,20221108NY36604,2022-11-08,NY,86417,Steven,Holden,Dem,86416,1,71467,55605,0,Claudia,Tenney,True,GOP,86417,2,63809,52075,0,2022-11-09T03:57:08.052Z
