captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.23311.first,candidates.23311.last,candidates.23311.party,candidates.23311.candidateID,candidates.23311.polID,candidates.23311.ballotOrder,candidates.23311.polNum,candidates.23311.electWon,candidates.23313.first,candidates.23313.last,candidates.23313.abbrv,candidates.23313.party,candidates.23313.incumbent,candidates.23313.candidateID,candidates.23313.polID,candidates.23313.ballotOrder,candidates.23313.polNum,candidates.23313.electWon,candidates.23313.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,FL-20221108_Eday62,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 26,26,203866,99,0,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 26,26,234482,99,0,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 26,26,218133,99,79192,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 26,26,218133,99,130361,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 26,26,218133,99,133540,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 26,26,218133,99,170416,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 26,26,218133,99,170658,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 26,26,219239,99,196899,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,219239,99,196899,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,219239,99,197347,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,219239,99,200266,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,219576,99,200266,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,219576,99,200713,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,202740,99,200713,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,202740,99,201054,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1667972943,2022-11-08 23:49:03 -0600,2188e3ab5f27e10fb4df9e561d0af4cab5cf665c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,204022,99,201982,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1667976954,2022-11-09 00:55:54 -0600,b26423d65e9f21df9fee7b50d1d50f05b43eb8df,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,219576,99,201982,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1667985683,2022-11-09 03:21:23 -0600,8d6490b73382f2ed58c3fbdb846897b79d79f217,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,204022,99,201982,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1668044147,2022-11-09 19:35:47 -0600,f4b2930f484ea721eba7cf1d0e4dd26718eb8dcd,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,204022,99,202003,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1668117022,2022-11-10 15:50:22 -0600,4e7a3bfec1b36bf4653ed2354280e2ef90b2ae61,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 26,26,204022,99,202003,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1668125535,2022-11-10 18:12:15 -0600,7283b8bef5bf81bfdec5daa6c8f736f547c976f7,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,204022,99,202012,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1668211768,2022-11-11 18:09:28 -0600,12bba620e1544129d82f0351612a8159fc3dda19,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 26,26,204022,99,202013,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1668302710,2022-11-12 19:25:10 -0600,583aaf8fef85a4e507fc134ea1d98f1402d7157b,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 26,26,204022,99,202031,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1668443672,2022-11-14 10:34:32 -0600,8840fe007c2289cb5d0b39065214027ed33ca9ed,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 26,26,204022,99,122296,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1668447279,2022-11-14 11:34:39 -0600,571d1a9e2cf983a5bce0906e11cef01f36bb5560,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 26,26,204022,99,202064,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
1669048638,2022-11-21 10:37:18 -0600,4a833f55035bdf60244896e2416e3ddba7b39cd2,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 26,26,202108,100,202064,920372,True,20221108FL11586,2022-11-08,FL,23313,Christine,Olivo,Dem,23311,69548,2,15651,0,Mario,Diaz-Balart,DizBlrt,GOP,True,23313,878,1,11312,0,2022-11-09T01:27:59.003Z
