captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.63502.first,candidates.63502.last,candidates.63502.abbrv,candidates.63502.party,candidates.63502.candidateID,candidates.63502.polID,candidates.63502.ballotOrder,candidates.63502.polNum,candidates.63502.electWon,candidates.63503.first,candidates.63503.last,candidates.63503.party,candidates.63503.candidateID,candidates.63503.polID,candidates.63503.ballotOrder,candidates.63503.polNum,candidates.63503.electWon,candidates.63504.first,candidates.63504.last,candidates.63504.party,candidates.63504.candidateID,candidates.63504.polID,candidates.63504.ballotOrder,candidates.63504.polNum,candidates.63504.electWon,candidates.63503.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,West Houston & subs,True,District 38,38,16886,99,0,56085,True,20221108TX49951,2022-11-08,TX,Duncan,Klussmann,Klussmnn,Dem,63502,69923,3,53061,0,Wesley,Hunt,GOP,63503,68242,2,52430,0,Joel,Dejean,Ind,63504,41950,1,53408,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,West Houston & subs,True,District 38,38,248036,99,0,56085,True,20221108TX49951,2022-11-08,TX,Duncan,Klussmann,Klussmnn,Dem,63502,69923,3,53061,0,Wesley,Hunt,GOP,63503,68242,2,52430,0,Joel,Dejean,Ind,63504,41950,1,53408,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,TX-20221108_Eday80,44,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,West Houston & subs,True,District 38,38,248036,99,0,56085,True,20221108TX49951,2022-11-08,TX,Duncan,Klussmann,Klussmnn,Dem,63502,69923,3,53061,0,Wesley,Hunt,GOP,63503,68242,2,52430,0,Joel,Dejean,Ind,63504,41950,1,53408,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,West Houston & subs,True,District 38,38,248036,99,0,56085,True,20221108TX49951,2022-11-08,TX,Duncan,Klussmann,Klussmnn,Dem,63502,69923,3,53061,0,Wesley,Hunt,GOP,63503,68242,2,52430,0,Joel,Dejean,Ind,63504,41950,1,53408,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,West Houston & subs,True,District 38,38,248036,99,9428,56085,True,20221108TX49951,2022-11-08,TX,Duncan,Klussmann,Klussmnn,Dem,63502,69923,3,53061,0,Wesley,Hunt,GOP,63503,68242,2,52430,0,Joel,Dejean,Ind,63504,41950,1,53408,0,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,West Houston & subs,True,District 38,38,248036,99,178909,56085,True,20221108TX49951,2022-11-08,TX,Duncan,Klussmann,Klussmnn,Dem,63502,69923,3,53061,0,Wesley,Hunt,GOP,63503,68242,2,52430,0,Joel,Dejean,Ind,63504,41950,1,53408,0,
1667969419,2022-11-08 22:50:19 -0600,01bf108661ea741dad657f108c5a84b69d73a32c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,West Houston & subs,True,District 38,38,248036,99,178909,56085,True,20221108TX49951,2022-11-08,TX,Duncan,Klussmann,Klussmnn,Dem,63502,69923,3,53061,0,Wesley,Hunt,GOP,63503,68242,2,52430,0,Joel,Dejean,Ind,63504,41950,1,53408,0,2022-11-09T04:43:50.397Z
1667970241,2022-11-08 23:04:01 -0600,d53bae4b64596045c97e6eb2ac077f70fc0cec78,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,West Houston & subs,True,District 38,38,248036,99,178940,56085,True,20221108TX49951,2022-11-08,TX,Duncan,Klussmann,Klussmnn,Dem,63502,69923,3,53061,0,Wesley,Hunt,GOP,63503,68242,2,52430,0,Joel,Dejean,Ind,63504,41950,1,53408,0,2022-11-09T04:43:50.397Z
1667971966,2022-11-08 23:32:46 -0600,2ca4b8a8cf3e531914fdadd9eb0cfa27feade89d,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,West Houston & subs,True,District 38,38,248036,99,182438,56085,True,20221108TX49951,2022-11-08,TX,Duncan,Klussmann,Klussmnn,Dem,63502,69923,3,53061,0,Wesley,Hunt,GOP,63503,68242,2,52430,0,Joel,Dejean,Ind,63504,41950,1,53408,0,2022-11-09T04:43:50.397Z
1667975277,2022-11-09 00:27:57 -0600,17c095274dda52ebfb3b73285837dfacff37cb9b,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,West Houston & subs,True,District 38,38,248036,99,186771,56085,True,20221108TX49951,2022-11-08,TX,Duncan,Klussmann,Klussmnn,Dem,63502,69923,3,53061,0,Wesley,Hunt,GOP,63503,68242,2,52430,0,Joel,Dejean,Ind,63504,41950,1,53408,0,2022-11-09T04:43:50.397Z
