captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.62829.first,candidates.62829.last,candidates.62829.party,candidates.62829.candidateID,candidates.62829.polID,candidates.62829.ballotOrder,candidates.62829.polNum,candidates.62829.electWon,candidates.62940.first,candidates.62940.last,candidates.62940.party,candidates.62940.candidateID,candidates.62940.polID,candidates.62940.ballotOrder,candidates.62940.polNum,candidates.62940.electWon,candidates.63485.first,candidates.63485.last,candidates.63485.party,candidates.63485.candidateID,candidates.63485.polID,candidates.63485.ballotOrder,candidates.63485.polNum,candidates.63485.electWon,candidates.62829.winnerDateTime,isCertified
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232780,99,174560,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667969334,2022-11-08 22:48:54 -0600,564b670a16af98b12d8c8533dac3052916cfa498,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232780,99,174837,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667969376,2022-11-08 22:49:36 -0600,4ac813ba060ccffdf02cdf61aae9dd9c0b214438,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232780,99,174560,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667969419,2022-11-08 22:50:19 -0600,01bf108661ea741dad657f108c5a84b69d73a32c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232780,99,174837,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667969463,2022-11-08 22:51:03 -0600,33a57724ad86936b636ee9df9a6a905b84cec6b3,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232780,99,174560,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667969592,2022-11-08 22:53:12 -0600,1aa535c5b76797aa0c55f68109cd2149e6f7b08a,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232780,99,174837,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667969855,2022-11-08 22:57:35 -0600,8c3f41d4804fda622cab89f365a05518b70e5a91,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232780,99,174560,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232780,99,174837,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667971839,2022-11-08 23:30:39 -0600,3cda52854e51a6576b7495d3201be6e474dda96c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232780,99,175173,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
1667972634,2022-11-08 23:43:54 -0600,3031aa1b4c4f867ee3a729dc96e8d9a1d63eee32,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"East,  W Houston subs",True,District 8,8,232277,99,175173,621865,True,20221108TX45878,2022-11-08,TX,Morgan,Luttrell,GOP,62829,69823,3,52914,0,Laura,Jones,Dem,62940,71762,2,52436,0,Roy,Eriksen,Lib,63485,69639,1,52371,0,2022-11-09T04:05:10.727Z,
