captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.14399.last,candidates.14399.party,candidates.14399.candidateID,candidates.14399.ballotOrder,candidates.14399.polID,candidates.14399.polNum,candidates.14399.electWon,candidates.14400.last,candidates.14400.party,candidates.14400.candidateID,candidates.14400.ballotOrder,candidates.14400.polID,candidates.14400.polNum,candidates.14400.electWon,raceCallStatus,candidates.14400.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AR-20221108_Eday80,4,Ballot Issue,G,Awaiting Poll Close,I,Issue,"License, regulate, tax",True,True,True,4 - Legalize Cannabis,1,968000,99,0,1765681,True,20221108AR6891,2022-11-08,AR,For,Yes,14399,1,2,8190,0,Against,No,14400,2,3,8191,0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,AR-20221108_Eday80,4,Ballot Issue,G,Polls Closed/Waiting First Report,I,Issue,"License, regulate, tax",True,True,True,4 - Legalize Cannabis,1,968000,99,0,1765681,True,20221108AR6891,2022-11-08,AR,For,Yes,14399,1,2,8190,0,Against,No,14400,2,3,8191,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,AR-20221108_Eday80,4,Ballot Issue,G,Active Tabulation,I,Issue,"License, regulate, tax",True,True,True,4 - Legalize Cannabis,1,968000,99,5764,1765681,True,20221108AR6891,2022-11-08,AR,For,Yes,14399,1,2,8190,0,Against,No,14400,2,3,8191,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,AR-20221108_Eday80,4,Ballot Issue,G,Active Tabulation,I,Issue,"License, regulate, tax",True,True,True,4 - Legalize Cannabis,1,968000,99,0,1765681,True,20221108AR6891,2022-11-08,AR,For,Yes,14399,1,2,8190,0,Against,No,14400,2,3,8191,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,AR-20221108_Eday80,4,Ballot Issue,G,Active Tabulation,I,Issue,"License, regulate, tax",True,True,True,4 - Legalize Cannabis,1,968000,99,109190,1765681,True,20221108AR6891,2022-11-08,AR,For,Yes,14399,1,2,8190,0,Against,No,14400,2,3,8191,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,AR-20221108_Eday80,4,Ballot Issue,G,Active Tabulation,I,Issue,"License, regulate, tax",True,True,True,4 - Legalize Cannabis,1,968000,99,111474,1765681,True,20221108AR6891,2022-11-08,AR,For,Yes,14399,1,2,8190,0,Against,No,14400,2,3,8191,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,AR-20221108_Eday80,4,Ballot Issue,G,Active Tabulation,I,Issue,"License, regulate, tax",True,True,True,4 - Legalize Cannabis,1,968000,99,149524,1765681,True,20221108AR6891,2022-11-08,AR,For,Yes,14399,1,2,8190,0,Against,No,14400,2,3,8191,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,AR-20221108_Eday80,4,Ballot Issue,G,Active Tabulation,I,Issue,"License, regulate, tax",True,True,True,4 - Legalize Cannabis,1,968000,99,229551,1765681,True,20221108AR6891,2022-11-08,AR,For,Yes,14399,1,2,8190,0,Against,No,14400,2,3,8191,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,AR-20221108_Eday80,4,Ballot Issue,G,Active Tabulation,I,Issue,"License, regulate, tax",True,True,True,4 - Legalize Cannabis,1,968000,99,254855,1765681,True,20221108AR6891,2022-11-08,AR,For,Yes,14399,1,2,8190,0,Against,No,14400,2,3,8191,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,AR-20221108_Eday80,4,Ballot Issue,G,Active Tabulation,I,Issue,"License, regulate, tax",True,True,True,4 - Legalize Cannabis,1,968000,99,373030,1765681,True,20221108AR6891,2022-11-08,AR,For,Yes,14399,1,2,8190,0,Against,No,14400,2,3,8191,0,,
