captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.48389.first,candidates.48389.last,candidates.48389.abbrv,candidates.48389.incumbent,candidates.48389.party,candidates.48389.candidateID,candidates.48389.ballotOrder,candidates.48389.polID,candidates.48389.polNum,candidates.48389.electWon,candidates.50754.first,candidates.50754.last,candidates.50754.party,candidates.50754.candidateID,candidates.50754.ballotOrder,candidates.50754.polID,candidates.50754.polNum,candidates.50754.electWon,candidates.50952.first,candidates.50952.last,candidates.50952.party,candidates.50952.candidateID,candidates.50952.ballotOrder,candidates.50952.polID,candidates.50952.polNum,candidates.50952.electWon,candidates.50953.first,candidates.50953.last,candidates.50953.party,candidates.50953.candidateID,candidates.50953.ballotOrder,candidates.50953.polID,candidates.50953.polNum,candidates.50953.electWon,candidates.50954.first,candidates.50954.last,candidates.50954.party,candidates.50954.candidateID,candidates.50954.ballotOrder,candidates.50954.polID,candidates.50954.polNum,candidates.50954.electWon,candidates.50955.first,candidates.50955.last,candidates.50955.party,candidates.50955.candidateID,candidates.50955.ballotOrder,candidates.50955.polID,candidates.50955.polNum,candidates.50955.electWon,candidates.50956.first,candidates.50956.last,candidates.50956.party,candidates.50956.candidateID,candidates.50956.ballotOrder,candidates.50956.polID,candidates.50956.polNum,candidates.50956.electWon,candidates.48389.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TN-20221108_Eday80,43,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,238248,99,0,962792,True,20221108TN43011,2022-11-08,TN,48389,Scott,DesJarlais,DesJarls,True,GOP,48389,1,61091,45498,0,Wayne,Steele,Dem,50754,2,70859,46820,0,Joseph,Magyer,Ind,50952,6,70880,46822,0,Mike,Winton,Ind,50953,7,64393,46149,0,David,Jones,Ind,50954,5,70891,46465,0,Tharon,Chandler,Ind,50955,4,65322,46212,0,Clyde,Benson,Ind,50956,3,70890,46274,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,238248,99,3621,962792,True,20221108TN43011,2022-11-08,TN,48389,Scott,DesJarlais,DesJarls,True,GOP,48389,1,61091,45498,0,Wayne,Steele,Dem,50754,2,70859,46820,0,Joseph,Magyer,Ind,50952,6,70880,46822,0,Mike,Winton,Ind,50953,7,64393,46149,0,David,Jones,Ind,50954,5,70891,46465,0,Tharon,Chandler,Ind,50955,4,65322,46212,0,Clyde,Benson,Ind,50956,3,70890,46274,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,238248,99,17947,962792,True,20221108TN43011,2022-11-08,TN,48389,Scott,DesJarlais,DesJarls,True,GOP,48389,1,61091,45498,0,Wayne,Steele,Dem,50754,2,70859,46820,0,Joseph,Magyer,Ind,50952,6,70880,46822,0,Mike,Winton,Ind,50953,7,64393,46149,0,David,Jones,Ind,50954,5,70891,46465,0,Tharon,Chandler,Ind,50955,4,65322,46212,0,Clyde,Benson,Ind,50956,3,70890,46274,0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,238248,99,26382,962792,True,20221108TN43011,2022-11-08,TN,48389,Scott,DesJarlais,DesJarls,True,GOP,48389,1,61091,45498,0,Wayne,Steele,Dem,50754,2,70859,46820,0,Joseph,Magyer,Ind,50952,6,70880,46822,0,Mike,Winton,Ind,50953,7,64393,46149,0,David,Jones,Ind,50954,5,70891,46465,0,Tharon,Chandler,Ind,50955,4,65322,46212,0,Clyde,Benson,Ind,50956,3,70890,46274,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,238248,99,30207,962792,True,20221108TN43011,2022-11-08,TN,48389,Scott,DesJarlais,DesJarls,True,GOP,48389,1,61091,45498,0,Wayne,Steele,Dem,50754,2,70859,46820,0,Joseph,Magyer,Ind,50952,6,70880,46822,0,Mike,Winton,Ind,50953,7,64393,46149,0,David,Jones,Ind,50954,5,70891,46465,0,Tharon,Chandler,Ind,50955,4,65322,46212,0,Clyde,Benson,Ind,50956,3,70890,46274,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,238248,99,32582,962792,True,20221108TN43011,2022-11-08,TN,48389,Scott,DesJarlais,DesJarls,True,GOP,48389,1,61091,45498,0,Wayne,Steele,Dem,50754,2,70859,46820,0,Joseph,Magyer,Ind,50952,6,70880,46822,0,Mike,Winton,Ind,50953,7,64393,46149,0,David,Jones,Ind,50954,5,70891,46465,0,Tharon,Chandler,Ind,50955,4,65322,46212,0,Clyde,Benson,Ind,50956,3,70890,46274,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,238248,99,39419,962792,True,20221108TN43011,2022-11-08,TN,48389,Scott,DesJarlais,DesJarls,True,GOP,48389,1,61091,45498,0,Wayne,Steele,Dem,50754,2,70859,46820,0,Joseph,Magyer,Ind,50952,6,70880,46822,0,Mike,Winton,Ind,50953,7,64393,46149,0,David,Jones,Ind,50954,5,70891,46465,0,Tharon,Chandler,Ind,50955,4,65322,46212,0,Clyde,Benson,Ind,50956,3,70890,46274,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,231882,99,50017,962792,True,20221108TN43011,2022-11-08,TN,48389,Scott,DesJarlais,DesJarls,True,GOP,48389,1,61091,45498,0,Wayne,Steele,Dem,50754,2,70859,46820,0,Joseph,Magyer,Ind,50952,6,70880,46822,0,Mike,Winton,Ind,50953,7,64393,46149,0,David,Jones,Ind,50954,5,70891,46465,0,Tharon,Chandler,Ind,50955,4,65322,46212,0,Clyde,Benson,Ind,50956,3,70890,46274,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,231882,99,57129,962792,True,20221108TN43011,2022-11-08,TN,48389,Scott,DesJarlais,DesJarls,True,GOP,48389,1,61091,45498,0,Wayne,Steele,Dem,50754,2,70859,46820,0,Joseph,Magyer,Ind,50952,6,70880,46822,0,Mike,Winton,Ind,50953,7,64393,46149,0,David,Jones,Ind,50954,5,70891,46465,0,Tharon,Chandler,Ind,50955,4,65322,46212,0,Clyde,Benson,Ind,50956,3,70890,46274,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,231882,99,58938,962792,True,20221108TN43011,2022-11-08,TN,48389,Scott,DesJarlais,DesJarls,True,GOP,48389,1,61091,45498,0,Wayne,Steele,Dem,50754,2,70859,46820,0,Joseph,Magyer,Ind,50952,6,70880,46822,0,Mike,Winton,Ind,50953,7,64393,46149,0,David,Jones,Ind,50954,5,70891,46465,0,Tharon,Chandler,Ind,50955,4,65322,46212,0,Clyde,Benson,Ind,50956,3,70890,46274,0,
