captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,candidates.5.candidateID,candidates.5.voteCount,candidates.5.votePct,candidates.6.candidateID,candidates.6.voteCount,candidates.6.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108TN43011,live,0.0,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T21:28:20.015Z,0,228,0.0,48389,0,0.0,50953,0,0.0,50955,0,0.0,50956,0,0.0,50954,0,0.0,50754,0,0.0,50952,0,0.0,238248,99,0,962792,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108TN43011,live,0.0,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T18:26:06.324Z,0,228,0.0,48389,0,0.0,50953,0,0.0,50955,0,0.0,50956,0,0.0,50954,0,0.0,50754,0,0.0,50952,0,0.0,238248,99,0,962792,0,0,,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108TN43011,live,1.41,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:12:02.791Z,0,228,0.0,48389,2604,77.45,50754,638,18.98,50955,51,1.52,50956,34,1.01,50953,22,0.65,50954,8,0.24,50952,5,0.15,238248,99,3362,962792,0,3,0.0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108TN43011,live,1.52,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:15:56.009Z,1,228,0.44,48389,2802,77.38,50754,694,19.17,50955,52,1.44,50956,36,0.99,50953,23,0.64,50954,8,0.22,50952,6,0.17,238248,99,3621,962792,1,3,0.0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108TN43011,live,3.55,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:31:18.977Z,1,228,0.44,48389,6349,75.07,50754,1827,21.6,50953,111,1.31,50956,72,0.85,50955,60,0.71,50954,21,0.25,50952,18,0.21,238248,99,8458,962792,1,8,0.0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108TN43011,live,4.87,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:35:56.835Z,1,228,0.44,48389,8925,76.93,50754,2343,20.19,50953,131,1.13,50956,92,0.79,50955,66,0.57,50954,26,0.22,50952,19,0.16,238248,99,11602,962792,1,11,0.0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108TN43011,live,7.53,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:39:18.653Z,1,228,0.44,48389,13417,74.76,50754,3693,20.58,50953,560,3.12,50956,116,0.65,50955,75,0.42,50954,54,0.3,50952,32,0.18,238248,99,17947,962792,1,17,0.0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108TN43011,live,8.58,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:47:01.923Z,10,228,4.39,48389,15403,75.39,50754,4129,20.21,50953,585,2.86,50956,136,0.67,50955,80,0.39,50954,64,0.31,50952,34,0.17,238248,99,20431,962792,10,20,0.0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108TN43011,live,8.58,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:52:19.028Z,10,228,4.39,48389,15403,75.39,50754,4129,20.21,50953,585,2.86,50956,136,0.67,50955,80,0.39,50954,64,0.31,50952,34,0.17,238248,99,20431,962792,10,20,0.0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108TN43011,live,11.07,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:57:00.606Z,10,228,4.39,48389,19848,75.23,50754,5346,20.26,50953,730,2.77,50956,194,0.74,50955,97,0.37,50954,86,0.33,50952,81,0.31,238248,99,26382,962792,10,25,0.0,,
