captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.37361.first,candidates.37361.last,candidates.37361.incumbent,candidates.37361.party,candidates.37361.candidateID,candidates.37361.ballotOrder,candidates.37361.polID,candidates.37361.polNum,candidates.37361.electWon,candidates.37390.first,candidates.37390.last,candidates.37390.party,candidates.37390.candidateID,candidates.37390.ballotOrder,candidates.37390.polID,candidates.37390.polNum,candidates.37390.electWon,candidates.37973.first,candidates.37973.last,candidates.37973.abbrv,candidates.37973.party,candidates.37973.candidateID,candidates.37973.ballotOrder,candidates.37973.polID,candidates.37973.polNum,candidates.37973.electWon,candidates.37361.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MI-20221108_Eday64,23,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 12,12,318974,99,0,1308008,True,20221108MI23816,2022-11-08,MI,37361,Rashida,Tlaib,True,Dem,37361,1,67177,27017,0,Steven,Elliott,GOP,37390,2,70844,30138,0,Gary,Walkowicz,Walkwcz,WCP,37973,3,64450,28960,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MI-20221108_Eday80,23,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 12,12,318974,99,0,1308008,True,20221108MI23816,2022-11-08,MI,37361,Rashida,Tlaib,True,Dem,37361,1,67177,27017,0,Steven,Elliott,GOP,37390,2,70844,30138,0,Gary,Walkowicz,Walkwcz,WCP,37973,3,64450,28960,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,318974,99,19110,1308008,True,20221108MI23816,2022-11-08,MI,37361,Rashida,Tlaib,True,Dem,37361,1,67177,27017,0,Steven,Elliott,GOP,37390,2,70844,30138,0,Gary,Walkowicz,Walkwcz,WCP,37973,3,64450,28960,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,318974,99,20978,1308008,True,20221108MI23816,2022-11-08,MI,37361,Rashida,Tlaib,True,Dem,37361,1,67177,27017,0,Steven,Elliott,GOP,37390,2,70844,30138,0,Gary,Walkowicz,Walkwcz,WCP,37973,3,64450,28960,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,318974,99,19110,1308008,True,20221108MI23816,2022-11-08,MI,37361,Rashida,Tlaib,True,Dem,37361,1,67177,27017,0,Steven,Elliott,GOP,37390,2,70844,30138,0,Gary,Walkowicz,Walkwcz,WCP,37973,3,64450,28960,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,318974,99,20978,1308008,True,20221108MI23816,2022-11-08,MI,37361,Rashida,Tlaib,True,Dem,37361,1,67177,27017,0,Steven,Elliott,GOP,37390,2,70844,30138,0,Gary,Walkowicz,Walkwcz,WCP,37973,3,64450,28960,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,318974,99,22241,1308008,True,20221108MI23816,2022-11-08,MI,37361,Rashida,Tlaib,True,Dem,37361,1,67177,27017,0,Steven,Elliott,GOP,37390,2,70844,30138,0,Gary,Walkowicz,Walkwcz,WCP,37973,3,64450,28960,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,318974,99,22702,1308008,True,20221108MI23816,2022-11-08,MI,37361,Rashida,Tlaib,True,Dem,37361,1,67177,27017,0,Steven,Elliott,GOP,37390,2,70844,30138,0,Gary,Walkowicz,Walkwcz,WCP,37973,3,64450,28960,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,318974,99,47020,1308008,True,20221108MI23816,2022-11-08,MI,37361,Rashida,Tlaib,True,Dem,37361,1,67177,27017,0,Steven,Elliott,GOP,37390,2,70844,30138,0,Gary,Walkowicz,Walkwcz,WCP,37973,3,64450,28960,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,318974,99,49799,1308008,True,20221108MI23816,2022-11-08,MI,37361,Rashida,Tlaib,True,Dem,37361,1,67177,27017,0,Steven,Elliott,GOP,37390,2,70844,30138,0,Gary,Walkowicz,Walkwcz,WCP,37973,3,64450,28960,0,
