captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.44143.first,candidates.44143.last,candidates.44143.party,candidates.44143.incumbent,candidates.44143.candidateID,candidates.44143.polID,candidates.44143.ballotOrder,candidates.44143.polNum,candidates.44143.electWon,candidates.47403.first,candidates.47403.last,candidates.47403.party,candidates.47403.candidateID,candidates.47403.polID,candidates.47403.ballotOrder,candidates.47403.polNum,candidates.47403.electWon,candidates.47403.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OH-20221108_Eday62,36,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,320065,99,0,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,OH-20221108_Eday80,36,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,311336,99,0,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,OH-20221108_Eday80,36,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 1,1,311336,99,0,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,311336,99,40250,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,311336,99,104701,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,311336,99,120730,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,311336,99,168728,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,310645,99,168728,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,304593,99,228472,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,371780,99,241896,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,371780,99,273908,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,327501,99,273908,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
1667967767,2022-11-08 22:22:47 -0600,d2b302ebb94fe21871c9483192bb3df9a98f2ac1,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,327501,99,282622,921308,True,20221108OH36015,2022-11-08,OH,44143,Steve,Chabot,GOP,True,44143,391,2,36987,0,Greg,Landsman,Dem,47403,70105,1,42432,0,
