captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.26935.first,candidates.26935.last,candidates.26935.abbrv,candidates.26935.incumbent,candidates.26935.party,candidates.26935.candidateID,candidates.26935.ballotOrder,candidates.26935.polID,candidates.26935.polNum,candidates.26935.electWon,candidates.28636.first,candidates.28636.last,candidates.28636.abbrv,candidates.28636.party,candidates.28636.candidateID,candidates.28636.ballotOrder,candidates.28636.polID,candidates.28636.polNum,candidates.28636.electWon,candidates.28642.first,candidates.28642.last,candidates.28642.party,candidates.28642.candidateID,candidates.28642.ballotOrder,candidates.28642.polID,candidates.28642.polNum,candidates.28642.electWon,candidates.26935.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,WI-20221108_Eday80,50,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 8,8,336509,99,0,692290,True,20221108WI50068,2022-11-08,WI,26935,Mike,Gallagher,Gallaghr,True,GOP,26935,1,65480,53018,0,Jacob,VandenPlas,VandnPls,Lib,28636,2,71656,53659,0,Paul,Boucher,Ind,28642,3,71655,53662,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,WI-20221108_Eday80,50,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 8,8,448198,99,0,692290,True,20221108WI50068,2022-11-08,WI,26935,Mike,Gallagher,Gallaghr,True,GOP,26935,1,65480,53018,0,Jacob,VandenPlas,VandnPls,Lib,28636,2,71656,53659,0,Paul,Boucher,Ind,28642,3,71655,53662,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,448198,99,8104,692290,True,20221108WI50068,2022-11-08,WI,26935,Mike,Gallagher,Gallaghr,True,GOP,26935,1,65480,53018,0,Jacob,VandenPlas,VandnPls,Lib,28636,2,71656,53659,0,Paul,Boucher,Ind,28642,3,71655,53662,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,448198,99,41988,692290,True,20221108WI50068,2022-11-08,WI,26935,Mike,Gallagher,Gallaghr,True,GOP,26935,1,65480,53018,0,Jacob,VandenPlas,VandnPls,Lib,28636,2,71656,53659,0,Paul,Boucher,Ind,28642,3,71655,53662,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,448198,99,45073,692290,True,20221108WI50068,2022-11-08,WI,26935,Mike,Gallagher,Gallaghr,True,GOP,26935,1,65480,53018,0,Jacob,VandenPlas,VandnPls,Lib,28636,2,71656,53659,0,Paul,Boucher,Ind,28642,3,71655,53662,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,448198,99,62332,692290,True,20221108WI50068,2022-11-08,WI,26935,Mike,Gallagher,Gallaghr,True,GOP,26935,1,65480,53018,0,Jacob,VandenPlas,VandnPls,Lib,28636,2,71656,53659,0,Paul,Boucher,Ind,28642,3,71655,53662,0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,448198,99,69685,692290,True,20221108WI50068,2022-11-08,WI,26935,Mike,Gallagher,Gallaghr,True,GOP,26935,1,65480,53018,0,Jacob,VandenPlas,VandnPls,Lib,28636,2,71656,53659,0,Paul,Boucher,Ind,28642,3,71655,53662,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,448198,99,71251,692290,True,20221108WI50068,2022-11-08,WI,26935,Mike,Gallagher,Gallaghr,True,GOP,26935,1,65480,53018,0,Jacob,VandenPlas,VandnPls,Lib,28636,2,71656,53659,0,Paul,Boucher,Ind,28642,3,71655,53662,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,448198,99,99525,692290,True,20221108WI50068,2022-11-08,WI,26935,Mike,Gallagher,Gallaghr,True,GOP,26935,1,65480,53018,0,Jacob,VandenPlas,VandnPls,Lib,28636,2,71656,53659,0,Paul,Boucher,Ind,28642,3,71655,53662,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,448198,99,105461,692290,True,20221108WI50068,2022-11-08,WI,26935,Mike,Gallagher,Gallaghr,True,GOP,26935,1,65480,53018,0,Jacob,VandenPlas,VandnPls,Lib,28636,2,71656,53659,0,Paul,Boucher,Ind,28642,3,71655,53662,0,,
