captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.29277.first,candidates.29277.last,candidates.29277.abbrv,candidates.29277.party,candidates.29277.candidateID,candidates.29277.ballotOrder,candidates.29277.polID,candidates.29277.polNum,candidates.29277.electWon,candidates.29280.first,candidates.29280.last,candidates.29280.party,candidates.29280.candidateID,candidates.29280.ballotOrder,candidates.29280.polID,candidates.29280.polNum,candidates.29280.electWon,candidates.29277.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,IL-20221108_Eday64,14,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,275542,99,0,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,IL-20221108_Eday80,14,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,0,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,IL-20221108_Eday80,14,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,0,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,18691,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,25735,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,30988,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,33695,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,42906,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,86899,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,85324,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,86899,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,119622,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,134644,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,139686,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,277708,99,154447,1110089,True,20221108IL16002,2022-11-08,IL,Nikki,Budzinski,Budzinsk,Dem,29277,2,71104,23039,0,Regan,Deering,GOP,29280,1,71101,23042,0,,
