captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.12151.first,candidates.12151.last,candidates.12151.incumbent,candidates.12151.party,candidates.12151.candidateID,candidates.12151.ballotOrder,candidates.12151.polID,candidates.12151.polNum,candidates.12151.electWon,candidates.13889.first,candidates.13889.last,candidates.13889.party,candidates.13889.candidateID,candidates.13889.ballotOrder,candidates.13889.polID,candidates.13889.polNum,candidates.13889.electWon,candidates.14103.first,candidates.14103.last,candidates.14103.party,candidates.14103.candidateID,candidates.14103.ballotOrder,candidates.14103.polID,candidates.14103.polNum,candidates.14103.electWon,candidates.14104.first,candidates.14104.last,candidates.14104.party,candidates.14104.candidateID,candidates.14104.ballotOrder,candidates.14104.polID,candidates.14104.polNum,candidates.14104.electWon,candidates.12151.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,273456,99,0,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,CO-20221108_Eday80,6,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 5,5,273456,99,0,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,273456,99,0,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,273456,99,186303,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,273456,99,188782,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273456,99,188782,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273456,99,191838,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1667972898,2022-11-08 23:48:18 -0600,7f5611a68542690dfbbea4b10f2d25fb123813f8,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273456,99,197669,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1667972943,2022-11-08 23:49:03 -0600,2188e3ab5f27e10fb4df9e561d0af4cab5cf665c,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273456,99,191838,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
1667972986,2022-11-08 23:49:46 -0600,8b5a6bad408154143d5639ac38f52891382240a4,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,273456,99,197669,777267,True,20221108CO6617,2022-11-08,CO,12151,Doug,Lamborn,True,GOP,12151,2,9174,6532,0,David,Torres,Dem,13889,1,70794,9640,0,Brian,Flanagan,Lib,14103,3,71794,9794,0,Christopher,Mitchell,AmC,14104,4,71795,9795,0,2022-11-09T03:57:43.822Z
