captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID.0,incumbentID.1,candidates.20658.first,candidates.20658.last,candidates.20658.incumbent,candidates.20658.party,candidates.20658.candidateID,candidates.20658.ballotOrder,candidates.20658.polID,candidates.20658.polNum,candidates.20658.electWon,candidates.23188.first,candidates.23188.last,candidates.23188.incumbent,candidates.23188.party,candidates.23188.candidateID,candidates.23188.ballotOrder,candidates.23188.polID,candidates.23188.polNum,candidates.23188.electWon,candidates.20658.winnerDateTime
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,332603,99,286721,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,332603,99,291434,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,332603,99,291590,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,323064,99,296459,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,323064,99,297593,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,323064,99,297805,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,323064,99,297593,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,323064,99,297805,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,321557,99,297810,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,321904,99,299009,1573060,True,20221108FL10009,2022-11-08,FL,20658,23188,Neal,Dunn,True,GOP,20658,1,65654,14591,0,Al,Lawson,True,Dem,23188,2,53059,11047,0,2022-11-09T01:46:36.068Z
