captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.38226.first,candidates.38226.last,candidates.38226.party,candidates.38226.incumbent,candidates.38226.candidateID,candidates.38226.polID,candidates.38226.ballotOrder,candidates.38226.polNum,candidates.38226.electWon,candidates.39955.first,candidates.39955.last,candidates.39955.party,candidates.39955.candidateID,candidates.39955.polID,candidates.39955.ballotOrder,candidates.39955.polNum,candidates.39955.electWon,candidates.39993.first,candidates.39993.last,candidates.39993.party,candidates.39993.candidateID,candidates.39993.polID,candidates.39993.ballotOrder,candidates.39993.polNum,candidates.39993.electWon,candidates.39994.first,candidates.39994.last,candidates.39994.abbrv,candidates.39994.party,candidates.39994.candidateID,candidates.39994.polID,candidates.39994.ballotOrder,candidates.39994.polNum,candidates.39994.electWon,candidates.39995.first,candidates.39995.last,candidates.39995.party,candidates.39995.candidateID,candidates.39995.polID,candidates.39995.ballotOrder,candidates.39995.polNum,candidates.39995.electWon,candidates.39996.first,candidates.39996.last,candidates.39996.party,candidates.39996.candidateID,candidates.39996.polID,candidates.39996.ballotOrder,candidates.39996.polNum,candidates.39996.electWon,candidates.38226.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NJ-20221108_Eday62,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,396699,99,0,958817,True,20221108NJ31208,2022-11-08,NJ,38226,Christopher,Smith,GOP,True,38226,1352,2,31018,0,Matthew,Jenkins,Dem,39955,70448,1,35542,0,Jason,Cullen,Ind,39993,60052,3,35565,0,Hank,Schroeder,Schroedr,Ind,39994,63128,5,34707,0,Pam,Daniels,Ind,39995,71522,4,35566,0,David,Schmidt,Ind,39996,71521,6,35567,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,218013,99,0,958817,True,20221108NJ31208,2022-11-08,NJ,38226,Christopher,Smith,GOP,True,38226,1352,2,31018,0,Matthew,Jenkins,Dem,39955,70448,1,35542,0,Jason,Cullen,Ind,39993,60052,3,35565,0,Hank,Schroeder,Schroedr,Ind,39994,63128,5,34707,0,Pam,Daniels,Ind,39995,71522,4,35566,0,David,Schmidt,Ind,39996,71521,6,35567,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,218013,90,0,958817,True,20221108NJ31208,2022-11-08,NJ,38226,Christopher,Smith,GOP,True,38226,1352,2,31018,0,Matthew,Jenkins,Dem,39955,70448,1,35542,0,Jason,Cullen,Ind,39993,60052,3,35565,0,Hank,Schroeder,Schroedr,Ind,39994,63128,5,34707,0,Pam,Daniels,Ind,39995,71522,4,35566,0,David,Schmidt,Ind,39996,71521,6,35567,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,218013,90,26717,958817,True,20221108NJ31208,2022-11-08,NJ,38226,Christopher,Smith,GOP,True,38226,1352,2,31018,0,Matthew,Jenkins,Dem,39955,70448,1,35542,0,Jason,Cullen,Ind,39993,60052,3,35565,0,Hank,Schroeder,Schroedr,Ind,39994,63128,5,34707,0,Pam,Daniels,Ind,39995,71522,4,35566,0,David,Schmidt,Ind,39996,71521,6,35567,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,218013,90,40699,958817,True,20221108NJ31208,2022-11-08,NJ,38226,Christopher,Smith,GOP,True,38226,1352,2,31018,0,Matthew,Jenkins,Dem,39955,70448,1,35542,0,Jason,Cullen,Ind,39993,60052,3,35565,0,Hank,Schroeder,Schroedr,Ind,39994,63128,5,34707,0,Pam,Daniels,Ind,39995,71522,4,35566,0,David,Schmidt,Ind,39996,71521,6,35567,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,218013,90,95873,958817,True,20221108NJ31208,2022-11-08,NJ,38226,Christopher,Smith,GOP,True,38226,1352,2,31018,0,Matthew,Jenkins,Dem,39955,70448,1,35542,0,Jason,Cullen,Ind,39993,60052,3,35565,0,Hank,Schroeder,Schroedr,Ind,39994,63128,5,34707,0,Pam,Daniels,Ind,39995,71522,4,35566,0,David,Schmidt,Ind,39996,71521,6,35567,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,218013,90,152977,958817,True,20221108NJ31208,2022-11-08,NJ,38226,Christopher,Smith,GOP,True,38226,1352,2,31018,0,Matthew,Jenkins,Dem,39955,70448,1,35542,0,Jason,Cullen,Ind,39993,60052,3,35565,0,Hank,Schroeder,Schroedr,Ind,39994,63128,5,34707,0,Pam,Daniels,Ind,39995,71522,4,35566,0,David,Schmidt,Ind,39996,71521,6,35567,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,218013,90,169087,958817,True,20221108NJ31208,2022-11-08,NJ,38226,Christopher,Smith,GOP,True,38226,1352,2,31018,0,Matthew,Jenkins,Dem,39955,70448,1,35542,0,Jason,Cullen,Ind,39993,60052,3,35565,0,Hank,Schroeder,Schroedr,Ind,39994,63128,5,34707,0,Pam,Daniels,Ind,39995,71522,4,35566,0,David,Schmidt,Ind,39996,71521,6,35567,0,2022-11-09T02:05:10.256Z,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,218013,90,152977,958817,True,20221108NJ31208,2022-11-08,NJ,38226,Christopher,Smith,GOP,True,38226,1352,2,31018,0,Matthew,Jenkins,Dem,39955,70448,1,35542,0,Jason,Cullen,Ind,39993,60052,3,35565,0,Hank,Schroeder,Schroedr,Ind,39994,63128,5,34707,0,Pam,Daniels,Ind,39995,71522,4,35566,0,David,Schmidt,Ind,39996,71521,6,35567,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,218013,90,169087,958817,True,20221108NJ31208,2022-11-08,NJ,38226,Christopher,Smith,GOP,True,38226,1352,2,31018,0,Matthew,Jenkins,Dem,39955,70448,1,35542,0,Jason,Cullen,Ind,39993,60052,3,35565,0,Hank,Schroeder,Schroedr,Ind,39994,63128,5,34707,0,Pam,Daniels,Ind,39995,71522,4,35566,0,David,Schmidt,Ind,39996,71521,6,35567,0,2022-11-09T02:05:10.256Z,
