captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.45549.first,candidates.45549.last,candidates.45549.incumbent,candidates.45549.party,candidates.45549.candidateID,candidates.45549.ballotOrder,candidates.45549.polID,candidates.45549.polNum,candidates.45549.electWon,candidates.46616.first,candidates.46616.last,candidates.46616.abbrv,candidates.46616.party,candidates.46616.candidateID,candidates.46616.ballotOrder,candidates.46616.polID,candidates.46616.polNum,candidates.46616.electWon,candidates.46803.first,candidates.46803.last,candidates.46803.party,candidates.46803.candidateID,candidates.46803.ballotOrder,candidates.46803.polID,candidates.46803.polNum,candidates.46803.electWon,candidates.46804.first,candidates.46804.last,candidates.46804.party,candidates.46804.candidateID,candidates.46804.ballotOrder,candidates.46804.polID,candidates.46804.polNum,candidates.46804.electWon,candidates.45549.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OK-20221108_Eday80,37,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Kevin,Stitt,Stitt,GOP,45549,67007,40779,True,True,True,1300000,99,0,2286039,True,20221108OK37857,2022-11-08,OK,45549,Kevin,Stitt,True,GOP,45549,2,67007,40779,0,Joy,Hofmeister,Hofmstr,Dem,46616,3,71189,40289,0,Natalie,Bruno,Lib,46803,1,71693,41450,0,Ervin,Yen,Ind,46804,4,71692,40309,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,OK-20221108_Eday80,37,General,G,Polls Closed/Waiting First Report,Too Early to Call,G,Governor,Kevin,Stitt,Stitt,GOP,45549,67007,40779,True,True,True,1300000,99,0,2286039,True,20221108OK37857,2022-11-08,OK,45549,Kevin,Stitt,True,GOP,45549,2,67007,40779,0,Joy,Hofmeister,Hofmstr,Dem,46616,3,71189,40289,0,Natalie,Bruno,Lib,46803,1,71693,41450,0,Ervin,Yen,Ind,46804,4,71692,40309,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,G,Governor,Kevin,Stitt,Stitt,GOP,45549,67007,40779,True,True,True,1300000,99,0,2286039,True,20221108OK37857,2022-11-08,OK,45549,Kevin,Stitt,True,GOP,45549,2,67007,40779,0,Joy,Hofmeister,Hofmstr,Dem,46616,3,71189,40289,0,Natalie,Bruno,Lib,46803,1,71693,41450,0,Ervin,Yen,Ind,46804,4,71692,40309,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,G,Governor,Kevin,Stitt,Stitt,GOP,45549,67007,40779,True,True,True,1300000,99,62446,2286039,True,20221108OK37857,2022-11-08,OK,45549,Kevin,Stitt,True,GOP,45549,2,67007,40779,0,Joy,Hofmeister,Hofmstr,Dem,46616,3,71189,40289,0,Natalie,Bruno,Lib,46803,1,71693,41450,0,Ervin,Yen,Ind,46804,4,71692,40309,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,G,Governor,Kevin,Stitt,Stitt,GOP,45549,67007,40779,True,True,True,1300000,99,232886,2286039,True,20221108OK37857,2022-11-08,OK,45549,Kevin,Stitt,True,GOP,45549,2,67007,40779,0,Joy,Hofmeister,Hofmstr,Dem,46616,3,71189,40289,0,Natalie,Bruno,Lib,46803,1,71693,41450,0,Ervin,Yen,Ind,46804,4,71692,40309,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,G,Governor,Kevin,Stitt,Stitt,GOP,45549,67007,40779,True,True,True,1300000,99,100126,2286039,True,20221108OK37857,2022-11-08,OK,45549,Kevin,Stitt,True,GOP,45549,2,67007,40779,0,Joy,Hofmeister,Hofmstr,Dem,46616,3,71189,40289,0,Natalie,Bruno,Lib,46803,1,71693,41450,0,Ervin,Yen,Ind,46804,4,71692,40309,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,G,Governor,Kevin,Stitt,Stitt,GOP,45549,67007,40779,True,True,True,1300000,99,245732,2286039,True,20221108OK37857,2022-11-08,OK,45549,Kevin,Stitt,True,GOP,45549,2,67007,40779,0,Joy,Hofmeister,Hofmstr,Dem,46616,3,71189,40289,0,Natalie,Bruno,Lib,46803,1,71693,41450,0,Ervin,Yen,Ind,46804,4,71692,40309,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,G,Governor,Kevin,Stitt,Stitt,GOP,45549,67007,40779,True,True,True,1300000,99,308246,2286039,True,20221108OK37857,2022-11-08,OK,45549,Kevin,Stitt,True,GOP,45549,2,67007,40779,0,Joy,Hofmeister,Hofmstr,Dem,46616,3,71189,40289,0,Natalie,Bruno,Lib,46803,1,71693,41450,0,Ervin,Yen,Ind,46804,4,71692,40309,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,G,Governor,Kevin,Stitt,Stitt,GOP,45549,67007,40779,True,True,True,1300000,99,252678,2286039,True,20221108OK37857,2022-11-08,OK,45549,Kevin,Stitt,True,GOP,45549,2,67007,40779,0,Joy,Hofmeister,Hofmstr,Dem,46616,3,71189,40289,0,Natalie,Bruno,Lib,46803,1,71693,41450,0,Ervin,Yen,Ind,46804,4,71692,40309,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,OK-20221108_Eday80,37,General,G,Active Tabulation,Too Early to Call,G,Governor,Kevin,Stitt,Stitt,GOP,45549,67007,40779,True,True,True,1300000,99,308246,2286039,True,20221108OK37857,2022-11-08,OK,45549,Kevin,Stitt,True,GOP,45549,2,67007,40779,0,Joy,Hofmeister,Hofmstr,Dem,46616,3,71189,40289,0,Natalie,Bruno,Lib,46803,1,71693,41450,0,Ervin,Yen,Ind,46804,4,71692,40309,0,
