captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.54393.first,candidates.54393.last,candidates.54393.incumbent,candidates.54393.party,candidates.54393.candidateID,candidates.54393.ballotOrder,candidates.54393.polID,candidates.54393.polNum,candidates.54393.electWon,candidates.56200.first,candidates.56200.last,candidates.56200.party,candidates.56200.candidateID,candidates.56200.ballotOrder,candidates.56200.polID,candidates.56200.polNum,candidates.56200.electWon,candidates.56202.first,candidates.56202.last,candidates.56202.abbrv,candidates.56202.party,candidates.56202.candidateID,candidates.56202.ballotOrder,candidates.56202.polID,candidates.56202.polNum,candidates.56202.electWon,candidates.56203.first,candidates.56203.last,candidates.56203.party,candidates.56203.candidateID,candidates.56203.ballotOrder,candidates.56203.polID,candidates.56203.polNum,candidates.56203.electWon,candidates.54393.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,UT-20221108_Eday80,45,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,264881,99,0,741929,True,20221108UT45670,2022-11-08,UT,54393,Chris,Stewart,True,GOP,54393,4,61890,50528,0,Nick,Mitchell,Dem,56200,1,70424,51264,0,JayMac,McFarland,McFarlnd,UUT,56202,2,68827,51138,0,Cassie,Easley,CST,56203,3,70425,51265,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,UT-20221108_Eday80,45,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,248138,99,0,741929,True,20221108UT45670,2022-11-08,UT,54393,Chris,Stewart,True,GOP,54393,4,61890,50528,0,Nick,Mitchell,Dem,56200,1,70424,51264,0,JayMac,McFarland,McFarlnd,UUT,56202,2,68827,51138,0,Cassie,Easley,CST,56203,3,70425,51265,0,
1667950369,2022-11-08 23:32:49 +0000,88781f78b51366cb56dbc8603a43b441a541be7f,UT-20221108_Eday80,45,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,248138,90,0,741929,True,20221108UT45670,2022-11-08,UT,54393,Chris,Stewart,True,GOP,54393,4,61890,50528,0,Nick,Mitchell,Dem,56200,1,70424,51264,0,JayMac,McFarland,McFarlnd,UUT,56202,2,68827,51138,0,Cassie,Easley,CST,56203,3,70425,51265,0,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,UT-20221108_Eday80,45,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,248138,90,0,741929,True,20221108UT45670,2022-11-08,UT,54393,Chris,Stewart,True,GOP,54393,4,61890,50528,0,Nick,Mitchell,Dem,56200,1,70424,51264,0,JayMac,McFarland,McFarlnd,UUT,56202,2,68827,51138,0,Cassie,Easley,CST,56203,3,70425,51265,0,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,248138,90,2369,741929,True,20221108UT45670,2022-11-08,UT,54393,Chris,Stewart,True,GOP,54393,4,61890,50528,0,Nick,Mitchell,Dem,56200,1,70424,51264,0,JayMac,McFarland,McFarlnd,UUT,56202,2,68827,51138,0,Cassie,Easley,CST,56203,3,70425,51265,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,248398,90,2369,741929,True,20221108UT45670,2022-11-08,UT,54393,Chris,Stewart,True,GOP,54393,4,61890,50528,0,Nick,Mitchell,Dem,56200,1,70424,51264,0,JayMac,McFarland,McFarlnd,UUT,56202,2,68827,51138,0,Cassie,Easley,CST,56203,3,70425,51265,0,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,261308,90,46581,741929,True,20221108UT45670,2022-11-08,UT,54393,Chris,Stewart,True,GOP,54393,4,61890,50528,0,Nick,Mitchell,Dem,56200,1,70424,51264,0,JayMac,McFarland,McFarlnd,UUT,56202,2,68827,51138,0,Cassie,Easley,CST,56203,3,70425,51265,0,
1667968406,2022-11-08 22:33:26 -0600,9894c9990b429281fa1911dc561355d202f43cc4,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,261284,90,110037,741929,True,20221108UT45670,2022-11-08,UT,54393,Chris,Stewart,True,GOP,54393,4,61890,50528,0,Nick,Mitchell,Dem,56200,1,70424,51264,0,JayMac,McFarland,McFarlnd,UUT,56202,2,68827,51138,0,Cassie,Easley,CST,56203,3,70425,51265,0,
1667969204,2022-11-08 22:46:44 -0600,861af312a343e9b4769e08b8c7c8c17fab4dadef,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,268110,90,152747,741929,True,20221108UT45670,2022-11-08,UT,54393,Chris,Stewart,True,GOP,54393,4,61890,50528,0,Nick,Mitchell,Dem,56200,1,70424,51264,0,JayMac,McFarland,McFarlnd,UUT,56202,2,68827,51138,0,Cassie,Easley,CST,56203,3,70425,51265,0,
1667970027,2022-11-08 23:00:27 -0600,0d3c5c12e1d5e510cd8a9d7ec7188e7376d3702a,UT-20221108_Eday80,45,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,268284,90,161212,741929,True,20221108UT45670,2022-11-08,UT,54393,Chris,Stewart,True,GOP,54393,4,61890,50528,0,Nick,Mitchell,Dem,56200,1,70424,51264,0,JayMac,McFarland,McFarlnd,UUT,56202,2,68827,51138,0,Cassie,Easley,CST,56203,3,70425,51265,0,
