captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.38633.first,candidates.38633.last,candidates.38633.abbrv,candidates.38633.incumbent,candidates.38633.party,candidates.38633.candidateID,candidates.38633.ballotOrder,candidates.38633.polID,candidates.38633.polNum,candidates.38633.electWon,candidates.39229.first,candidates.39229.last,candidates.39229.abbrv,candidates.39229.party,candidates.39229.candidateID,candidates.39229.ballotOrder,candidates.39229.polID,candidates.39229.polNum,candidates.39229.electWon,candidates.39328.first,candidates.39328.last,candidates.39328.party,candidates.39328.candidateID,candidates.39328.ballotOrder,candidates.39328.polID,candidates.39328.polNum,candidates.39328.electWon,candidates.38633.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NM-20221108_Eday80,32,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,0,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,0,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,21317,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,54089,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,75075,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,89854,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,135645,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,142106,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,321086,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,355259,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,423278,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,450497,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,NM-20221108_Eday80,32,General,G,Active Tabulation,Too Early to Call,G,Governor,Michelle,Lujan Grisham,Dem,38633,59726,34414,True,True,True,750000,98,477191,1125000,True,20221108NM32238,2022-11-08,NM,38633,Michelle,Lujan Grisham,LjnGrsh,True,Dem,38633,3,59726,34414,0,Mark,Ronchetti,Ronchett,GOP,39229,2,68485,34856,0,Karen,Bedonie,Lib,39328,1,68476,34870,0,,
