captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.18757.first,candidates.18757.last,candidates.18757.abbrv,candidates.18757.party,candidates.18757.incumbent,candidates.18757.candidateID,candidates.18757.polID,candidates.18757.ballotOrder,candidates.18757.polNum,candidates.18757.electWon,candidates.23265.first,candidates.23265.last,candidates.23265.abbrv,candidates.23265.party,candidates.23265.candidateID,candidates.23265.polID,candidates.23265.ballotOrder,candidates.23265.polNum,candidates.23265.electWon,candidates.18757.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,FL-20221108_Eday62,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 16,16,297634,99,0,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 16,16,338473,99,0,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,FL-20221108_Eday80,10,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 16,16,303509,99,0,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 16,16,303509,99,216406,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 16,16,298783,99,239675,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 16,16,291964,99,264137,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,301629,99,288682,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,299757,99,288682,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,299757,99,294203,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 16,16,301870,99,295659,868119,True,20221108FL10037,2022-11-08,FL,18757,Vern,Buchanan,Buchann,GOP,True,18757,53213,1,12739,0,Jan,Schneider,Schneidr,Dem,23265,1009,2,14622,0,2022-11-09T00:51:14.692Z
