captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,candidates.5.candidateID,candidates.5.voteCount,candidates.5.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108MN24704,live,0.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-07T21:17:59.870Z,0,4103,0.0,33509,0,0.0,34768,0,0.0,35281,0,0.0,35282,0,0.0,35437,0,0.0,35436,0,0.0,2855543,99,0,3561194,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108MN24704,live,0.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T18:22:50.813Z,0,4103,0.0,33509,0,0.0,34768,0,0.0,35281,0,0.0,35282,0,0.0,35437,0,0.0,35436,0,0.0,2700000,99,0,3562055,0,0,,,,
1667946903,2022-11-08 22:35:03 +0000,cb1028268673c8c2a42a51ee33da39f10a4ad1c1,20221108MN24704,live,0.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T22:31:39.557Z,0,4103,0.0,33509,0,0.0,34768,0,0.0,35281,0,0.0,35282,0,0.0,35437,0,0.0,35436,0,0.0,2700000,99,0,3562055,0,0,,,,
1667952827,2022-11-09 00:13:47 +0000,e67364b5505081c4cca0f28ef8e8d84768d1cc02,20221108MN24704,live,0.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T00:11:19.240Z,0,4103,0.0,33509,0,0.0,34768,0,0.0,35281,0,0.0,35282,0,0.0,35437,0,0.0,35436,0,0.0,2700000,99,0,3562055,0,0,,,,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,20221108MN24704,live,0.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T00:15:45.602Z,0,4103,0.0,33509,0,0.0,34768,0,0.0,35281,0,0.0,35282,0,0.0,35437,0,0.0,35436,0,0.0,2700000,99,0,3562055,0,0,,,,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,20221108MN24704,live,0.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T00:22:33.817Z,0,4103,0.0,33509,0,0.0,34768,0,0.0,35281,0,0.0,35282,0,0.0,35437,0,0.0,35436,0,0.0,2700000,99,0,3562055,0,0,,,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108MN24704,live,0.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T00:49:39.939Z,0,4103,0.0,33509,0,0.0,34768,0,0.0,35281,0,0.0,35282,0,0.0,35437,0,0.0,35436,0,0.0,2700000,99,0,3562055,0,0,,,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108MN24704,live,0.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T00:52:32.699Z,0,4103,0.0,33509,0,0.0,34768,0,0.0,35281,0,0.0,35282,0,0.0,35437,0,0.0,35436,0,0.0,2700000,99,0,3562055,0,0,,,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108MN24704,live,0.04,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:09:58.329Z,4,4103,0.1,34768,719,61.56,33509,407,34.85,35436,17,1.46,35281,13,1.11,35437,10,0.86,35282,2,0.17,2700000,99,1168,3562055,4,2,0.0,,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108MN24704,live,0.19,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:21:53.309Z,21,4103,0.51,34768,3000,57.92,33509,1994,38.49,35436,72,1.39,35437,53,1.02,35281,51,0.98,35282,10,0.19,2700000,99,5180,3562055,21,8,0.0,1.0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108MN24704,live,0.55,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:31:51.347Z,53,4103,1.29,33509,7317,49.4,34768,6962,47.0,35436,208,1.4,35437,148,1.0,35281,133,0.9,35282,44,0.3,2700000,99,14812,3562055,53,23,1.0,0.0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108MN24704,live,0.67,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:37:31.849Z,56,4103,1.36,33509,9274,51.61,34768,8063,44.87,35436,238,1.32,35437,175,0.97,35281,160,0.89,35282,58,0.32,2700000,99,17968,3562055,56,27,1.0,0.0,,
