captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.49139.first,candidates.49139.last,candidates.49139.party,candidates.49139.incumbent,candidates.49139.candidateID,candidates.49139.polID,candidates.49139.ballotOrder,candidates.49139.polNum,candidates.49139.electWon,candidates.49450.first,candidates.49450.last,candidates.49450.party,candidates.49450.candidateID,candidates.49450.polID,candidates.49450.ballotOrder,candidates.49450.polNum,candidates.49450.electWon,candidates.49618.first,candidates.49618.last,candidates.49618.party,candidates.49618.candidateID,candidates.49618.polID,candidates.49618.ballotOrder,candidates.49618.polNum,candidates.49618.electWon,candidates.49139.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,SC-20221108_Eday62,41,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,316874,99,0,825474,True,20221108SC41922,2022-11-08,SC,49139,Nancy,Mace,GOP,True,49139,63782,2,44087,0,Annie,Andrews,Dem,49450,70916,1,44929,0,Joseph,Oddo,ALP,49618,50483,3,44970,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,SC-20221108_Eday80,41,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,273167,99,0,857076,True,20221108SC41922,2022-11-08,SC,49139,Nancy,Mace,GOP,True,49139,63782,2,44087,0,Annie,Andrews,Dem,49450,70916,1,44929,0,Joseph,Oddo,ALP,49618,50483,3,44970,0,
1667952515,2022-11-09 00:08:35 +0000,b696a55e80164ecdcb71059e68ae6204a1f65e5b,SC-20221108_Eday80,41,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 1,1,273167,99,0,857076,True,20221108SC41922,2022-11-08,SC,49139,Nancy,Mace,GOP,True,49139,63782,2,44087,0,Annie,Andrews,Dem,49450,70916,1,44929,0,Joseph,Oddo,ALP,49618,50483,3,44970,0,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,273167,99,1527,857076,True,20221108SC41922,2022-11-08,SC,49139,Nancy,Mace,GOP,True,49139,63782,2,44087,0,Annie,Andrews,Dem,49450,70916,1,44929,0,Joseph,Oddo,ALP,49618,50483,3,44970,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,273167,99,1767,857076,True,20221108SC41922,2022-11-08,SC,49139,Nancy,Mace,GOP,True,49139,63782,2,44087,0,Annie,Andrews,Dem,49450,70916,1,44929,0,Joseph,Oddo,ALP,49618,50483,3,44970,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,273167,99,1851,857076,True,20221108SC41922,2022-11-08,SC,49139,Nancy,Mace,GOP,True,49139,63782,2,44087,0,Annie,Andrews,Dem,49450,70916,1,44929,0,Joseph,Oddo,ALP,49618,50483,3,44970,0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,273167,99,48316,857076,True,20221108SC41922,2022-11-08,SC,49139,Nancy,Mace,GOP,True,49139,63782,2,44087,0,Annie,Andrews,Dem,49450,70916,1,44929,0,Joseph,Oddo,ALP,49618,50483,3,44970,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,273167,99,77226,857076,True,20221108SC41922,2022-11-08,SC,49139,Nancy,Mace,GOP,True,49139,63782,2,44087,0,Annie,Andrews,Dem,49450,70916,1,44929,0,Joseph,Oddo,ALP,49618,50483,3,44970,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,273167,99,83768,857076,True,20221108SC41922,2022-11-08,SC,49139,Nancy,Mace,GOP,True,49139,63782,2,44087,0,Annie,Andrews,Dem,49450,70916,1,44929,0,Joseph,Oddo,ALP,49618,50483,3,44970,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,273167,99,103828,857076,True,20221108SC41922,2022-11-08,SC,49139,Nancy,Mace,GOP,True,49139,63782,2,44087,0,Annie,Andrews,Dem,49450,70916,1,44929,0,Joseph,Oddo,ALP,49618,50483,3,44970,0,
