captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.11184.last,candidates.11184.party,candidates.11184.candidateID,candidates.11184.ballotOrder,candidates.11184.polID,candidates.11184.polNum,candidates.11184.electWon,candidates.11185.last,candidates.11185.party,candidates.11185.candidateID,candidates.11185.ballotOrder,candidates.11185.polID,candidates.11185.polNum,candidates.11185.electWon,raceCallStatus,candidates.11184.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MO-20221108_Eday80,26,Ballot Issue,G,Awaiting Poll Close,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2606490,99,0,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MO-20221108_Eday80,26,Ballot Issue,G,Awaiting Poll Close,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,0,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,0,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,46739,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,128237,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,134617,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,157337,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,164573,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,205217,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,164573,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,208948,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,399468,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,437676,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,399468,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,505502,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,731434,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1084545,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1162661,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1286033,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1584845,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667968092,2022-11-08 22:28:12 -0600,c3a7bcfa6d57d19e0339cd5eff437c13c5a7dec5,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1754730,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667968138,2022-11-08 22:28:58 -0600,78be3d1941803188124b187362be51adf1e8fdfb,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1584845,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667968182,2022-11-08 22:29:42 -0600,8e189a9f8e65ddc0a78641bf1d30b4fa1f53a113,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1754730,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667968227,2022-11-08 22:30:27 -0600,b78ec951061d2bf917e09f1eb01cb079af5e3a88,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1808743,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667968272,2022-11-08 22:31:12 -0600,97ef6c54bfa1c7ef6beea70c87aafe0c54251ad8,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1754730,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667968316,2022-11-08 22:31:56 -0600,c7364a5d7197a125b098705a317e32ff0afe0f57,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1808743,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667969018,2022-11-08 22:43:38 -0600,465844bb53a3330849af3b4eca4fced2045c6920,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1849223,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1937882,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667970723,2022-11-08 23:12:03 -0600,c9be1e43f4fd7fd7004c00409f7a589f170f0784,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,1979762,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667971571,2022-11-08 23:26:11 -0600,d2379320e55d7c8b235939474aad516c1cf9a83b,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2650000,99,2005040,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667972473,2022-11-08 23:41:13 -0600,a29b2b07dc776af5545ee4ec64ead9d5ba96e873,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2309905,99,2009617,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667973292,2022-11-08 23:54:52 -0600,f4e2e76b95b1963799e86b607fe710743960389e,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2309905,99,2012822,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667973878,2022-11-09 00:04:38 -0600,dd0a2fb7e0a1ea86d312428fcf4c7c68541cc7da,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2309905,99,2031740,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667975568,2022-11-09 00:32:48 -0600,0b16058e032a73c78e2e4b787403862608e151dd,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2309905,99,2045203,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667975609,2022-11-09 00:33:29 -0600,62fa28ab1db323241f81f05574f15005f7d100fe,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2309905,99,2031740,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667975652,2022-11-09 00:34:12 -0600,d498600900e4c0350d8f00907a8e8a97bd48aba6,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2309905,99,2045203,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,,,
1667979926,2022-11-09 01:45:26 -0600,9b0489556f79fd338933dc887f608460bae29ac3,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2309905,99,2045203,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,Called,2022-11-09T07:40:57.872Z,
1667984041,2022-11-09 02:54:01 -0600,ee9283493546aa4a6a95b649cf7bb242fe63b0e6,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2309905,99,2051235,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,Called,2022-11-09T07:40:57.872Z,
1668034837,2022-11-09 17:00:37 -0600,c63e4f0ba510718aef59ea5d4b3a1c07b3a28ffb,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2071955,99,2051235,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,Called,2022-11-09T07:40:57.872Z,
1668115464,2022-11-10 15:24:24 -0600,7cd4405ff52c884acd21b40af47144a5e71841e5,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2071955,99,2051247,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,Called,2022-11-09T07:40:57.872Z,
1668115505,2022-11-10 15:25:05 -0600,e3b914fb599f46bbb7caf689f9c09519d75686e3,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2071955,99,2051235,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,Called,2022-11-09T07:40:57.872Z,
1668115546,2022-11-10 15:25:46 -0600,1e7f903b2c4a897e1a96585eb764b73a9d8a856a,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2071955,99,2051247,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,0.0,No,No,11185,2,3,28837,0.0,Called,2022-11-09T07:40:57.872Z,
1670619575,2022-12-09 14:59:35 -0600,b4801f390b3e98436e6218d3730e9d9a2d21d892,MO-20221108_Eday80,26,Ballot Issue,G,Gathering Certified Results,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2058452,100,2051247,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,,No,No,11185,2,3,28837,,Called,2022-11-09T07:40:57.872Z,False
1670650458,2022-12-09 23:34:18 -0600,f1184c78a867704b3aa9008b6aee35930f9f6eba,MO-20221108_Eday80,26,Ballot Issue,G,Gathering Certified Results,I,Constitutional Amendment,True,True,True,3 - Legalize Marijuana,3,2057452,100,2051247,4224608,True,20221108MO27543,2022-11-08,MO,Yes,Yes,11184,1,2,28836,,No,No,11185,2,3,28837,,Called,2022-11-09T07:40:57.872Z,False
