captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22751.first,candidates.22751.last,candidates.22751.abbrv,candidates.22751.party,candidates.22751.candidateID,candidates.22751.ballotOrder,candidates.22751.polID,candidates.22751.polNum,candidates.22751.electWon,candidates.22752.first,candidates.22752.last,candidates.22752.incumbent,candidates.22752.party,candidates.22752.candidateID,candidates.22752.ballotOrder,candidates.22752.polID,candidates.22752.polNum,candidates.22752.electWon,candidates.22753.first,candidates.22753.last,candidates.22753.party,candidates.22753.candidateID,candidates.22753.ballotOrder,candidates.22753.polID,candidates.22753.polNum,candidates.22753.electWon,candidates.22752.winnerDateTime
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,115494,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,135317,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,222137,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,272490,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,366773,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,422789,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,496792,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,627725,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,602711,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Todd,Young,GOP,22752,60424,17458,True,True,True,2500000,99,627725,4739047,True,20221108IN15765,2022-11-08,IN,22752,Thomas,McDermott,McDermtt,Dem,22751,2,68688,18451,0,Todd,Young,True,GOP,22752,1,60424,17458,0,James,Sceniak,Lib,22753,3,71633,18763,0,
