captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108CO6615,live,0.0,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-07T22:53:54.679Z,0,491,0.0,13484,0,0.0,13883,0,0.0,321223,99,0,1123403,0,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108CO6615,live,0.0,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T18:48:55.668Z,0,491,0.0,13484,0,0.0,13883,0,0.0,338751,99,0,1123403,0,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108CO6615,live,0.0,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:00:33.474Z,0,491,0.0,13484,0,0.0,13883,0,0.0,338751,99,0,1123403,0,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108CO6615,live,0.0,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:18:24.233Z,0,491,0.0,13484,0,0.0,13883,0,0.0,338751,99,0,1123403,0,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108CO6615,live,5.31,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:25:51.362Z,0,491,0.0,13883,10601,58.96,13484,7378,41.04,338751,99,17979,1123403,0,26,0.0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108CO6615,live,6.9,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:30:52.876Z,0,491,0.0,13883,12545,53.67,13484,10831,46.33,338751,99,23376,1123403,0,34,0.0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108CO6615,live,6.9,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:36:38.612Z,0,491,0.0,13883,12545,53.67,13484,10831,46.33,338751,99,23376,1123403,0,34,0.0,1.0
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108CO6615,live,12.78,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:42:24.219Z,0,491,0.0,13883,25671,59.28,13484,17634,40.72,338751,99,43305,1123403,0,63,0.0,1.0
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108CO6615,live,26.18,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:00:19.988Z,0,491,0.0,13883,51159,57.69,13484,37514,42.31,338751,99,88673,1123403,0,129,0.0,1.0
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108CO6615,live,61.84,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:14:46.264Z,148,491,30.14,13883,111339,53.13,13484,98206,46.87,338848,99,209545,1123403,148,304,0.0,1.0
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,20221108CO6615,live,61.84,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:14:46.264Z,148,491,30.14,13883,111339,53.13,13484,98206,46.87,338848,99,209545,1123403,148,304,0.0,1.0
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,20221108CO6615,live,64.21,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:22:30.731Z,160,491,32.59,13883,115492,53.08,13484,102074,46.92,338848,99,217566,1123403,160,315,0.0,1.0
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108CO6615,live,69.16,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:34:46.563Z,177,491,36.05,13883,122106,52.14,13484,112071,47.86,338586,99,234177,1123403,177,340,0.0,1.0
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,20221108CO6615,live,69.31,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:42:43.749Z,178,491,36.25,13883,122343,52.13,13484,112347,47.87,338617,99,234690,1123403,178,340,0.0,1.0
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108CO6615,live,70.57,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:58:23.527Z,183,491,37.27,13883,123977,51.89,13484,114968,48.11,338614,99,238945,1123403,183,346,0.0,1.0
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,20221108CO6615,live,70.73,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:08:35.259Z,183,491,37.27,13883,124192,51.83,13484,115425,48.17,338796,99,239617,1123403,183,347,0.0,1.0
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108CO6615,live,71.28,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:17:16.522Z,202,491,41.14,13883,125372,51.91,13484,116136,48.09,338796,99,241508,1123403,202,350,0.0,1.0
1667967636,2022-11-08 22:20:36 -0600,1bed774242ed32fb5f86bc6fed50c68740cf5631,20221108CO6615,live,71.33,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:18:26.788Z,202,491,41.14,13883,125437,51.9,13484,116238,48.1,338796,99,241675,1123403,202,350,0.0,1.0
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,20221108CO6615,live,71.33,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:20:19.443Z,202,491,41.14,13883,125437,51.9,13484,116238,48.1,338796,99,241675,1123403,202,350,0.0,1.0
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,20221108CO6615,live,71.36,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:25:35.922Z,202,491,41.14,13883,125476,51.9,13484,116272,48.1,338796,99,241748,1123403,202,350,0.0,1.0
1667968272,2022-11-08 22:31:12 -0600,97ef6c54bfa1c7ef6beea70c87aafe0c54251ad8,20221108CO6615,live,71.36,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:30:14.735Z,202,491,41.14,13883,125476,51.9,13484,116272,48.1,338796,99,241748,1123403,202,350,0.0,1.0
1667968709,2022-11-08 22:38:29 -0600,a479186c1a21e09ae947de1863bf72d461e8b879,20221108CO6615,live,72.8,CO,Colorado,6,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:35:21.752Z,216,491,43.99,13883,127585,51.73,13484,119069,48.27,338796,99,246654,1123403,216,357,0.0,1.0
