captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.5402.first,candidates.5402.last,candidates.5402.incumbent,candidates.5402.party,candidates.5402.candidateID,candidates.5402.ballotOrder,candidates.5402.polID,candidates.5402.polNum,candidates.5402.electWon,candidates.6032.first,candidates.6032.last,candidates.6032.party,candidates.6032.candidateID,candidates.6032.ballotOrder,candidates.6032.polID,candidates.6032.polNum,candidates.6032.electWon,candidates.6263.first,candidates.6263.last,candidates.6263.party,candidates.6263.candidateID,candidates.6263.ballotOrder,candidates.6263.polID,candidates.6263.polNum,candidates.6263.electWon,candidates.5402.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AL-20221108_Eday80,1,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,0,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,AL-20221108_Eday80,1,General,G,Polls Closed/Waiting First Report,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,0,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,121,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,722,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,913,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,7157,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,8201,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,7157,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,8201,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,21969,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,18348,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,92034,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,68258,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,92034,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,133915,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,151550,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,267970,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,248925,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,392700,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,361590,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,368145,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,539609,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,736383,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,907473,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,1050902,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,1121147,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,1213278,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,1234251,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,G,Governor,Kay,Ivey,GOP,5402,3576,2260,True,True,True,1750000,99,1269868,2625000,True,20221108AL1019,2022-11-08,AL,5402,Kay,Ivey,True,GOP,5402,2,3576,2260,0,Yolanda,Flowers,Dem,6032,1,70495,3818,0,James,Blake,Lib,6263,3,71671,4193,0,2022-11-09T01:00:04.280Z
