captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108TN43013,live,0.0,TN,Tennessee,43,1,2022-11-09T00:00:00.000Z,state,0,2022-11-07T03:22:22.524Z,0,169,0.0,50755,0,0.0,50761,0,0.0,50957,0,0.0,50958,0,0.0,50959,0,0.0,334109,99,0,735443,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108TN43013,live,0.0,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T18:26:06.231Z,0,169,0.0,50755,0,0.0,50761,0,0.0,50957,0,0.0,50958,0,0.0,50959,0,0.0,262009,99,0,735443,0,0,,,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108TN43013,live,1.45,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:29:11.989Z,0,169,0.0,50761,2705,71.03,50755,1037,27.23,50957,31,0.81,50958,23,0.6,50959,12,0.32,262009,99,3808,735443,0,2,0.0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108TN43013,live,6.85,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:35:03.760Z,0,169,0.0,50761,11737,65.35,50755,5798,32.28,50957,199,1.11,50958,146,0.81,50959,80,0.45,262009,99,17960,735443,0,12,0.0,,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108TN43013,live,7.47,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:50:07.127Z,0,169,0.0,50761,12949,66.18,50755,6164,31.51,50957,211,1.08,50958,157,0.8,50959,84,0.43,262009,99,19565,735443,0,13,0.0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108TN43013,live,28.46,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:33:48.187Z,6,169,3.55,50755,40793,54.7,50761,32548,43.65,50957,596,0.8,50958,395,0.53,50959,241,0.32,262009,99,74573,735443,6,48,1.0,0.0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108TN43013,live,34.72,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:39:22.083Z,6,169,3.55,50761,46771,51.42,50755,42557,46.78,50957,776,0.85,50958,524,0.58,50959,336,0.37,262009,99,90964,735443,6,59,0.0,1.0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,20221108TN43013,live,39.9,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:44:36.292Z,39,169,23.08,50761,54551,52.19,50755,47978,45.9,50957,956,0.91,50958,647,0.62,50959,400,0.38,262009,99,104532,735443,39,67,0.0,1.0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108TN43013,live,39.9,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:50:04.373Z,39,169,23.08,50761,54551,52.19,50755,47978,45.9,50957,956,0.91,50958,647,0.62,50959,400,0.38,262009,99,104532,735443,39,67,0.0,1.0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108TN43013,live,45.67,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:04:11.601Z,53,169,31.36,50761,59829,50.0,50755,57609,48.14,50957,1079,0.9,50958,702,0.59,50959,445,0.37,262009,99,119664,735443,53,77,0.0,1.0,,
