captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.50755.first,candidates.50755.last,candidates.50755.party,candidates.50755.candidateID,candidates.50755.polID,candidates.50755.ballotOrder,candidates.50755.polNum,candidates.50755.electWon,candidates.50761.first,candidates.50761.last,candidates.50761.party,candidates.50761.candidateID,candidates.50761.polID,candidates.50761.ballotOrder,candidates.50761.polNum,candidates.50761.electWon,candidates.50957.first,candidates.50957.last,candidates.50957.party,candidates.50957.candidateID,candidates.50957.polID,candidates.50957.ballotOrder,candidates.50957.polNum,candidates.50957.electWon,candidates.50958.first,candidates.50958.last,candidates.50958.party,candidates.50958.candidateID,candidates.50958.polID,candidates.50958.ballotOrder,candidates.50958.polNum,candidates.50958.electWon,candidates.50959.first,candidates.50959.last,candidates.50959.party,candidates.50959.candidateID,candidates.50959.polID,candidates.50959.ballotOrder,candidates.50959.polNum,candidates.50959.electWon,candidates.50761.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TN-20221108_Eday62,43,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,334109,99,0,735443,True,20221108TN43013,2022-11-08,TN,Heidi,Campbell,Dem,50755,70861,2,46670,0,Andy,Ogles,GOP,50761,70864,1,46826,0,Derrick,Brantley,Ind,50957,70892,3,46830,0,Daniel,Cooper,Ind,50958,70877,4,46831,0,Rick,Shannon,Ind,50959,70893,5,46832,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TN-20221108_Eday80,43,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,262009,99,0,735443,True,20221108TN43013,2022-11-08,TN,Heidi,Campbell,Dem,50755,70861,2,46670,0,Andy,Ogles,GOP,50761,70864,1,46826,0,Derrick,Brantley,Ind,50957,70892,3,46830,0,Daniel,Cooper,Ind,50958,70877,4,46831,0,Rick,Shannon,Ind,50959,70893,5,46832,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,262009,99,17960,735443,True,20221108TN43013,2022-11-08,TN,Heidi,Campbell,Dem,50755,70861,2,46670,0,Andy,Ogles,GOP,50761,70864,1,46826,0,Derrick,Brantley,Ind,50957,70892,3,46830,0,Daniel,Cooper,Ind,50958,70877,4,46831,0,Rick,Shannon,Ind,50959,70893,5,46832,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,262009,99,19565,735443,True,20221108TN43013,2022-11-08,TN,Heidi,Campbell,Dem,50755,70861,2,46670,0,Andy,Ogles,GOP,50761,70864,1,46826,0,Derrick,Brantley,Ind,50957,70892,3,46830,0,Daniel,Cooper,Ind,50958,70877,4,46831,0,Rick,Shannon,Ind,50959,70893,5,46832,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,262009,99,74573,735443,True,20221108TN43013,2022-11-08,TN,Heidi,Campbell,Dem,50755,70861,2,46670,0,Andy,Ogles,GOP,50761,70864,1,46826,0,Derrick,Brantley,Ind,50957,70892,3,46830,0,Daniel,Cooper,Ind,50958,70877,4,46831,0,Rick,Shannon,Ind,50959,70893,5,46832,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,262009,99,90964,735443,True,20221108TN43013,2022-11-08,TN,Heidi,Campbell,Dem,50755,70861,2,46670,0,Andy,Ogles,GOP,50761,70864,1,46826,0,Derrick,Brantley,Ind,50957,70892,3,46830,0,Daniel,Cooper,Ind,50958,70877,4,46831,0,Rick,Shannon,Ind,50959,70893,5,46832,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,262009,99,104532,735443,True,20221108TN43013,2022-11-08,TN,Heidi,Campbell,Dem,50755,70861,2,46670,0,Andy,Ogles,GOP,50761,70864,1,46826,0,Derrick,Brantley,Ind,50957,70892,3,46830,0,Daniel,Cooper,Ind,50958,70877,4,46831,0,Rick,Shannon,Ind,50959,70893,5,46832,0,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,262009,99,119664,735443,True,20221108TN43013,2022-11-08,TN,Heidi,Campbell,Dem,50755,70861,2,46670,0,Andy,Ogles,GOP,50761,70864,1,46826,0,Derrick,Brantley,Ind,50957,70892,3,46830,0,Daniel,Cooper,Ind,50958,70877,4,46831,0,Rick,Shannon,Ind,50959,70893,5,46832,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,240338,99,131177,735443,True,20221108TN43013,2022-11-08,TN,Heidi,Campbell,Dem,50755,70861,2,46670,0,Andy,Ogles,GOP,50761,70864,1,46826,0,Derrick,Brantley,Ind,50957,70892,3,46830,0,Daniel,Cooper,Ind,50958,70877,4,46831,0,Rick,Shannon,Ind,50959,70893,5,46832,0,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,237368,99,141102,735443,True,20221108TN43013,2022-11-08,TN,Heidi,Campbell,Dem,50755,70861,2,46670,0,Andy,Ogles,GOP,50761,70864,1,46826,0,Derrick,Brantley,Ind,50957,70892,3,46830,0,Daniel,Cooper,Ind,50958,70877,4,46831,0,Rick,Shannon,Ind,50959,70893,5,46832,0,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,237368,99,155588,735443,True,20221108TN43013,2022-11-08,TN,Heidi,Campbell,Dem,50755,70861,2,46670,0,Andy,Ogles,GOP,50761,70864,1,46826,0,Derrick,Brantley,Ind,50957,70892,3,46830,0,Daniel,Cooper,Ind,50958,70877,4,46831,0,Rick,Shannon,Ind,50959,70893,5,46832,0,
