captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.20004.first,candidates.20004.last,candidates.20004.party,candidates.20004.candidateID,candidates.20004.polID,candidates.20004.ballotOrder,candidates.20004.polNum,candidates.20004.electWon,candidates.20041.first,candidates.20041.last,candidates.20041.party,candidates.20041.candidateID,candidates.20041.polID,candidates.20041.ballotOrder,candidates.20041.polNum,candidates.20041.electWon,candidates.20383.first,candidates.20383.last,candidates.20383.party,candidates.20383.candidateID,candidates.20383.polID,candidates.20383.ballotOrder,candidates.20383.polNum,candidates.20383.electWon,candidates.20041.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,HI-20221108_Eday62,12,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,203665,99,0,601447,True,20221108HI12008,2022-11-08,HI,Joe,Akana,GOP,20004,69275,2,15205,0,Jill,Tokuda,Dem,20041,71475,1,14367,0,Michelle,Tippens,Lib,20383,67450,3,15004,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,HI-20221108_Eday82,12,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,203665,99,0,601447,True,20221108HI12008,2022-11-08,HI,Joe,Akana,GOP,20004,69275,2,15205,0,Jill,Tokuda,Dem,20041,71475,1,14367,0,Michelle,Tippens,Lib,20383,67450,3,15004,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,HI-20221108_Eday82,12,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,204246,99,0,601447,True,20221108HI12008,2022-11-08,HI,Joe,Akana,GOP,20004,69275,2,15205,0,Jill,Tokuda,Dem,20041,71475,1,14367,0,Michelle,Tippens,Lib,20383,67450,3,15004,0,
1667970415,2022-11-08 23:06:55 -0600,f1d4e9736f94ffa7aa7ebd5da07699c9a419c5df,HI-20221108_Eday82,12,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,204246,99,0,601447,True,20221108HI12008,2022-11-08,HI,Joe,Akana,GOP,20004,69275,2,15205,0,Jill,Tokuda,Dem,20041,71475,1,14367,0,Michelle,Tippens,Lib,20383,67450,3,15004,0,
1667970461,2022-11-08 23:07:41 -0600,7d669d180641a9a00e537201f92d2f70ea120169,HI-20221108_Eday82,12,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,204246,99,0,601447,True,20221108HI12008,2022-11-08,HI,Joe,Akana,GOP,20004,69275,2,15205,0,Jill,Tokuda,Dem,20041,71475,1,14367,0,Michelle,Tippens,Lib,20383,67450,3,15004,0,
1667970504,2022-11-08 23:08:24 -0600,218805bf82c018e2091a699549a3db0180a36d98,HI-20221108_Eday82,12,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,204246,99,0,601447,True,20221108HI12008,2022-11-08,HI,Joe,Akana,GOP,20004,69275,2,15205,0,Jill,Tokuda,Dem,20041,71475,1,14367,0,Michelle,Tippens,Lib,20383,67450,3,15004,0,
1667975568,2022-11-09 00:32:48 -0600,0b16058e032a73c78e2e4b787403862608e151dd,HI-20221108_Eday82,12,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,204246,99,148260,601447,True,20221108HI12008,2022-11-08,HI,Joe,Akana,GOP,20004,69275,2,15205,0,Jill,Tokuda,Dem,20041,71475,1,14367,0,Michelle,Tippens,Lib,20383,67450,3,15004,0,
1667976387,2022-11-09 00:46:27 -0600,3fc81e357a75429f605eafd56848166989ceb407,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,179024,99,148260,601447,True,20221108HI12008,2022-11-08,HI,Joe,Akana,GOP,20004,69275,2,15205,0,Jill,Tokuda,Dem,20041,71475,1,14367,0,Michelle,Tippens,Lib,20383,67450,3,15004,0,2022-11-09T06:32:00.488Z
1667981283,2022-11-09 02:08:03 -0600,b50945b2097c96d288eb118e41604458b9594ee2,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,179024,99,166642,601447,True,20221108HI12008,2022-11-08,HI,Joe,Akana,GOP,20004,69275,2,15205,0,Jill,Tokuda,Dem,20041,71475,1,14367,0,Michelle,Tippens,Lib,20383,67450,3,15004,0,2022-11-09T06:32:00.488Z
1667981323,2022-11-09 02:08:43 -0600,b5f3db39a2b7f38cd8f1d18e952da1355d85c27d,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,179024,99,148260,601447,True,20221108HI12008,2022-11-08,HI,Joe,Akana,GOP,20004,69275,2,15205,0,Jill,Tokuda,Dem,20041,71475,1,14367,0,Michelle,Tippens,Lib,20383,67450,3,15004,0,2022-11-09T06:32:00.488Z
1667981363,2022-11-09 02:09:23 -0600,bfa0f0af48aad4f07dbb25f4832040f613fe6f03,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,179024,99,166642,601447,True,20221108HI12008,2022-11-08,HI,Joe,Akana,GOP,20004,69275,2,15205,0,Jill,Tokuda,Dem,20041,71475,1,14367,0,Michelle,Tippens,Lib,20383,67450,3,15004,0,2022-11-09T06:32:00.488Z
