captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,numRunoff,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.21134.first,candidates.21134.last,candidates.21134.party,candidates.21134.incumbent,candidates.21134.candidateID,candidates.21134.polID,candidates.21134.ballotOrder,candidates.21134.polNum,candidates.21134.electWon,candidates.22555.first,candidates.22555.last,candidates.22555.party,candidates.22555.candidateID,candidates.22555.polID,candidates.22555.ballotOrder,candidates.22555.polNum,candidates.22555.electWon,candidates.23070.first,candidates.23070.last,candidates.23070.party,candidates.23070.candidateID,candidates.23070.polID,candidates.23070.ballotOrder,candidates.23070.polNum,candidates.23070.electWon,candidates.21134.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,GA-20221108_Eday62,11,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4686221,99,0,7000459,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,GA-20221108_Eday81,11,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,0,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,GA-20221108_Eday81,11,General,G,Polls Closed/Waiting First Report,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,0,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,61856,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,467288,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,648174,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,895675,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,1148592,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,1163503,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,1433844,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,1163503,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,1556030,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,G,Governor,Brian,Kemp,GOP,21134,53319,13207,True,True,True,2,4700000,99,1726090,7054135,True,20221108GA12029,2022-11-08,GA,21134,Brian,Kemp,GOP,True,21134,53319,1,13207,0,Stacey,Abrams,Dem,22555,66667,2,14280,0,Shane,Hazel,Lib,23070,66690,3,15621,0,
